 	on	les	a	empêchés	de	partir	</S>
á	0.592719	0.251466	0.094767	0.0537406	0.00656889	0.0005609	0.000177289
k	0.0189955	0.0801055	0.192946	0.705866	0.000971944	0.00103335	8.17334e-05
a	0.0251847	0.0405811	0.0601602	0.85416	0.00805892	0.00304816	0.00880665
n	0.00428398	0.0390267	0.0777662	0.824962	0.0105839	0.0119466	0.0314312
g	0.0904566	0.118637	0.191909	0.548011	0.0100945	0.0035126	0.0373794
i	0.217642	0.214765	0.197907	0.2435	0.0258402	0.00853481	0.0918114
s	0.154117	0.180825	0.267322	0.105514	0.256889	0.0114391	0.0238941
i	0.0593886	0.063108	0.158326	0.344296	0.262091	0.0280039	0.0847856
b	0.0654931	0.114137	0.254968	0.0493171	0.375005	0.0194502	0.12163
á	0.295274	0.174722	0.266161	0.0736509	0.100757	0.0614535	0.027983
a	0.213812	0.133196	0.211234	0.0434559	0.185259	0.138207	0.0748352
m	0.00692755	0.0252866	0.0484084	0.0341783	0.620848	0.130803	0.133548
í	0.0114819	0.0378967	0.00584608	0.00246419	0.345024	0.490918	0.106369
d	0.0117235	0.037671	0.0205033	0.0319753	0.220204	0.593872	0.0840512
z	0.00155358	0.00428969	0.00513686	0.00537187	0.0364075	0.663061	0.284179
w	0.00138954	0.00243645	0.00521747	0.00754825	0.0679876	0.883435	0.031986
a	0.000380361	0.0011571	0.00259023	0.00486666	0.104277	0.757461	0.129267
</S>	0.000801186	0.00177233	0.00583276	0.0016304	0.0388332	0.244385	0.706745
