 	il	ne	faut	pas	enflammer	la	savane	de	peur	que	le	hangar	du	récolteur	du	vin	de	palme	prenne	feu	</S>
o	0.463259	0.302422	0.153675	0.0539103	0.00195333	0.00545652	0.00249739	0.00647054	0.00188382	0.00237475	0.00151348	0.00295041	0.00112859	1.98501e-05	8.47454e-05	1.95143e-05	7.0897e-05	9.64055e-05	0.000195713	7.99387e-06	8.99466e-06
t	0.0317331	0.120689	0.172358	0.12936	0.399518	0.0154657	0.039284	0.00443518	0.00591868	0.00990069	0.0113935	0.0304472	0.00555026	0.00334446	0.00161045	0.00136022	0.00523175	0.00294217	0.00163168	0.00244293	0.00538337
a	0.00319127	0.0466618	0.0545904	0.0858767	0.649872	0.0107314	0.0722548	0.0085419	0.00346581	0.018342	0.0149726	0.00669367	0.00996955	0.00552487	0.00135394	0.00181156	0.000981421	0.00194398	0.00111485	0.000399957	0.0017058
a	0.0171849	0.228968	0.140092	0.0938209	0.192346	0.0394042	0.081372	0.0189748	0.0186808	0.0244854	0.0166101	0.0119112	0.0212119	0.0399061	0.00652027	0.00702924	0.00482659	0.005958	0.00249306	0.00167127	0.0265324
w	0.21746	0.215774	0.226525	0.204478	0.0140793	0.0298867	0.00657816	0.0110389	0.00682919	0.00487138	0.00388495	0.00228636	0.00690522	0.00529044	0.011594	0.00303217	0.00414855	0.00324754	0.00369174	0.000838252	0.01756
á	0.0342235	0.0261695	0.139117	0.0378314	0.00743203	0.0314265	0.0164575	0.0454524	0.0566775	0.0373971	0.0377653	0.0886381	0.0573863	0.0134196	0.0910893	0.0301497	0.0480391	0.0447279	0.0714893	0.00593623	0.0791749
á	0.107271	0.0532008	0.122392	0.0521552	0.0214599	0.0196548	0.00971545	0.0475099	0.123959	0.0409537	0.0251668	0.0285277	0.0181563	0.0151883	0.0360014	0.014512	0.0276951	0.0204055	0.0506167	0.0645602	0.100898
o	0.0198272	0.0347993	0.0975667	0.200153	0.11652	0.251809	0.0866911	0.023118	0.0163257	0.0193082	0.0156386	0.0112057	0.00746783	0.0192501	0.010661	0.00602062	0.0100281	0.0073158	0.00384103	0.00855928	0.0338945
t	0.000438998	0.000868836	0.000613747	0.0159249	0.852492	0.0363734	0.0601737	0.00459576	0.00107985	0.00274664	0.00176699	0.000411674	0.00132268	0.00938084	0.000833267	0.00223814	0.000746199	0.00101542	0.000613765	0.00269627	0.00366686
u	0.000129343	0.0013414	0.00292066	0.0335228	0.878209	0.0308725	0.0357617	0.00170462	0.000313929	0.00127087	0.00129039	0.000330009	0.00120015	0.00552575	0.000667186	0.00146239	0.000267279	0.000666629	0.00030508	0.000189395	0.00204902
m	0.00304806	0.0190656	0.0207203	0.192521	0.423637	0.0687771	0.0303481	0.0241064	0.0144736	0.0154265	0.0215789	0.0349909	0.0107285	0.0117087	0.00870809	0.00437433	0.00774213	0.0157984	0.0105382	0.00250385	0.0592048
b	0.027201	0.0229118	0.0235356	0.0622484	0.0552293	0.082041	0.039947	0.332539	0.139901	0.0541865	0.0338497	0.0422971	0.00824728	0.00132883	0.00943132	0.000976884	0.00894968	0.0103398	0.030394	0.00501249	0.00943157
ú	0.0674167	0.0438114	0.0105192	0.078982	0.045322	0.118027	0.0595825	0.216576	0.0840381	0.0548391	0.0264726	0.0294865	0.0102589	0.00316	0.00916373	0.00141562	0.0132156	0.0259905	0.0673572	0.00286302	0.0315024
o	0.00344725	0.00776708	0.0113444	0.0789489	0.0184409	0.437767	0.171489	0.16087	0.0320962	0.0300651	0.0123593	0.00637408	0.00372919	0.00110558	0.00700048	0.00177648	0.00472955	0.00243045	0.00353641	0.0012778	0.00344436
l	0.000903816	0.00369268	0.000957365	0.0239698	0.134701	0.159532	0.513882	0.0651837	0.00753565	0.0394596	0.0127415	0.00197914	0.00431758	0.00982823	0.00252499	0.00564486	0.00210055	0.00237219	0.00130315	0.00293075	0.00443958
ω	0.000349812	0.00377775	0.00152894	0.0144082	0.0755475	0.196587	0.537609	0.0281575	0.00295243	0.0310715	0.0197924	0.00201437	0.00820308	0.031472	0.00378039	0.00942809	0.00392841	0.00760305	0.00170174	0.00256695	0.0175201
n	0.000272386	0.0022877	0.00642597	0.0179932	0.0850041	0.163695	0.422352	0.056931	0.00600317	0.0334299	0.0327556	0.00700438	0.0268098	0.0324164	0.0129762	0.0122594	0.00811424	0.0175017	0.00524848	0.00515563	0.045363
g	0.000278904	0.00130343	0.00163498	0.0213371	0.142482	0.154371	0.376389	0.0603218	0.0166329	0.0521327	0.03	0.0114242	0.0115947	0.0141817	0.012174	0.0163103	0.0159388	0.0157696	0.00527853	0.000998355	0.0394462
ώ	0.0031329	0.00774308	0.0110886	0.0419099	0.0122866	0.183583	0.14971	0.148102	0.0912341	0.0806776	0.0552523	0.0785881	0.0292534	0.00534061	0.0174985	0.00362747	0.0134577	0.00761167	0.00407921	0.00248826	0.0533348
p	0.00123111	0.00111949	0.000352685	0.00383245	0.000771495	0.0392146	0.0457586	0.280872	0.211745	0.202853	0.103414	0.0297431	0.0295968	0.0052058	0.0153902	0.0021765	0.00656489	0.00405098	0.00848055	0.000936179	0.00669023
e	0.0150947	0.0300706	0.0124781	0.0132572	0.0040987	0.0233261	0.0500278	0.0989185	0.0862023	0.156571	0.10397	0.0548793	0.0753896	0.0320462	0.0253249	0.0212224	0.012089	0.0474017	0.0967224	0.00392981	0.0369796
n	0.00097836	0.00185211	0.00208263	0.00399415	0.0031958	0.025367	0.0782932	0.10441	0.0616116	0.16151	0.165425	0.0413149	0.126062	0.0535367	0.0407927	0.0201628	0.0130819	0.0293252	0.0276023	0.00241218	0.0369892
á	0.00476808	0.0087108	0.00508236	0.00584676	0.0039712	0.0242362	0.0686141	0.104762	0.104975	0.196146	0.15807	0.0898103	0.0502815	0.0353337	0.0158541	0.00995849	0.011442	0.0102189	0.00756036	0.00254799	0.0818103
