 	l'	enfant	enlève	les	croûtes	de	sa	plaie	</S>
m	0.876461	0.119687	0.000799761	0.000900489	0.000615919	0.000523588	0.000463858	0.000531949	1.57848e-05
w	0.00509371	0.989956	0.00146587	0.000301131	0.00244842	0.000274118	0.000268787	2.66362e-05	0.000165118
á	0.00633938	0.973948	0.00073862	0.000208149	0.018647	6.94199e-05	1.14639e-05	3.42841e-05	4.04674e-06
n	0.531199	0.44407	0.00550427	0.00268224	0.0115507	0.000581334	0.000144904	6.03943e-05	0.00420798
a	0.194447	0.522998	0.0179755	0.09234	0.0774409	0.0158206	0.018469	0.00316971	0.0573394
b	0.757672	0.0214214	0.111562	0.0574596	0.00235431	0.0078695	0.0209469	0.00662821	0.0140856
o	0.167971	0.0376574	0.209636	0.327685	0.0358975	0.0561664	0.0702835	0.0410397	0.0536632
l	0.0358526	0.00929589	0.672079	0.13125	0.08264	0.0258116	0.0091375	0.00316642	0.0307671
á	0.370103	0.0174832	0.287037	0.104728	0.0288262	0.0414887	0.0504016	0.0167665	0.0831657
a	0.297817	0.00869088	0.170429	0.21503	0.170178	0.0572612	0.0376947	0.0215549	0.0213446
n	0.00985722	0.00174147	0.37669	0.0468349	0.52927	0.0207821	0.00465639	0.00158893	0.00857864
a	0.00230252	0.00116695	0.16377	0.0239363	0.784661	0.0123545	0.0020607	0.000892995	0.00885496
r	0.00218722	0.000539511	0.383358	0.162213	0.244794	0.131646	0.0283506	0.022261	0.0246506
á	0.0062925	0.000849236	0.0799496	0.215319	0.0837967	0.270473	0.167156	0.0524814	0.123682
p	0.00434903	0.000135226	0.00705728	0.244768	0.0474828	0.27044	0.29167	0.126921	0.00717682
o	0.00161073	0.000506888	0.0173695	0.0563781	0.133911	0.160364	0.0325824	0.565812	0.031466
r	0.00336483	0.0009495	0.00851361	0.0343246	0.0227565	0.199886	0.0512023	0.660541	0.0184619
á	0.000909263	0.000380375	0.0203167	0.0205428	0.0191802	0.356856	0.142009	0.206111	0.233695
i	0.00163146	0.000146791	0.00185093	0.0599038	0.00478895	0.143887	0.437922	0.237651	0.112218
k	0.00124834	0.000299797	0.00587758	0.00411951	0.00623279	0.0619953	0.109688	0.644991	0.165548
á	0.000679696	0.000193651	0.00437924	0.00556114	0.00341652	0.0475513	0.0278685	0.872729	0.0376207
r	0.00254416	9.5512e-05	0.00448094	0.0150955	0.00480195	0.0376389	0.0479586	0.844124	0.0432606
á	0.000293813	0.000118194	0.00684191	0.00597524	0.00632786	0.10614	0.136813	0.493272	0.244217
</S>	0.00238549	0.000238267	0.00561455	0.0220872	0.00199655	0.04739	0.222868	0.114874	0.582545
