 	cet	homme	traîne	derrière	lui	un	lot	de	bambous	</S>
m	0.541207	0.437554	0.00390359	0.00237552	0.0058448	0.00410499	0.00181464	0.00310912	7.6293e-05	1.02224e-05
o	0.677835	0.254133	0.0102438	0.0149619	0.0198162	0.00985544	0.00148739	0.00525035	0.000974433	0.0054431
r	0.653344	0.313893	0.00741755	0.00943182	0.00338002	0.00383411	0.00312798	0.00048752	0.00137583	0.00370817
o	0.731798	0.230045	0.00237701	0.0170935	0.00695353	0.00332642	0.00124209	0.00144197	0.00134183	0.00438084
w	0.675189	0.188131	0.0132495	0.00459898	0.00792562	0.00796171	0.00168444	0.0106502	0.00141703	0.0891919
ó	0.134212	0.0635247	0.104494	0.0587592	0.143267	0.119933	0.137664	0.047462	0.00954773	0.181136
b	0.150539	0.0370897	0.11178	0.0458452	0.0642862	0.0507412	0.0225844	0.0538282	0.0143092	0.448997
ó	0.0487641	0.141109	0.490788	0.0319238	0.0981027	0.0680655	0.053764	0.0135189	0.0252446	0.0287192
l	0.0469813	0.168016	0.518863	0.0347046	0.040587	0.0353167	0.0232014	0.0181273	0.0279877	0.0862148
á	0.128314	0.0903109	0.329964	0.0563717	0.0715598	0.0526494	0.0200494	0.0434333	0.0138163	0.193531
a	0.0327314	0.0205978	0.449724	0.153299	0.101013	0.0689408	0.0633334	0.0392334	0.0166663	0.054461
k	0.00910845	0.0110835	0.770112	0.166487	0.0110777	0.00811675	0.00578092	0.00356482	0.0031621	0.0115064
ώ	0.0028828	0.0104105	0.782569	0.130619	0.0161661	0.0185356	0.025242	0.00155667	0.00138317	0.0106359
ώ	0.00412066	0.0131785	0.380899	0.381693	0.0414376	0.063194	0.0715522	0.0060066	0.00123242	0.0366859
i	0.0138065	0.00705648	0.0327645	0.150365	0.330485	0.178395	0.0740871	0.19935	0.00408711	0.00960357
b	0.00595394	0.00512246	0.0314469	0.170498	0.199977	0.209642	0.22451	0.0691678	0.0611367	0.0225453
ε	0.000733326	0.00759189	0.0369694	0.021128	0.0512037	0.12274	0.618541	0.0143185	0.121694	0.00508011
ε	0.00048497	0.00210686	0.0248894	0.102329	0.137779	0.208623	0.432456	0.0168376	0.0191173	0.0553766
l	0.0018402	0.000903013	0.00310651	0.0312153	0.137552	0.194374	0.154956	0.442163	0.0116927	0.022197
á	0.00305856	0.00308752	0.0202638	0.0552036	0.0514098	0.153586	0.15557	0.150357	0.0517808	0.355683
m	0.00715197	0.00219793	0.0013679	0.0085911	0.0398004	0.0793073	0.115133	0.422478	0.307513	0.0164589
b	0.0102653	0.00195231	0.000175097	0.00362797	0.021067	0.028344	0.0254233	0.0688949	0.801067	0.0391827
á	0.000530194	0.000474995	0.000186904	0.00565955	0.0122108	0.0276451	0.0717359	0.0423751	0.818658	0.0205236
á	0.00195433	0.00167826	0.000457043	0.00202016	0.0200769	0.0324091	0.0560931	0.125642	0.687494	0.0721757
</S>	0.00388144	0.00244586	0.00302472	0.00506084	0.0215059	0.0241851	0.0196964	0.250719	0.501216	0.168265
