 	pêcher	le	protoptère	au	harpon	est	l'	activité	lucrative	des	natifs	de	ngwooni	</S>
o	0.348355	0.221635	0.0379947	0.0220507	0.0079022	0.00903671	0.00777414	0.0142682	0.104247	0.0958547	0.0501997	0.0791609	0.00138773	0.000132823
k	0.172508	0.170395	0.0441019	0.0168067	0.0249709	0.0106448	0.0144622	0.029461	0.0221897	0.0263085	0.42883	0.00882652	0.0145221	0.0159728
i	0.00144218	0.00670857	0.00101255	0.00155581	0.00102248	0.0022422	0.00173645	0.000495951	0.00829951	0.00365768	0.959275	0.00277269	0.00358272	0.00619617
n	0.00747796	0.0520858	0.0374546	0.00580304	0.00254132	0.00573274	0.00789066	0.0034171	0.0175158	0.0214111	0.810492	0.0103286	0.0066755	0.0111735
d	0.0996589	0.15123	0.0247524	0.012264	0.00199809	0.0100863	0.00817917	0.0125027	0.0818896	0.0156729	0.546663	0.00313035	0.00343572	0.0285371
á	0.355807	0.196627	0.0222311	0.00645037	0.00129553	0.00877572	0.00603236	0.019801	0.130555	0.00776213	0.105774	0.00208947	0.00330912	0.13349
ó	0.0927341	0.198859	0.239935	0.0854618	0.013055	0.0416464	0.0319439	0.0684061	0.0682682	0.121477	0.00473965	0.0125174	0.000801062	0.0201552
d	0.0757018	0.0470532	0.0322657	0.0591779	0.0733309	0.0748063	0.0986548	0.0478303	0.261545	0.161417	0.0363938	0.00643371	0.00540668	0.0199834
í	0.0212733	0.0107966	0.0166401	0.0179844	0.0173568	0.0609696	0.204481	0.088132	0.35311	0.131746	0.0039698	0.00199947	0.00448836	0.0670526
k	0.0113549	0.0156566	0.0236051	0.0383185	0.0192512	0.0486108	0.0819918	0.0268342	0.282	0.295006	0.0806026	0.0226664	0.00363321	0.0504692
o	0.000724704	0.00381931	0.00251438	0.00414203	0.00763169	0.00594379	0.00465982	0.00161022	0.163589	0.0164769	0.776807	0.00555226	0.00150079	0.00502838
n	0.000224321	0.000684745	0.000940664	0.00205018	0.0004859	0.00468085	0.0071186	0.00268487	0.0546002	0.012605	0.906249	0.00259544	0.000116415	0.00496375
d	0.00773041	0.00610978	0.0065098	0.00659085	0.00151469	0.00964668	0.0465574	0.0483993	0.0610328	0.0294449	0.767572	0.00197903	0.000434302	0.00647803
z	0.00656215	0.00430648	0.00496741	0.00375821	0.00166798	0.00722604	0.0196123	0.0588235	0.138063	0.0212347	0.7043	0.0012504	0.00117906	0.0270479
í	0.00809294	0.00935851	0.0283503	0.0273549	0.0118956	0.0158432	0.0221699	0.121046	0.131122	0.0429917	0.556261	0.00757358	0.00271512	0.0152254
y	0.0029047	0.00480229	0.00718765	0.0345345	0.0211023	0.0733067	0.0692078	0.111482	0.0617371	0.539584	0.0211041	0.0419428	0.00213837	0.00896548
á	0.00277308	0.00792337	0.011333	0.020477	0.00470322	0.0371653	0.0926459	0.133073	0.0714575	0.374779	0.0724744	0.121079	0.0245895	0.0255262
s	0.00235428	0.00501119	0.00435369	0.00828189	0.00944107	0.0199384	0.0853821	0.0124099	0.030409	0.287978	0.207704	0.250837	0.064293	0.0116073
í	0.00472975	0.00318628	0.0028798	0.00580404	0.0153798	0.0128116	0.16236	0.0489608	0.0556628	0.150653	0.106063	0.0811989	0.321052	0.0292575
n	0.00035927	0.00104034	0.00231579	0.00527172	0.00708153	0.00753779	0.0155837	0.00851074	0.0101925	0.207169	0.142734	0.496223	0.0730571	0.0229233
g	0.0035933	0.00281673	0.00631782	0.00558449	0.0367723	0.00442451	0.0233867	0.0555931	0.0464437	0.0695416	0.0401618	0.0668551	0.499805	0.138704
w	0.00130122	0.000709499	0.00188341	0.0020733	0.0160448	0.00242694	0.0152373	0.0890956	0.0186034	0.0644491	0.0660029	0.0605813	0.631531	0.0300601
ω	0.00112087	0.00188327	0.0031937	0.00209438	0.00500618	0.00459606	0.010908	0.0614283	0.00920124	0.0314395	0.0248125	0.0624881	0.719621	0.062207
ω	0.000124327	0.00054983	0.00122948	0.00359602	0.00507859	0.00595348	0.00851782	0.00933908	0.00406917	0.104925	0.136277	0.310213	0.0476929	0.362434
n	0.001026	0.00246377	0.00233789	0.005853	0.00151128	0.00783454	0.00704194	0.00520652	0.00271807	0.0991725	0.0153975	0.489983	0.0735293	0.285925
í	0.0167338	0.0140198	0.00888518	0.0150241	0.0118942	0.0176179	0.03109	0.0444806	0.0235856	0.0559087	0.0129709	0.0938022	0.301973	0.352014
</S>	0.000206915	0.000534093	0.000916154	0.00302399	0.00205575	0.0064314	0.00673249	0.00550485	0.00119362	0.123249	0.00582764	0.227407	0.0617746	0.555143
