 	quand	une	fille	est	agitée	c'	est	triste	pour	sa	mère	</S>
m	0.672869	0.217249	0.0743658	0.00989417	0.00338796	0.00889951	0.00342665	0.00452419	0.00138699	0.00394535	3.93377e-05	1.22659e-05
w	0.0217951	0.0165402	0.910499	0.0112649	0.00368432	0.00330987	0.00449282	0.00835397	0.00233683	0.00759889	0.00100408	0.00912036
á	0.00181043	0.0004943	0.996876	7.74946e-05	0.000323787	7.09046e-05	7.37195e-05	0.000159033	2.13322e-05	2.9586e-05	6.00623e-05	2.97445e-06
n	0.257111	0.18138	0.538483	0.00661429	0.00232606	0.00185552	0.00127991	0.000530789	0.0011163	0.00196037	0.00017738	0.0071652
a	0.2375	0.0720553	0.562291	0.0118766	0.0395452	0.0103529	0.00955845	0.00170028	0.00233486	0.00473767	0.00111616	0.0469314
o	0.176759	0.746587	0.0257317	0.00685224	0.00445574	0.00787176	0.00612478	0.00457381	0.0056083	0.0100886	0.00114451	0.00420308
y	0.28865	0.161758	0.247992	0.198236	0.0703229	0.0095759	0.00821544	0.00344581	0.004952	0.00114475	0.000952393	0.00475441
ú	0.104505	0.58016	0.257738	0.0231053	0.0102491	0.00191831	0.00351092	0.00412708	0.000859379	0.00041096	0.00181222	0.0116032
r	0.144345	0.784638	0.00358779	0.00674126	0.00971401	0.00408571	0.00872245	0.00478033	0.0030823	0.00521732	0.000922021	0.0241639
u	0.289114	0.58466	0.0232369	0.0136039	0.0344397	0.01232	0.0131875	0.00435087	0.00616763	0.00919228	0.000279298	0.00944766
w	0.173429	0.309071	0.0329089	0.223375	0.0423275	0.0493185	0.0326264	0.0124371	0.0269123	0.0464535	0.0069635	0.0441778
á	0.138801	0.172111	0.00399054	0.140963	0.146282	0.108	0.0629496	0.0317502	0.0858263	0.0546057	0.00452287	0.0501992
á	0.0558352	0.0929027	0.00783041	0.324677	0.112201	0.0770469	0.0537894	0.0172665	0.0800788	0.047331	0.00979969	0.121241
a	0.0138456	0.0209791	0.00522978	0.619642	0.175286	0.0549866	0.0319677	0.0184899	0.0108073	0.00920343	0.00894452	0.0306186
d	0.022943	0.0204585	0.00180922	0.396888	0.315171	0.0823696	0.0364536	0.0142951	0.025658	0.00695823	0.0112476	0.065748
i	0.0149444	0.00983106	0.00118124	0.417311	0.230328	0.11375	0.0841289	0.014673	0.0206958	0.00942632	0.0038343	0.079896
l	0.00792081	0.00972167	9.76195e-05	0.31156	0.365578	0.140242	0.0794864	0.00470628	0.0224294	0.00982348	0.000859658	0.0475755
w	0.00554228	0.00206944	0.000184098	0.134265	0.252877	0.215101	0.0759781	0.0254544	0.0531308	0.0264745	0.00565525	0.203269
ó	0.00350904	0.00274377	0.000683673	0.0610125	0.327022	0.179653	0.118283	0.112438	0.0599855	0.0368657	0.0189442	0.0788599
m	0.00054738	0.000847882	0.000204062	0.0485209	0.485038	0.20859	0.0646708	0.0559015	0.068253	0.00909551	0.0393133	0.0190175
a	0.000375834	0.000174247	1.21802e-05	0.0695031	0.631208	0.169448	0.0794025	0.00166814	0.0302001	0.00301703	0.000351553	0.014639
l	0.000664197	0.00126152	2.12036e-05	0.0489735	0.0975643	0.497025	0.234555	0.0184593	0.0427615	0.0197017	0.0021354	0.0368776
w	0.00310512	0.00298657	0.000221118	0.0172647	0.0314755	0.179553	0.249153	0.109481	0.0736083	0.0250869	0.0343713	0.273694
ó	0.00108705	0.0029175	0.000190665	0.00850749	0.0362093	0.2117	0.388662	0.250186	0.0303462	0.0218284	0.0254547	0.0229108
m	0.000249845	0.000369297	1.96358e-05	0.0215971	0.105736	0.279044	0.333424	0.111715	0.0793637	0.0154913	0.0202596	0.0327302
a	0.0024568	0.0024636	8.1773e-05	0.0245828	0.170319	0.238132	0.228601	0.0045774	0.187273	0.0631717	0.00347975	0.0748621
y	0.00181606	0.00337916	3.99405e-05	0.00794214	0.0130562	0.133485	0.214847	0.115196	0.325103	0.076397	0.0224843	0.0862539
é	0.00342218	0.00989417	6.27724e-05	0.0176936	0.0423297	0.127323	0.318063	0.241931	0.100682	0.0515896	0.0628539	0.0241551
e	0.000773436	0.0020251	2.1034e-05	0.00262598	0.00755182	0.0905074	0.236336	0.272141	0.157048	0.117835	0.0591084	0.0540266
k	0.000870403	0.000409754	1.13979e-05	0.0090093	0.00783348	0.0375563	0.155997	0.192843	0.396315	0.0397579	0.0827931	0.0766037
y	0.000725037	0.000183049	8.78964e-05	0.00711254	0.0132339	0.0344797	0.104126	0.155985	0.561582	0.0254761	0.0156038	0.0814054
á	0.00919557	0.00224137	0.0001655	0.00868003	0.02877	0.0829232	0.147887	0.104714	0.450097	0.0476335	0.0122186	0.105475
n	0.00221352	0.00234778	6.24216e-05	0.00563708	0.0056739	0.0442944	0.104394	0.0684236	0.429739	0.18543	0.00800926	0.143774
y	0.00165798	0.00143326	4.44417e-05	0.000942513	0.00287644	0.0142436	0.0530891	0.666755	0.0961951	0.0368725	0.0667379	0.0591517
i	0.000297933	0.00262065	7.72167e-05	0.000294443	0.000793621	0.0043804	0.0211419	0.741136	0.0428076	0.0216489	0.137279	0.0275228
n	3.34627e-05	0.000136198	1.43529e-05	0.000300694	0.000696321	0.00765856	0.0330806	0.586703	0.0506618	0.0135324	0.232383	0.0748002
g	0.00115813	0.0015981	1.9517e-05	0.0033975	0.00835539	0.0272896	0.0872001	0.192682	0.303609	0.0716654	0.0294278	0.273597
a	0.000467691	0.000296008	2.35991e-05	0.00191222	0.0178651	0.0899251	0.14087	0.384618	0.168567	0.0424116	0.0707151	0.0823294
l	0.00113037	0.00121789	2.55728e-05	0.0043557	0.00343525	0.01939	0.0340451	0.086583	0.174712	0.316875	0.088798	0.269432
a	0.00570326	0.00271487	3.20591e-05	0.00697629	0.00791203	0.0167321	0.0343242	0.0759718	0.166164	0.190375	0.0703056	0.422789
n	0.000274261	0.00111407	7.60936e-05	0.00150116	0.00284219	0.00997006	0.0174916	0.120532	0.0738899	0.511104	0.157146	0.104058
g	5.82677e-05	0.000965483	8.60013e-05	3.74241e-05	0.000132458	0.000563533	0.0028173	0.127044	0.00988898	0.0133151	0.838043	0.00704846
ó	2.64015e-05	0.000772526	3.77465e-05	3.76954e-05	0.000116014	0.000509538	0.00235111	0.162674	0.0047068	0.00866461	0.799174	0.0209293
o	5.73216e-06	8.88767e-05	1.19637e-05	4.09098e-05	0.000394406	0.00137503	0.0035056	0.0717225	0.00822212	0.00470983	0.886086	0.0238367
y	0.00032702	0.000779362	2.43122e-05	0.00305417	0.00140397	0.0123994	0.0227958	0.0597141	0.153529	0.171109	0.176062	0.398802
a	0.000983735	0.0022279	1.27983e-05	0.0119234	0.0113446	0.0330433	0.0564712	0.12306	0.0945583	0.311707	0.168344	0.186323
w	0.000451689	0.00265635	8.3275e-05	0.00175676	0.00369806	0.0112279	0.0194166	0.195894	0.0270145	0.514478	0.102114	0.121209
a	0.00129533	0.00166173	5.34671e-05	0.00161188	0.00589651	0.0165231	0.0276741	0.0703214	0.265615	0.370814	0.0708132	0.16772
</S>	0.000171563	0.000310251	1.49161e-05	0.000590682	0.00223226	0.00532457	0.0126055	0.0239806	0.140756	0.217944	0.0504099	0.54566
