 	l'	écureuil	est	pris	au	piège	</S>
l	0.527522	0.445894	0.0198665	0.00250997	0.00345755	0.000596623	0.000153547
e	0.490244	0.444483	0.0362123	0.00882544	0.0137157	0.0023926	0.00412605
k	0.120489	0.807792	0.0281366	0.019133	0.00313026	0.00222641	0.0190929
u	0.00643019	0.970783	0.00532005	0.00786158	0.00102486	0.00291673	0.00566312
n	0.0465257	0.839212	0.0268722	0.0573232	0.00626658	0.000904097	0.0228963
ε	0.249406	0.590641	0.0410925	0.0496053	0.0443992	0.0104164	0.0144399
í	0.368141	0.127362	0.427606	0.0376488	0.0149693	0.00143498	0.0228384
m	0.1196	0.013911	0.458316	0.310014	0.069493	0.00928005	0.0193871
i	0.100101	0.0641383	0.303508	0.180864	0.0827421	0.0248126	0.243835
t	0.00393358	0.0124233	0.0583179	0.84168	0.0559934	0.00692114	0.0207309
u	0.000450716	0.00706042	0.0150974	0.940854	0.013532	0.00520483	0.0178006
s	0.0148659	0.0428774	0.037342	0.746641	0.0511498	0.00530502	0.101819
á	0.019563	0.0141666	0.025799	0.750632	0.107776	0.0348601	0.0472036
m	0.0163282	0.003046	0.0490393	0.0683358	0.307187	0.466938	0.089126
ó	0.0069046	0.00490746	0.00829184	0.0202137	0.115358	0.596856	0.247469
b	0.0141454	0.00254195	0.00976356	0.0189349	0.0825988	0.815696	0.0563197
ó	0.00971001	0.00713067	0.0127671	0.0311395	0.0826057	0.835121	0.0215258
y	0.00120812	0.000811919	0.017383	0.0350744	0.0773495	0.741272	0.126901
á	0.0422604	0.0282342	0.0496003	0.0819539	0.224446	0.477336	0.0961692
</S>	0.0262487	0.00367556	0.0313661	0.0476796	0.208062	0.251976	0.430991
