 	il	a	des	mauvaises	pensées	</S>
w	0.661246	0.18367	0.116494	0.0161694	0.0223984	2.0858e-05
a	0.862251	0.0815087	0.0322619	0.0199714	0.00392998	7.73521e-05
a	0.0388511	0.617249	0.319404	0.00538898	0.0103997	0.00870746
d	0.0208034	0.404564	0.258595	0.0633135	0.00824608	0.244478
í	0.0133315	0.37671	0.271978	0.0464917	0.00142067	0.290068
l	0.00795086	0.057311	0.142243	0.0944357	0.0152547	0.682805
a	0.0434322	0.096313	0.24311	0.13514	0.0793283	0.402677
m	0.017149	0.120469	0.152936	0.263152	0.310815	0.135479
b	0.000574264	0.00977349	0.0398593	0.26012	0.562804	0.126869
a	0.000557687	0.00438326	0.0377767	0.655235	0.265039	0.0370083
r	0.0010635	0.00805136	0.0721242	0.517675	0.263931	0.137155
á	0.00344652	0.0116389	0.0850346	0.409566	0.11907	0.371244
a	0.0262152	0.0668645	0.194105	0.142526	0.0408814	0.529408
m	0.00973741	0.178297	0.344521	0.262361	0.0389825	0.166101
á	0.00531809	0.0327509	0.101048	0.090923	0.147859	0.6221
b	0.0183283	0.0657517	0.130297	0.456112	0.0417508	0.28776
é	0.0265991	0.0607625	0.126198	0.691945	0.0256126	0.0688827
</S>	0.000641844	0.00371453	0.0148666	0.0662686	0.017851	0.896657
