 	une	bande	de	buffles	se	dirigea	vers	les	chasseurs	</S>
e	0.731379	0.221097	0.0248708	0.0137351	0.00702423	0.000374651	0.000349359	0.00113526	2.8982e-05	5.59929e-06
k	0.240542	0.722085	0.0117325	0.0203412	0.00180182	0.000171943	0.0013014	0.000573203	0.00121425	0.00023659
u	0.0152483	0.97043	0.00188233	0.00443583	0.00180593	0.000655963	0.00037992	0.000644204	0.00379149	0.000726415
n	0.00782876	0.97655	0.00168019	0.00969248	0.00161184	0.000517429	0.000364417	0.00036791	0.000756228	0.000630721
g	0.13574	0.695138	0.0553626	0.0434848	0.0318818	0.00722974	0.00360179	0.00667335	0.00968203	0.0112063
a	0.281821	0.558623	0.0306529	0.0285584	0.0240401	0.0198845	0.0058506	0.00224871	0.0223116	0.0260096
y	0.121071	0.0452914	0.661359	0.0211499	0.0457868	0.0252709	0.00904641	0.00683716	0.000484729	0.0637025
á	0.44085	0.0216955	0.347642	0.061097	0.0261702	0.0482498	0.0123113	0.0186627	0.000549066	0.0227719
a	0.13207	0.0105472	0.384919	0.376144	0.0349983	0.0274237	0.0104875	0.0182042	0.00208253	0.00312332
n	0.0388449	0.0170791	0.0693404	0.693802	0.0934384	0.0277771	0.0406589	0.00241954	0.00323629	0.013403
d	0.0249744	0.0128113	0.128067	0.669667	0.086284	0.0270585	0.0257649	0.00438826	0.00229344	0.0186908
z	0.00144001	0.00458537	0.0219429	0.910742	0.0314428	0.0157156	0.00980584	0.00065398	0.00132045	0.00235145
á	0.00175652	0.0151882	0.00939614	0.912946	0.0275627	0.0200658	0.00564658	0.000741631	0.00238787	0.00430896
a	0.0160937	0.106069	0.0976798	0.301131	0.288013	0.0907672	0.021855	0.00855547	0.00918048	0.0606555
é	0.0120498	0.00168195	0.27701	0.0448027	0.450754	0.151712	0.0201814	0.0149686	0.00077923	0.0260599
b	0.0241559	0.00654636	0.0437525	0.0452356	0.313409	0.424593	0.116107	0.013818	0.000757027	0.0116258
h	0.00942236	0.00481686	0.0319754	0.0815256	0.408589	0.207929	0.178347	0.0380728	0.0115853	0.0277364
i	0.0125765	0.00555579	0.0272284	0.110065	0.458657	0.160638	0.124757	0.0176042	0.0116799	0.071238
y	0.0112645	0.00303442	0.0231977	0.0562953	0.28025	0.208788	0.142802	0.0434496	0.0142969	0.216621
é	0.00350042	0.00230419	0.0100467	0.0236113	0.076064	0.63877	0.149046	0.0516346	0.00499803	0.0400245
e	0.00133791	0.00159901	0.00903985	0.0183246	0.0828211	0.228924	0.518477	0.0768146	0.0335798	0.0290829
y	0.00234062	0.00194382	0.00237156	0.00881985	0.0193256	0.123025	0.76494	0.0234298	0.018648	0.0351562
a	0.00129981	0.00425178	0.00272636	0.0170553	0.0217465	0.321834	0.517698	0.020571	0.0133576	0.0794591
á	0.0015427	0.00107168	0.00374582	0.0284535	0.042015	0.205068	0.508924	0.0215951	0.0198721	0.167712
m	0.00103018	0.000461786	0.00905212	0.00645999	0.0307084	0.044227	0.406971	0.413851	0.0351167	0.0521222
á	0.00210635	0.000440366	0.00432247	0.00937258	0.0136475	0.0375145	0.239117	0.241874	0.0892631	0.362342
l	0.00326586	0.000525857	0.00785104	0.00464436	0.0121887	0.0204276	0.22036	0.215676	0.425535	0.089526
á	0.00264884	0.000937309	0.00562767	0.00323829	0.00909079	0.0251382	0.396012	0.184491	0.0967155	0.276101
a	0.00118809	0.000180725	0.00539139	0.00118298	0.00697766	0.0265654	0.15028	0.286903	0.295877	0.225454
b	0.00229314	0.000814445	0.00267989	0.00196358	0.00549813	0.0247438	0.143842	0.163368	0.300555	0.354242
e	0.000926155	0.00163545	0.00827931	0.00600499	0.0377178	0.0158432	0.0328649	0.0403548	0.827386	0.0289872
n	0.000475256	0.00153734	0.00112513	0.00246009	0.00722678	0.0131849	0.0483702	0.0391639	0.634645	0.251811
g	0.00176278	0.00501682	0.000761044	0.00564984	0.0112145	0.031969	0.0726334	0.0335326	0.348677	0.488783
i	0.00152559	0.00282757	0.0027393	0.00293745	0.0212942	0.0366824	0.026638	0.0146522	0.806536	0.0841672
</S>	0.00224571	0.000882985	0.00503828	0.00122916	0.0118904	0.0185861	0.0251695	0.196443	0.0681139	0.670401
