 	il	fait	toujours	attention	à	sa	petite	soeur	</S>
w	0.314777	0.177547	0.0747576	0.104593	0.125219	0.098695	0.0797531	0.0226705	0.00198867
a	0.40358	0.0625705	0.0149507	0.0374621	0.114009	0.145786	0.107265	0.114066	0.000311974
a	0.155346	0.282706	0.229008	0.0983856	0.0516008	0.039785	0.0359257	0.0177493	0.089493
d	0.0311622	0.341011	0.325656	0.102144	0.0352654	0.0208586	0.0508343	0.0119099	0.0811591
í	0.00441854	0.154567	0.233799	0.134927	0.0721385	0.0321445	0.0209392	0.00142067	0.345645
í	0.00275822	0.0257551	0.168888	0.119614	0.104171	0.0690214	0.0691574	0.0110157	0.429618
p	0.0157641	0.0521309	0.320346	0.105537	0.20712	0.125938	0.0601257	0.0405361	0.0725025
ó	0.00318963	0.05853	0.0374636	0.265901	0.18692	0.219475	0.0649965	0.0647978	0.0987263
s	0.0215739	0.110609	0.0799966	0.0651183	0.127016	0.189117	0.0797289	0.156214	0.170626
á	0.00713731	0.0942526	0.0930203	0.147618	0.193145	0.288796	0.079481	0.0226167	0.0739331
b	0.00686763	0.00629025	0.0331115	0.0470214	0.165379	0.23192	0.168557	0.297063	0.0437907
o	0.00145013	0.00098239	0.00291737	0.00558028	0.016198	0.0388506	0.0453106	0.882926	0.00578475
l	0.000323002	0.00166688	0.00212477	0.00589787	0.0282478	0.0666644	0.0814762	0.755649	0.0579503
a	0.00224022	0.00573797	0.0163261	0.0811226	0.179394	0.180683	0.109437	0.24382	0.181238
w	0.0016944	0.0038718	0.0229786	0.0382357	0.111427	0.159495	0.208373	0.08742	0.366505
a	0.0129404	0.0153808	0.0138304	0.0295399	0.119579	0.295447	0.319457	0.114439	0.0793856
m	0.00518208	0.00254302	0.010662	0.0168017	0.0752792	0.175763	0.243565	0.187295	0.282908
έ	0.0026237	0.00695559	0.0169552	0.0152515	0.114747	0.263508	0.404398	0.0190444	0.156516
n	0.000506456	0.0023843	0.00999133	0.0102173	0.0788759	0.22824	0.403289	0.0400566	0.226439
d	0.000946684	0.00406605	0.0113612	0.00792517	0.0444536	0.055745	0.200026	0.0169312	0.658545
e	0.00106945	0.00235145	0.00521656	0.00556026	0.0213572	0.036424	0.0787791	0.0330832	0.816159
</S>	0.000294909	0.00219761	0.0041866	0.0129004	0.0550481	0.0705621	0.106676	0.0407945	0.70734
