 	beaucoup	d'	hommes	sont	partis	travailler	en	ville	</S>
a	0.337588	0.51759	0.125994	0.0146195	0.000129514	0.000444612	0.00303002	0.000544235	5.98612e-05
b	0.0663476	0.619253	0.283711	0.00875699	0.00383434	0.00496929	0.00732778	0.00354374	0.00225672
a	0.0272163	0.13917	0.811367	0.00604104	0.000724033	0.000675769	0.00590749	0.00108262	0.00781585
a	0.0420192	0.431308	0.427727	0.00700426	0.00384123	0.00305651	0.00238842	0.00998052	0.0726747
a	0.286426	0.153683	0.192375	0.266523	0.024994	0.0134097	0.00503369	0.00036101	0.0571943
y	0.0422315	0.0508918	0.119728	0.367407	0.194305	0.140071	0.0490731	0.0037326	0.0325597
í	0.0267377	0.0224243	0.0128727	0.195451	0.472383	0.196248	0.00725052	0.00704117	0.0595909
í	0.00907582	0.00643696	0.0178207	0.0884824	0.561217	0.155055	0.00979165	0.00501379	0.147106
á	0.0643949	0.0409663	0.11474	0.530152	0.0871626	0.120521	0.0188196	0.0071595	0.0160837
d	0.00392711	0.00361741	0.00745322	0.0717766	0.318197	0.52385	0.0446881	0.00885963	0.0176304
í	0.00172914	0.000776756	0.000727623	0.0325118	0.218739	0.648143	0.0223132	0.00693271	0.0681263
m	0.00607286	0.0025726	0.00859057	0.0581812	0.38514	0.409848	0.0637468	0.00668179	0.059167
ó	0.0498378	0.0502967	0.00644191	0.175892	0.0828318	0.2821	0.246479	0.0195641	0.086557
n	0.0370448	0.0192136	0.0123718	0.0600302	0.0816462	0.287397	0.281177	0.184862	0.0362574
g	0.029054	0.0273133	0.00136487	0.011532	0.00725917	0.217086	0.0376922	0.590083	0.0786157
y	0.00601972	0.0141126	0.00227354	0.00699297	0.00291081	0.039266	0.0222322	0.88526	0.0209322
ε	0.00410777	0.00892105	0.000684812	0.00439387	0.00690566	0.0646428	0.0464964	0.609588	0.25426
l	0.00704667	0.0112287	0.000918929	0.0036153	0.0125275	0.0384333	0.043592	0.291562	0.591075
έ	0.00943452	0.00846779	0.00104016	0.0112184	0.0372982	0.0865474	0.343067	0.144647	0.35828
</S>	0.0143956	0.00404015	0.00022864	0.0242375	0.00729831	0.0921507	0.583552	0.0941868	0.17991
