 	cet	enfant	est	en	train	de	rire	</S>
m	0.761399	0.23233	0.00254486	0.00188621	0.000978151	0.000498425	0.000156135	0.00020659
w	0.134424	0.862134	0.00288389	0.00035255	9.50465e-06	8.29986e-05	2.62681e-06	0.000110273
á	0.0126569	0.986896	0.000249866	0.000146031	2.77926e-05	6.69017e-06	6.70308e-06	9.94672e-06
n	0.0683989	0.929951	0.000624226	0.000270007	0.000144621	6.73622e-05	1.37313e-05	0.000530379
a	0.158554	0.64207	0.10471	0.0262545	0.0013325	0.00558777	0.00066497	0.060826
w	0.758237	0.122686	0.0630524	0.032309	0.0017941	0.0121793	0.00168281	0.00805935
ó	0.185957	0.0772586	0.281306	0.198374	0.137554	0.0573425	0.00312141	0.0590861
b	0.0401616	0.0180676	0.407058	0.388097	0.0177067	0.0721704	0.0014735	0.0552655
ó	0.0646071	0.0318216	0.332096	0.452066	0.0828459	0.0260862	0.000117074	0.0103601
l	0.016088	0.0139903	0.239378	0.386873	0.192517	0.122001	0.00315743	0.0259962
á	0.0278892	0.0167762	0.301293	0.144487	0.00907797	0.155071	0.00371367	0.341692
a	0.103862	0.0650043	0.394323	0.177677	0.0247688	0.170947	0.00821257	0.0552047
d	0.0124224	0.00209728	0.121583	0.125427	0.00419174	0.0643685	0.631975	0.0379356
z	0.0028407	7.28499e-05	0.133041	0.116167	0.00152826	0.0339753	0.560434	0.151941
ε	0.0603468	0.011144	0.295443	0.0698948	0.000957907	0.0447576	0.358936	0.15852
ε	0.00538409	0.000266717	0.0380033	0.0454705	0.00550338	0.115232	0.3864	0.40374
</S>	0.000415798	0.000150508	0.0223099	0.0204653	0.00133276	0.300902	0.0941496	0.560274
