 	il	ouvre	la	barrière	</S>
w	0.974157	0.0134413	0.0100034	0.00231887	7.90049e-05
a	0.955502	0.00745449	0.0288945	0.00801708	0.000131925
a	0.410122	0.498586	0.0757454	0.00793393	0.00761301
k	0.150325	0.67648	0.126605	0.0204547	0.0261359
ú	0.0450159	0.701217	0.0205398	0.0392245	0.194003
m	0.0384985	0.470641	0.195358	0.122312	0.17319
ú	0.223454	0.100277	0.383364	0.0173048	0.2756
k	0.0273245	0.0180684	0.145441	0.507294	0.301872
ó	0.00910298	0.0849771	0.0508599	0.659381	0.195679
ó	0.000781904	0.0297109	0.00876898	0.90599	0.0547486
</S>	0.00318346	0.00864673	0.13095	0.146305	0.710915
