 	quand	tu	étais	encore	petit	tu	insultais	les	gens	</S>
i	0.797333	0.12234	0.00746148	0.00442911	0.0141342	0.0242919	0.0184674	0.00897398	0.0023801	0.000188247
k	0.334093	0.152755	0.146384	0.0539632	0.0561913	0.0177474	0.210867	0.0204746	0.00452	0.00300456
á	0.116881	0.0705997	0.0739051	0.0163527	0.106604	0.0369249	0.502994	0.0527283	0.00609718	0.0169131
n	0.195151	0.097655	0.0600327	0.0138079	0.10774	0.0592643	0.317612	0.0425256	0.0535694	0.0526422
g	0.59005	0.173731	0.0386136	0.00820866	0.0391679	0.0620072	0.0661795	0.0132153	0.0011083	0.0077189
a	0.405529	0.254116	0.0583922	0.0105771	0.0477439	0.086316	0.0402749	0.0195699	0.00447123	0.0730101
l	0.208299	0.265829	0.128448	0.0998169	0.0600034	0.0508049	0.0390819	0.0378947	0.0109625	0.0988601
á	0.125859	0.254187	0.13647	0.0889265	0.0658818	0.0786023	0.0181118	0.0305055	0.00179601	0.19966
á	0.301377	0.366648	0.0561828	0.0620033	0.0674255	0.091144	0.00652753	0.0186884	0.00772801	0.0222757
d	0.0468828	0.122882	0.274801	0.352891	0.0763048	0.0256707	0.0595615	0.0154393	0.0014286	0.0241384
z	0.00217487	0.0109913	0.346851	0.41993	0.0716335	0.00876577	0.0208242	0.0138978	0.00066041	0.104271
á	0.00668022	0.0149829	0.706035	0.197282	0.0551653	0.00297909	0.00332237	0.00310987	0.000216704	0.0102272
n	0.0102579	0.0256056	0.0743336	0.234545	0.22313	0.0683367	0.0638688	0.0507384	0.0713316	0.177852
ω	0.0246067	0.240019	0.0944943	0.173592	0.169471	0.144369	0.00952731	0.0230211	0.0131038	0.107796
o	0.00850366	0.0452132	0.105466	0.314168	0.251668	0.0850459	0.0988878	0.0458289	0.00726661	0.0379521
s	0.00215853	0.00507352	0.0862819	0.121931	0.210687	0.0120675	0.532479	0.0200102	0.00236949	0.00694154
á	0.00253062	0.00562956	0.169243	0.360148	0.250494	0.00657913	0.119033	0.0199863	0.000662496	0.0656939
a	0.00193769	0.00630947	0.0226406	0.216905	0.271954	0.0685032	0.104429	0.0272262	0.0100977	0.269997
o	0.00213901	0.00447626	0.0112631	0.0866473	0.25804	0.162031	0.337698	0.0864608	0.0194675	0.0317773
k	0.0010263	0.00201973	0.0281872	0.0434992	0.130249	0.0213732	0.628515	0.122527	0.00562418	0.0169796
í	0.000176774	0.000363283	0.00336406	0.00364627	0.0354829	0.00765383	0.863807	0.0542031	0.0123039	0.0189984
ε	0.000418014	0.000603588	0.00256408	0.00797858	0.070168	0.0249495	0.7236	0.0340578	0.0298674	0.105793
έ	0.00031986	0.0010109	0.00171404	0.0150376	0.103901	0.183763	0.262917	0.242436	0.102695	0.0862046
n	0.00388337	0.00470926	0.00920254	0.012774	0.0698608	0.0896084	0.233868	0.234298	0.0372558	0.30454
ω	0.00556754	0.0195403	0.0194333	0.0614424	0.266877	0.375874	0.061317	0.102688	0.0105362	0.0767253
l	0.000494402	0.00202466	0.00401354	0.0414911	0.157736	0.161105	0.0998899	0.313688	0.0302655	0.189292
a	0.00508682	0.00499795	0.00768164	0.0277102	0.132601	0.184498	0.169909	0.243422	0.0292452	0.194848
d	0.00108787	0.00263145	0.0021286	0.0109346	0.0888396	0.362979	0.0278205	0.213612	0.210166	0.0798
z	0.000933338	0.00250302	0.0370423	0.129542	0.220159	0.0434838	0.0234178	0.122935	0.0373439	0.382639
a	0.0021954	0.00352608	0.115505	0.0700236	0.276573	0.0736133	0.039663	0.210508	0.0342002	0.174192
l	0.000231034	0.000239132	0.00200586	0.01037	0.090548	0.0379012	0.0657254	0.139384	0.154875	0.49872
ó	0.000527588	0.00111773	0.00385502	0.0148641	0.125181	0.0936858	0.0810851	0.120421	0.0790593	0.480203
o	0.000816606	0.00101063	0.00265994	0.00480566	0.0428564	0.05945	0.0597824	0.257414	0.118237	0.452967
t	0.000236942	0.00103044	0.0161528	0.0155752	0.0344714	0.0193209	0.0556308	0.237895	0.0150069	0.60468
ú	0.000997147	0.00234224	0.0204853	0.00816798	0.0725189	0.0587791	0.212866	0.292378	0.0842053	0.247261
á	0.00036466	0.000539544	0.00422343	0.00464109	0.100553	0.0394012	0.078635	0.109522	0.0133301	0.64879
b	0.000598735	0.00262131	0.00716319	0.0129843	0.0398279	0.0672998	0.0297934	0.12745	0.142974	0.569288
a	0.000856208	0.00130169	0.00052339	0.00366323	0.0135306	0.236903	0.0166656	0.109573	0.52432	0.0926636
r	0.000903995	0.00115605	0.000326952	0.00198707	0.0169869	0.227772	0.00842085	0.0386096	0.509874	0.193963
e	0.00171885	0.00376184	0.00215218	0.00162747	0.0515521	0.299228	0.0360561	0.152484	0.0787309	0.372688
</S>	0.00106682	0.00145163	0.00144044	0.00495389	0.0325534	0.0827073	0.0154411	0.162131	0.0826588	0.615595
