 	il	transporte	le	sable	dans	un	panier	</S>
w	0.887068	0.102633	0.00337493	0.00209679	0.00133285	0.00278673	0.000615797	9.17573e-05
a	0.878529	0.0943691	0.00806134	0.002099	0.00424904	0.00952984	0.00305237	0.000110196
b	0.547596	0.401975	0.0314553	0.00485376	0.00464962	0.00499967	0.00172199	0.00274845
ó	0.107608	0.829127	0.034664	0.00457818	0.00710406	0.00363725	0.00520546	0.00807661
l	0.132681	0.655136	0.0619567	0.00730366	0.0309358	0.0197216	0.00545521	0.0868094
á	0.308261	0.289887	0.105822	0.030007	0.0600704	0.039923	0.011383	0.154647
a	0.467696	0.0199555	0.328929	0.0875405	0.0193959	0.0262805	0.0218523	0.0283497
b	0.0225098	0.426939	0.477454	0.0495622	0.0100637	0.00391089	0.00184211	0.00771799
é	0.0118378	0.812298	0.149235	0.00484677	0.00903154	0.00322501	0.00257941	0.00694651
r	0.0119828	0.0960403	0.646313	0.109276	0.0434119	0.0169703	0.00700672	0.0689985
á	0.0133956	0.0203607	0.570612	0.232958	0.0943516	0.0119358	0.00520011	0.0511864
t	0.00654737	0.00230847	0.22663	0.462359	0.225844	0.0554678	0.0135491	0.00729542
s	0.00436644	0.0010662	0.146338	0.616986	0.13964	0.0250109	0.0470059	0.0195866
ε	0.00074884	0.00501531	0.118329	0.604555	0.163145	0.0523437	0.0457746	0.0100887
n	0.00097971	0.00137951	0.107703	0.434068	0.292913	0.0595937	0.0445649	0.0587982
g	0.00094218	0.000258218	0.0575386	0.459962	0.23982	0.0660893	0.0297689	0.145621
ε	0.00894624	0.000868391	0.0451181	0.804805	0.0472498	0.0241174	0.0338827	0.0350125
m	0.0015912	0.000159543	0.0408423	0.0840145	0.559589	0.182939	0.0699784	0.060886
é	0.00319135	0.00140743	0.0190542	0.00325246	0.101024	0.108944	0.0921197	0.671007
t	0.001511	0.000912738	0.0103192	0.00318147	0.0516606	0.162012	0.681321	0.0890823
a	0.000591832	0.000579921	0.00807878	0.00567049	0.0152733	0.0578167	0.862574	0.0494145
n	0.000338764	0.000258595	0.00470657	0.00671146	0.0319021	0.0627162	0.637787	0.255579
g	0.00104069	0.00151938	0.0195264	0.0301524	0.0571622	0.205299	0.407723	0.277577
í	0.00265901	0.000634661	0.00633957	0.0904336	0.061887	0.0833293	0.301466	0.453251
</S>	0.00148555	0.000717981	0.0109517	0.011103	0.0570188	0.0912489	0.169666	0.657808
