 	la	moquerie	fait	pleurer	certaines	personnes	</S>
k	0.31817	0.677144	0.00418781	1.42276e-05	0.000381682	8.38909e-05	1.86819e-05
i	0.098278	0.882072	0.0150307	0.000446756	0.00124223	0.0022931	0.000637095
s	0.0329261	0.923022	0.0322729	0.00557003	0.00068382	0.000453998	0.00507155
a	0.215372	0.45439	0.210778	0.0175518	0.00394614	0.00498392	0.0929778
m	0.285332	0.101343	0.51524	0.0139165	0.00857961	0.00147153	0.0741174
w	0.36458	0.0143795	0.584132	0.00184982	0.013377	0.00518249	0.0164992
ε	0.169504	0.0289399	0.6043	0.0326887	0.071647	0.0261568	0.0667635
y	0.0272172	0.00160285	0.460373	0.0337757	0.0117124	0.0131113	0.452207
é	0.229152	0.0292187	0.411301	0.0254409	0.0760378	0.0151268	0.213723
e	0.179669	0.0583237	0.34729	0.0949724	0.224385	0.0252711	0.0700888
l	0.00869361	0.0115544	0.369712	0.505951	0.0258288	0.0118133	0.0664467
e	0.00952	0.00316656	0.0799998	0.761989	0.03995	0.0124583	0.0929163
e	0.0115295	0.0010987	0.0567254	0.633674	0.152358	0.044953	0.0996614
s	0.00510233	0.000605499	0.0676373	0.161182	0.42645	0.277357	0.0616669
á	0.00575508	0.000505928	0.0163374	0.169224	0.375954	0.15448	0.277743
b	0.00134025	0.000217834	0.00215365	0.00600065	0.225792	0.744396	0.0200995
a	0.000551655	0.000283611	0.000144913	0.000177104	0.00692568	0.991211	0.00070647
r	6.59395e-05	7.93238e-05	6.90707e-05	0.000528413	0.00822437	0.986115	0.00491737
e	0.00115742	0.000714556	0.00200466	0.0129706	0.272612	0.618041	0.0924989
b	0.00214518	0.000617492	0.00874328	0.0104561	0.196502	0.144737	0.636799
a	0.0205857	0.0237628	0.0128441	0.00714553	0.42387	0.376511	0.135281
n	0.00365891	0.00202325	0.00144589	0.00219923	0.296107	0.375912	0.318653
á	0.0185892	0.00226771	0.00158562	0.00177638	0.87592	0.0585581	0.0413028
</S>	0.00731709	0.00133774	0.0147858	0.0131623	0.274099	0.0147514	0.674546
