 	dans	un	village	les	gens	doivent	s'	entraider	</S>
s	0.597363	0.350324	0.024235	0.0248219	0.00268874	0.0001686	0.000111291	0.000243017	4.45267e-05
á	0.50497	0.43454	0.0426998	0.00945022	0.000504985	0.00296631	0.000493191	4.13324e-05	0.00433449
p	0.0573585	0.0923383	0.839598	0.00788619	0.000136583	0.00212246	0.000205885	2.08379e-05	0.000333437
o	0.0568948	0.039798	0.880753	0.00919942	0.00330625	0.00106925	0.000308112	0.000526221	0.00814505
o	0.00747772	0.0578681	0.92444	0.00652435	0.00205692	0.0001563	0.00011683	4.42653e-05	0.00131518
k	0.0685341	0.204527	0.0170358	0.511722	0.118142	0.0283106	0.0229117	0.00126984	0.0275459
á	0.0311586	0.0658196	0.0637186	0.233217	0.337934	0.0714822	0.0416484	0.00408187	0.15094
a	0.0196641	0.0372437	0.0260031	0.340339	0.432731	0.0745193	0.017358	0.00118345	0.0509579
l	0.00844625	0.0195385	0.00121625	0.174028	0.252626	0.38613	0.133445	0.00282975	0.0217407
é	0.0105277	0.0180518	0.00111768	0.102812	0.141583	0.552316	0.0629501	0.000496866	0.110145
e	0.00698264	0.021628	0.000866681	0.126137	0.150586	0.5827	0.0710388	0.000397615	0.0396629
s	0.00643712	0.00572565	0.00437217	0.0185501	0.158897	0.438507	0.266836	0.0158682	0.0848073
u	0.00758841	0.00583756	0.000458021	0.0054497	0.0250213	0.823349	0.0807952	0.000975262	0.0505261
n	0.00870112	0.0138833	0.00086183	0.104761	0.144657	0.427298	0.117184	0.00134283	0.181311
g	0.00542823	0.0281047	0.00286357	0.339258	0.241501	0.252204	0.0802516	0.000916157	0.0494727
á	0.0553682	0.0677456	0.00857842	0.282284	0.284789	0.169009	0.043827	0.00481606	0.083583
a	0.00306775	0.00694901	0.0017473	0.0976427	0.0893157	0.179584	0.298716	0.139803	0.183174
b	0.0173789	0.0135038	0.0028219	0.00595097	0.0147127	0.0489324	0.180116	0.671634	0.0449495
i	0.000791533	0.00155168	7.81497e-05	0.000823287	0.00577626	0.000831582	0.0130643	0.975188	0.0018955
a	0.000961723	0.00149428	0.000219813	0.00307906	0.0192305	0.0308422	0.0853665	0.677679	0.181127
</S>	0.0277784	0.0159936	0.000229236	0.0400105	0.0202051	0.0829904	0.290509	0.0461077	0.476176
