 	elle	s'	étendit	du	baume	sur	le	corps	</S>
w	0.930559	0.0198461	0.00240804	0.00478384	0.0172484	0.00716859	0.0156687	0.002029	0.000288784
a	0.864456	0.0150721	0.00154504	0.0275031	0.023255	0.0333064	0.0311402	0.00346569	0.000256664
a	0.0641741	0.755521	0.144129	0.0221071	0.00264708	0.0040899	0.00429504	0.000655014	0.00238193
w	0.0153299	0.585173	0.336852	0.0296781	0.0116109	0.00702038	0.00522267	0.000939321	0.00817349
o	0.00790779	0.344284	0.414814	0.0831032	0.0632534	0.0305541	0.0204484	0.00810338	0.027532
o	0.00280792	0.0452954	0.78948	0.135138	0.00846724	0.00506049	0.0063393	0.00316603	0.00424553
s	0.000282887	0.0112456	0.0763012	0.219287	0.274728	0.302072	0.101546	0.00935089	0.00518564
í	0.000193304	0.0205009	0.206622	0.179615	0.226429	0.218029	0.0564467	0.0360771	0.0560879
b	0.000999576	0.00747359	0.0111972	0.0387177	0.41593	0.252621	0.101838	0.136834	0.0343897
v	0.00154406	0.00414264	0.00311827	0.0218006	0.700446	0.194714	0.0522042	0.00951118	0.0125183
e	9.26545e-06	0.000264921	0.000498878	0.00998862	0.93236	0.048965	0.00621023	0.000796078	0.000907028
r	6.74093e-05	0.000726759	0.00182773	0.0308152	0.774439	0.13296	0.0217473	0.00671089	0.0307053
é	0.000772004	0.000410239	0.00150158	0.0171701	0.526876	0.264345	0.046361	0.0340306	0.108533
m	0.00169432	0.00369208	0.00824951	0.0379314	0.0822797	0.240904	0.305901	0.0768711	0.242477
ó	0.0253374	0.00618783	0.00661895	0.0630767	0.0179961	0.224818	0.242127	0.0664935	0.347344
n	0.00801665	0.0028923	0.0018297	0.00815415	0.0167908	0.071847	0.104242	0.751329	0.034898
d	0.000312605	0.000344318	0.00119913	0.0018128	0.0138079	0.0542687	0.0270415	0.815049	0.086164
z	7.04103e-05	5.06457e-05	0.000383748	0.000403157	0.000589937	0.00364558	0.00461193	0.939295	0.0509493
ó	1.80395e-05	6.68061e-05	0.000459176	0.000671391	0.000806193	0.00405348	0.00464938	0.869081	0.120194
r	9.28402e-06	4.42987e-05	0.0014528	0.00308663	0.0190502	0.024588	0.0260233	0.531032	0.394713
o	4.70968e-05	0.000239835	0.00354691	0.0122893	0.0122305	0.032332	0.0489058	0.342721	0.547688
</S>	0.00143955	0.0029899	0.00363978	0.00702223	0.0061241	0.0325911	0.0868781	0.0717436	0.787572
