 	il	m'	a	beaucoup	fait	marcher	</S>
w	0.871155	0.117081	0.00780122	0.00119703	0.00190191	0.000750703	0.000112855
a	0.561393	0.398393	0.00889737	0.0041415	0.0138597	0.0132244	9.12417e-05
á	0.106421	0.203389	0.499348	0.122375	0.0480961	0.00777891	0.0125912
b	0.0328496	0.0503236	0.590304	0.162858	0.0845344	0.0327954	0.0463354
h	0.00873246	0.00639132	0.399573	0.33159	0.0885075	0.0197873	0.145418
é	0.0110612	0.00354459	0.411379	0.432791	0.114464	0.00613112	0.0206292
m	0.037403	0.0546641	0.167636	0.386253	0.174175	0.0565749	0.123294
b	0.0596576	0.0593755	0.17789	0.250145	0.193331	0.177379	0.0822217
i	0.108929	0.0275113	0.0669089	0.107715	0.275024	0.312196	0.101716
s	0.144783	0.251919	0.0367638	0.0644051	0.166717	0.285741	0.0496709
i	0.0174845	0.0111381	0.0610522	0.354619	0.171355	0.245038	0.139314
n	0.0149767	0.114652	0.0523344	0.118344	0.196521	0.284593	0.218579
g	0.00195797	0.0736119	0.00135639	0.0124088	0.0168371	0.836299	0.0575291
á	0.00193447	0.130656	0.0101913	0.0431327	0.0515278	0.716229	0.0463286
w	0.00735101	0.00308254	0.0147306	0.0923537	0.234742	0.170127	0.477613
a	0.0472594	0.0197875	0.0416554	0.109438	0.325603	0.203656	0.252601
m	0.0136229	0.00620283	0.0195718	0.0888547	0.160958	0.0914387	0.619351
é	0.00186391	0.000729258	0.00672665	0.0487573	0.055719	0.0147238	0.87148
n	0.002447	0.00361459	0.0313929	0.0811879	0.32908	0.18887	0.363408
ε	0.000996844	0.00336428	0.00651191	0.0172446	0.0383772	0.755234	0.178271
n	0.000782316	0.0109411	0.00425939	0.0238337	0.0234868	0.354389	0.582308
d	0.000240561	0.000606792	0.00127169	0.0201561	0.0267484	0.0825527	0.868424
e	0.000260966	0.00227141	0.000399259	0.0114007	0.01067	0.155603	0.819394
</S>	0.00211636	0.00294742	0.00326055	0.0544264	0.0769246	0.125155	0.735169
