 	il	y	a	de	l'	argile	blanche	ici	</S>
w	0.40159	0.3624	0.120473	0.0756912	0.0352675	0.00239781	0.00166149	0.000399429	0.000119284
á	0.499766	0.181736	0.0559119	0.0912961	0.156907	0.00245553	0.00339842	0.0081163	0.000413311
r	0.123348	0.321256	0.135978	0.0707794	0.0855041	0.18805	0.0339813	0.0147657	0.0263375
é	0.147397	0.0824988	0.087193	0.0583182	0.483743	0.0531808	0.00403693	0.0127769	0.0708553
é	0.115596	0.152874	0.355642	0.126265	0.113686	0.0258096	0.00797182	0.0109914	0.0911638
d	0.0223854	0.0742984	0.408286	0.294117	0.125478	0.0498486	0.0205171	0.00228946	0.00278023
í	0.00286382	0.00658376	0.175403	0.354997	0.146191	0.0532301	0.0569445	0.00801957	0.195767
l	0.012845	0.0146156	0.116028	0.15492	0.0836063	0.10869	0.345539	0.0170685	0.146687
a	0.0209511	0.0124534	0.196395	0.273794	0.216457	0.176423	0.0280418	0.007029	0.0684564
o	0.0112139	0.00901764	0.0626053	0.107954	0.175174	0.531851	0.061527	0.0167674	0.0238907
t	0.000589194	0.00130449	0.00713675	0.0560657	0.087499	0.738871	0.0807041	0.0180503	0.00977927
ú	0.000973853	0.00938472	0.00412912	0.0265296	0.0200385	0.838323	0.0629586	0.0163442	0.0213184
ú	8.19529e-05	0.000691077	0.000849659	0.0188138	0.0247752	0.628301	0.288166	0.00524008	0.0330811
g	0.00260086	0.00303547	0.0143562	0.0444644	0.104886	0.258313	0.431134	0.0257554	0.115455
h	0.0424275	0.0101958	0.0359469	0.208818	0.190556	0.184187	0.122908	0.0645657	0.140396
á	0.00288689	0.0037747	0.0138623	0.123644	0.313018	0.20004	0.274451	0.0444117	0.0239108
m	0.00842189	0.00647071	0.0573336	0.0762548	0.0935531	0.0624009	0.388792	0.169185	0.137588
á	0.0112622	0.00611822	0.0228868	0.0432777	0.0478161	0.0559881	0.0683956	0.269872	0.474383
p	0.0149786	0.00814703	0.0325387	0.0351875	0.0303482	0.0185883	0.0734169	0.743165	0.0436302
f	0.00349619	0.00881523	0.00440091	0.00739117	0.00384879	0.0261832	0.0959708	0.821911	0.0279825
ú	0.00165214	0.00521229	0.00231269	0.00948775	0.00592621	0.0253679	0.0358795	0.85054	0.0636214
ú	0.000216016	0.000502342	0.000385237	0.00338829	0.00449456	0.0534047	0.255357	0.457759	0.224493
</S>	0.00136385	0.00168755	0.0081711	0.0162964	0.0200123	0.0144638	0.0529183	0.322682	0.562405
