 	il	ne	peut	pas	bien	respirer	</S>
w	0.906995	0.0584072	0.00678429	0.0112744	0.0126696	0.0035973	0.000272209
a	0.920801	0.0450708	0.00348556	0.0110927	0.0164377	0.00277054	0.000342013
a	0.296047	0.564149	0.0164567	0.0297828	0.0160145	0.00260365	0.0749465
d	0.214595	0.501993	0.0888432	0.0457899	0.0602661	0.0219152	0.0665974
í	0.0786712	0.680892	0.0474129	0.020028	0.00286707	0.00287615	0.167252
o	0.0370786	0.297924	0.128668	0.113618	0.0487599	0.00809277	0.365858
b	0.00538653	0.135442	0.788389	0.0292693	0.0130859	0.0100318	0.0183955
h	0.00489307	0.0501817	0.881162	0.0104807	0.00435475	0.0219976	0.0269303
e	0.000439342	0.0193299	0.954947	0.00384071	0.001912	0.0131341	0.00639738
r	0.0142058	0.0291128	0.599019	0.0980443	0.0554494	0.0493439	0.154824
á	0.0748605	0.0269096	0.346763	0.148841	0.0210997	0.0860497	0.295477
o	0.0864894	0.0546097	0.150972	0.383972	0.186757	0.0909792	0.0462205
f	0.00614399	0.0649677	0.171769	0.104894	0.151548	0.451506	0.0491704
w	0.00308809	0.0369068	0.197517	0.0526365	0.0448614	0.560073	0.104918
ε	0.00150055	0.00403522	0.240874	0.039084	0.0163363	0.566114	0.132056
m	0.000360513	0.00295583	0.0542921	0.163334	0.0904563	0.322361	0.36624
έ	0.00764439	0.00525378	0.0339078	0.15074	0.131752	0.377876	0.292826
o	0.00267935	0.00607505	0.0171792	0.109543	0.276122	0.235526	0.352875
b	0.00511609	0.0290812	0.0452879	0.0538492	0.189869	0.451109	0.225688
v	0.00393044	0.0128034	0.0559196	0.070384	0.336697	0.443636	0.0766297
έ	0.00501601	0.0100266	0.166167	0.068241	0.261604	0.462747	0.0261973
k	0.000634897	0.000959921	0.00803486	0.0399126	0.055277	0.15466	0.740521
a	0.0113195	0.0191781	0.0428197	0.225885	0.197195	0.200443	0.30316
á	0.000860373	0.00131279	0.0328062	0.031338	0.0403966	0.20195	0.691336
</S>	0.0238405	0.0337163	0.0143548	0.0601478	0.0664136	0.0441114	0.757416
