 	dans	la	nuit	la	lampe	émet	une	lumière	éblouissante	</S>
m	0.271617	0.299601	0.208387	0.0980611	0.116397	0.00189184	0.00253533	0.000649554	0.000790895	7.0153e-05
ú	0.0111252	0.0189407	0.0218336	0.0434654	0.872965	0.00131077	0.0025121	0.0010508	0.000962371	0.0258345
n	0.0284383	0.0433673	0.0227553	0.0691674	0.831409	0.000597692	0.00116975	0.000358534	0.000316946	0.0024201
d	0.0934379	0.23251	0.127086	0.423073	0.0790853	0.00339346	0.00881051	0.0026256	0.00834453	0.0216333
a	0.202784	0.221524	0.0837038	0.311724	0.172777	0.00186694	0.00154856	0.000999428	0.0010606	0.00201111
l	0.0239874	0.0331343	0.610468	0.268277	0.00924116	0.0149782	0.00729979	0.00119686	0.00308814	0.0283299
a	0.127209	0.0515899	0.202081	0.259993	0.0497335	0.0316214	0.0215688	0.00535723	0.0212345	0.229612
k	0.227525	0.0414976	0.143981	0.394484	0.0458716	0.0687743	0.0235287	0.0106778	0.00416036	0.0395002
ó	0.00319336	0.00485897	0.0437175	0.00786439	0.00690139	0.866172	0.0105013	0.0512954	0.00110546	0.00439038
l	0.00251901	0.0102195	0.104626	0.00882726	0.0118018	0.828325	0.012066	0.0184635	0.000371919	0.00278043
i	0.0101479	0.0218456	0.115437	0.0598871	0.0367681	0.621212	0.04597	0.0707598	0.00134457	0.0166278
m	0.0205614	0.0105899	0.0552993	0.306016	0.0175985	0.214962	0.299989	0.0424031	0.0186712	0.01391
o	0.0429401	0.00677044	0.0050942	0.331863	0.0661293	0.063563	0.371136	0.0289471	0.00648778	0.0770689
o	0.00899464	0.00784927	0.0191569	0.0710989	0.00182902	0.244055	0.271254	0.272239	0.0288158	0.0747079
p	0.00342676	0.00282316	0.0038084	0.00338234	0.000576309	0.144985	0.219909	0.504263	0.103517	0.0133094
έ	5.48894e-05	0.000418928	0.000921634	0.000130638	5.00347e-05	0.073917	0.0432288	0.871817	0.0033623	0.00609875
k	0.00341582	0.00377718	0.0172335	0.0151034	0.000180062	0.105272	0.114878	0.649097	0.0478524	0.0431898
y	0.0653498	0.0398395	0.0598142	0.0420051	0.000531785	0.0576726	0.209355	0.464664	0.0142058	0.0465621
έ	0.00566866	0.00843855	0.0164335	0.0137603	0.000139108	0.0596608	0.0866847	0.778149	0.00390666	0.0271588
n	0.000699025	0.000640351	0.00198222	0.00501479	3.53935e-05	0.00219925	0.0341599	0.190733	0.382587	0.381949
έ	0.0085287	0.00566536	0.00440511	0.0298863	0.000447818	0.00564105	0.151306	0.192703	0.46425	0.137166
n	0.00216382	0.000725598	0.00086165	0.0102559	0.00024814	0.00108777	0.0673963	0.0431904	0.456381	0.41769
έ	0.0162145	0.0114995	0.00196709	0.0250887	0.00432916	0.00069003	0.014136	0.023793	0.494161	0.408121
b	0.000819039	0.000415089	0.000928989	0.00345435	0.000105532	0.000813208	0.0109593	0.00581457	0.353058	0.623632
u	0.0118477	0.0198386	0.0137837	0.00731392	9.50767e-05	0.00228032	0.0192543	0.0237856	0.292204	0.609597
é	0.00116742	0.00150425	0.00257629	0.00242697	2.67552e-05	0.000464339	0.00864914	0.00582963	0.3397	0.637655
e	0.00267663	0.000698826	0.000983886	0.00100599	3.32304e-05	0.00313097	0.0125377	0.00616036	0.329491	0.643281
</S>	0.00629389	0.00556848	0.00681707	0.00547853	0.000190872	0.0307834	0.0405861	0.065981	0.234759	0.603542
