 	papa	est	celui	qui	vérifie	des	nasses	</S>
d	0.501791	0.321813	0.0648852	0.0257584	0.0377273	0.0451519	0.00239634	0.000476291
a	0.816013	0.102245	0.017222	0.0300696	0.00301807	0.00380614	0.00231974	0.0253056
a	0.86813	0.0749038	0.0293943	0.010638	0.00157801	0.00236337	0.000638579	0.0123538
d	0.553875	0.263056	0.05698	0.0395579	0.0197873	0.00812389	0.010509	0.0481108
á	0.354752	0.380243	0.0704997	0.0218474	0.00623987	0.00548727	0.00388519	0.157045
a	0.0506476	0.425628	0.273819	0.0776598	0.014222	0.0208749	0.00574707	0.131401
d	0.018488	0.0983355	0.4171	0.299124	0.110368	0.0291015	0.0060371	0.0214462
í	0.0287002	0.0812026	0.321826	0.275042	0.159791	0.0241502	0.001279	0.10801
o	0.00941649	0.0607872	0.223292	0.216629	0.262217	0.12193	0.0214769	0.0842511
l	0.00223602	0.00349481	0.0367461	0.0571917	0.628652	0.0198235	0.243661	0.00819546
ώ	0.00549654	0.00299281	0.0276111	0.0530322	0.816219	0.00429945	0.0684308	0.0219178
n	0.00790221	0.0215288	0.164265	0.114975	0.33676	0.0237526	0.279353	0.0514647
g	0.00576905	0.0247482	0.0548725	0.0774764	0.589281	0.108196	0.0784316	0.061226
i	0.00994567	0.0415456	0.0770005	0.0804827	0.194005	0.21031	0.184305	0.202406
i	0.00214583	0.00241121	0.014613	0.033804	0.083637	0.483817	0.180912	0.19866
k	0.00900077	0.0125024	0.0137272	0.0253996	0.0821949	0.151323	0.418609	0.287243
ω	0.00917604	0.011281	0.0046929	0.00449942	0.0549674	0.0479437	0.79858	0.0688595
n	0.000227584	0.00107179	0.00267999	0.00171762	0.0286566	0.0205036	0.846088	0.0990547
y	0.00207018	0.0035781	0.00275711	0.00764532	0.0702392	0.075178	0.731379	0.107153
i	0.00167265	0.00237694	0.00485209	0.00865529	0.0385349	0.052496	0.728651	0.162761
</S>	0.00119458	0.00273642	0.0120063	0.0338865	0.0745972	0.226719	0.108677	0.540182
