 	les	anciens	du	villages	se	sont	réunis	pour	la	palabre	</S>
i	0.555382	0.304159	0.0731067	0.055616	0.00847586	0.000803911	0.000154088	0.00116152	0.00103147	6.9127e-05	4.04909e-05
d	0.154659	0.594637	0.0156812	0.229712	0.00118887	0.000576046	0.00145114	0.000456338	0.000312148	0.000571782	0.000754415
u	0.13749	0.822538	0.00650637	0.0151872	0.000389821	0.000642049	0.00246867	0.000278898	0.000101454	9.85595e-05	0.0142993
n	0.160577	0.711209	0.0915257	0.0121875	0.00639875	0.00415205	0.00120608	0.00164832	0.000862183	0.000607828	0.00962525
ú	0.279208	0.589915	0.104592	0.00950132	0.00287806	0.00179636	0.00300545	0.00317203	0.000883334	0.000147333	0.00490099
b	0.138952	0.0621409	0.598498	0.0186732	0.0915667	0.0336697	0.00993253	0.0140599	0.00546739	0.00101664	0.0260231
á	0.144537	0.106272	0.28661	0.0492486	0.176042	0.0319031	0.0345551	0.0681388	0.0334048	0.0108442	0.0584434
p	0.034163	0.0267491	0.191179	0.315256	0.330135	0.0658861	0.00837714	0.00913895	0.00600456	0.00102097	0.0120899
o	0.00297026	0.00277617	0.0140141	0.857759	0.0499413	0.0148811	0.0528517	0.00108323	0.000726304	0.00206322	0.000933515
o	0.00478385	0.00403065	0.040924	0.80578	0.111385	0.0149388	0.0135554	0.000792172	0.000476898	0.00157267	0.00176066
á	0.00601637	0.00598318	0.0876534	0.0083805	0.357074	0.41741	0.03864	0.0387727	0.0188649	0.00683137	0.0143738
m	0.00394797	0.00631878	0.0235986	0.0032456	0.0673548	0.424491	0.354551	0.0607036	0.0327592	0.0103286	0.0127012
i	0.00619874	0.00837334	0.00827706	0.00218887	0.0366661	0.27752	0.138884	0.255	0.175176	0.034922	0.0567942
t	0.00160835	0.00375191	0.00218844	0.00691454	0.00807578	0.0494643	0.718644	0.0403509	0.0278258	0.130092	0.0110843
έ	0.0004615	0.00217847	0.00237054	0.0102172	0.00434305	0.0297713	0.881205	0.0156281	0.00595738	0.0346159	0.0132511
n	0.00787296	0.00689664	0.0507012	0.0211515	0.101561	0.170573	0.492926	0.0496586	0.0270113	0.0315111	0.0401372
έ	0.0339363	0.0284677	0.0818754	0.0268228	0.146343	0.249254	0.281245	0.106527	0.0305623	0.00191356	0.0130528
m	0.00260865	0.00166496	0.0542163	0.017806	0.196389	0.278578	0.098754	0.192386	0.113347	0.0226672	0.021583
ó	0.00912448	0.00907546	0.00427057	0.0117055	0.0256147	0.0631442	0.0549126	0.412112	0.0690314	0.0129473	0.328062
ω	0.0245737	0.00786687	0.0174456	0.0550242	0.0301988	0.0714544	0.0241602	0.0943323	0.219917	0.415407	0.0396197
l	0.00130731	0.00132706	0.00110105	0.00522633	0.00117269	0.00523666	0.0436795	0.0203275	0.0249287	0.88386	0.0118336
έ	0.000885567	0.0009047	0.00180229	0.000129813	0.000865328	0.00674473	0.0163484	0.0412628	0.0659943	0.827362	0.0377005
b	2.72304e-05	4.8091e-05	0.000233057	0.000151986	0.00103318	0.00513751	0.0160196	0.0217754	0.03489	0.839955	0.0807291
h	0.00674548	0.00349951	0.00645431	0.0118535	0.0358194	0.0508222	0.231119	0.194679	0.118161	0.188167	0.152679
έ	0.000568672	0.000649115	0.00271218	0.00207884	0.0089604	0.0110092	0.201246	0.108998	0.0626875	0.539837	0.0612532
</S>	0.00252366	0.00145108	0.00675441	0.0020352	0.00624819	0.0117769	0.015171	0.214516	0.117771	0.0866314	0.535121
