 	il	est	en	train	d'	écarter	les	bras	de	son	cadet	</S>
w	0.893987	0.0560331	0.0202718	0.0156706	0.00565228	0.000122303	0.00266246	0.00214807	0.00135556	0.00190333	5.12116e-05	0.000142662
a	0.792353	0.130769	0.0248763	0.0170997	0.00850323	2.8413e-06	0.00520307	0.00190361	0.00285904	0.0149356	0.00147069	2.43611e-05
b	0.286403	0.27178	0.32457	0.0276792	0.0527733	0.00570573	0.0100283	0.00305625	0.00572768	0.00653677	0.00100955	0.00473126
ó	0.0121601	0.0521221	0.218925	0.70522	0.00310619	0.000101522	0.00114702	0.00446053	0.000795948	0.000245346	0.000698242	0.00101723
l	0.111977	0.153115	0.251039	0.384613	0.0301105	0.00736814	0.0127129	0.00750846	0.00354162	0.00527323	0.00396004	0.0287816
á	0.195755	0.0744027	0.0817039	0.102228	0.1346	0.0563762	0.0593863	0.0389899	0.0528694	0.0445339	0.00833528	0.150819
a	0.162859	0.1569	0.104871	0.0182382	0.289985	0.0458289	0.0977249	0.0513139	0.0166266	0.0221578	0.00686521	0.0266304
d	0.00112176	0.00281198	0.002001	0.00055915	0.0379217	0.942917	0.00316474	0.0036136	0.00104887	0.000357389	0.00142667	0.00305618
í	0.000687442	0.00989255	0.00783658	0.00026622	0.0355833	0.845779	0.0243324	0.0193167	0.00600172	0.0017113	0.0191767	0.0294157
b	0.00139808	0.00132095	0.000587799	5.66258e-06	0.0125102	0.93694	0.0234649	0.00489987	0.0033669	0.0014756	0.00199832	0.0120312
h	0.00146252	0.00363606	0.00577592	0.00026773	0.0606691	0.491743	0.164932	0.191097	0.0673258	0.00791452	0.00139163	0.00378532
í	0.00141551	0.00712096	0.0233619	0.00426748	0.0375487	0.468799	0.101471	0.122986	0.12587	0.0116599	0.00682646	0.0886727
r	0.0015372	0.00303632	0.00861179	0.00165149	0.0664555	0.128636	0.330876	0.301356	0.105794	0.0177091	0.00148252	0.0328544
á	0.00511428	0.00618468	0.0115297	9.67364e-05	0.0378818	0.0023759	0.225309	0.335441	0.180809	0.0530271	0.00599627	0.136234
o	0.00191579	0.00151116	0.0030341	0.000548362	0.0154052	0.00352074	0.170108	0.163394	0.25703	0.357393	0.0158114	0.010328
d	0.000490893	0.00127435	0.000776463	0.000123573	0.00181231	0.0118654	0.00468393	0.113169	0.11106	0.0552708	0.687477	0.0119964
i	0.000439154	0.00165411	0.000191014	1.3761e-05	0.00100362	0.00247212	0.00223969	0.0165943	0.0439248	0.0149168	0.887691	0.0288599
m	0.00135223	0.00451082	0.00073424	3.29266e-05	0.00576454	0.00519175	0.00711566	0.0462899	0.144892	0.0729444	0.648628	0.0625433
í	0.000573163	0.00115636	0.000255975	9.44337e-06	0.00298223	0.00118139	0.0139157	0.0192171	0.175545	0.144191	0.490437	0.150536
a	0.00789796	0.00321666	0.00382241	9.67867e-05	0.0112494	0.00202976	0.0330266	0.0376607	0.145071	0.232043	0.121074	0.402812
b	0.00319012	0.00441991	0.00481983	0.000274224	0.0140733	0.00915612	0.0120792	0.0488696	0.11623	0.179479	0.317161	0.290247
ω	0.00274634	0.0140641	0.0186335	0.00288763	0.0115673	0.0016096	0.0272906	0.0600834	0.135149	0.126857	0.50549	0.093622
ω	0.000140055	0.000631136	0.0047896	0.00528992	0.000819402	0.000685114	0.00753032	0.0470728	0.110297	0.038403	0.567192	0.21715
</S>	0.00138078	0.00129417	0.00152825	2.32833e-05	0.00400553	0.000780202	0.0144969	0.0195781	0.10067	0.206378	0.0751285	0.574735
