 	nous	avons	mangé	du	poisson	fumé	</S>
b	0.860035	0.11422	0.007016	0.00871021	0.00627377	0.00108699	0.00265847
í	0.909844	0.0674219	0.00331234	0.00336945	0.0100042	0.00499907	0.00104899
s	0.976377	0.019853	0.00214029	0.000580548	0.000311806	0.000229466	0.000507872
í	0.741991	0.0788958	0.00942962	0.019013	0.00985307	0.0663469	0.0744705
l	0.0141246	0.17522	0.289747	0.0386674	0.00753964	0.00590594	0.468795
é	0.00478451	0.102977	0.666887	0.103871	0.0212802	0.0152371	0.0849634
d	0.00134616	0.0983138	0.778244	0.102005	0.00911951	0.00657668	0.00439472
z	0.00246037	0.0827089	0.571572	0.281866	0.0457429	0.00284069	0.0128093
é	0.025316	0.0683805	0.121217	0.477252	0.253946	0.0237379	0.0301506
e	0.00502234	0.0474611	0.23998	0.329842	0.212432	0.0119701	0.153292
s	0.00308965	0.0185445	0.0499395	0.422949	0.321513	0.154226	0.0297378
w	0.000309136	0.00309875	0.0269184	0.335235	0.214062	0.408719	0.0116578
é	0.000519711	0.00400898	0.0206687	0.34704	0.302728	0.299396	0.0256389
y	0.000301861	0.003489	0.0162002	0.118782	0.171041	0.443084	0.247103
o	0.000259852	0.00598549	0.137563	0.461284	0.117188	0.178715	0.0990036
w	0.00107932	0.00152661	0.0115203	0.0460429	0.0587662	0.678965	0.2021
ó	0.0166249	0.00775601	0.0215718	0.251943	0.213645	0.415382	0.073077
m	0.0011346	0.000683347	0.00432414	0.0287888	0.0230198	0.722733	0.219316
í	0.000418516	0.00182865	0.00246282	0.0473207	0.272213	0.581559	0.094197
í	0.00130599	0.004739	0.00952048	0.0219579	0.0913993	0.241997	0.62908
</S>	0.00145593	0.0325418	0.0983791	0.118422	0.350042	0.236953	0.162206
