 	je	m'	en	vais	au	champ	couper	des	branchettes	à	brûler	</S>
n	0.891474	0.0423991	0.0261638	0.00146841	0.00608723	0.0270954	0.00111702	0.000777419	0.000239612	0.00258015	0.000584897	1.32051e-05
g	0.763371	0.214959	0.00169331	0.000242505	0.000779755	0.0186734	1.76058e-05	0.000109126	1.88562e-05	0.000112314	1.52824e-05	7.58433e-06
á	0.771853	0.203772	0.00839654	0.00277942	0.000482411	0.0124066	7.59012e-05	9.1461e-05	2.34906e-05	3.85181e-05	5.76385e-05	2.29813e-05
í	0.0545721	0.183656	0.0874703	0.0312399	0.0382251	0.00982555	0.0116007	0.0318059	0.0256643	0.0172712	0.0209586	0.487711
m	0.00295393	0.0243312	0.541715	0.405993	0.00437525	0.00185993	0.0043755	0.00353902	0.00192069	0.00100224	0.00104219	0.00689193
o	4.30118e-05	0.0034148	0.511216	0.442322	0.0339508	0.000149817	0.000515962	0.00273714	0.000285812	0.000937058	0.000163893	0.00426395
d	1.11711e-05	0.00019837	0.0956886	0.897149	0.00140231	0.000216268	0.00172278	0.000625115	0.000326299	0.000152152	0.000935118	0.00157297
z	4.58759e-06	7.38809e-05	0.120575	0.864214	0.00478987	0.00021669	0.0067113	0.0005515	0.000573752	2.99088e-05	0.00043983	0.00182029
w	0.000152584	0.000463886	0.0212875	0.976586	0.000751828	0.000143705	0.000335971	7.01762e-05	7.46677e-06	5.53381e-06	2.19991e-05	0.000172998
á	0.0010149	0.00588028	0.156711	0.177284	0.551321	0.00222813	0.0219328	0.0349921	0.0140948	0.00541586	0.0010715	0.0280529
o	0.000487395	0.0113806	0.0218539	0.0584923	0.559565	0.217922	0.053618	0.045372	0.0130892	0.00855524	0.00127159	0.00839261
t	3.12717e-05	0.000237281	0.0124449	0.210559	0.0810079	0.0455597	0.567902	0.0290009	0.0301736	0.00121697	0.0160099	0.00585688
έ	7.40856e-07	2.11665e-05	0.00546743	0.0797394	0.0499337	0.0215066	0.802177	0.00776014	0.0136807	0.00054059	0.0124414	0.00673126
b	5.67149e-06	0.000262892	0.0142661	0.0126841	0.209392	0.0696444	0.566126	0.0377212	0.0180506	0.00460535	0.00837768	0.0588639
h	0.000695502	0.00242958	0.0117874	0.0132814	0.166614	0.0477654	0.431571	0.0447609	0.19199	0.048452	0.00539842	0.0352547
έ	0.000281391	0.000611477	0.00195981	0.00280603	0.137664	0.0941103	0.371945	0.133741	0.171431	0.0527264	0.00282509	0.0298983
i	6.66208e-05	0.000253699	0.000332687	0.000192944	0.0518893	0.0132859	0.201468	0.334357	0.252939	0.12147	0.00404914	0.0196965
t	1.23535e-05	4.57076e-05	0.000565484	0.000622271	0.00424306	0.0021074	0.25459	0.266055	0.334175	0.032024	0.0830329	0.0225267
s	4.11909e-06	4.88851e-06	0.000234788	0.000314436	0.00270014	0.001469	0.483848	0.0216151	0.270578	0.00832521	0.198377	0.0125295
a	1.10976e-06	2.85776e-06	4.43977e-05	0.000193859	0.00319095	0.000847178	0.300747	0.0268004	0.495329	0.0201152	0.135701	0.0170258
t	4.2409e-05	4.46335e-05	7.26702e-05	0.000659528	0.013993	0.00134071	0.193587	0.0801621	0.489183	0.0346095	0.0222367	0.164068
s	1.0622e-05	2.90048e-06	6.07731e-05	0.000171243	0.00217774	0.00126767	0.187709	0.0122194	0.588848	0.00875978	0.128878	0.0698946
a	2.17474e-05	1.89768e-05	0.000201269	0.00379476	0.00531349	0.000760063	0.246407	0.0398906	0.381088	0.0264436	0.0639703	0.23209
s	8.88922e-05	1.94316e-05	3.37913e-05	0.00054784	0.00506222	0.000336483	0.0903216	0.088666	0.258374	0.148102	0.031315	0.377133
á	0.000536803	0.000196125	0.000373449	0.000772898	0.0133154	0.00507801	0.0728601	0.0722224	0.15982	0.145607	0.233452	0.295767
n	0.00032873	0.000271598	0.000294191	0.000211562	0.00553975	0.00115628	0.0123115	0.0941803	0.051584	0.189695	0.526248	0.118179
g	0.0142476	0.010358	0.000264775	0.000504578	0.0119598	0.0976867	0.0166669	0.0783439	0.0403438	0.143357	0.472499	0.113768
o	0.0577736	0.019302	0.000164429	0.000431885	0.00292475	0.372992	0.0032701	0.0355712	0.0274863	0.0662319	0.304453	0.109399
n	0.000419696	0.000313042	9.64602e-05	0.000872152	0.00224685	0.0109709	0.00781072	0.0483863	0.0180135	0.044749	0.709242	0.156879
d	0.00160491	0.000309762	0.00168883	0.003263	0.0285712	0.00537928	0.0376237	0.0662125	0.0410559	0.0419086	0.1661	0.606283
a	0.000685139	0.000206604	0.000388834	0.0026898	0.00601883	0.0165152	0.0158308	0.0148236	0.0161276	0.0195952	0.404912	0.502206
</S>	0.00238588	0.000938047	0.000953598	0.000234251	0.0145739	0.00982258	0.0115193	0.0530166	0.0416244	0.0786614	0.202827	0.583443
