 	tu	peux	aller	le	déposer	au-dehors	</S>
n	0.690481	0.221236	0.0167331	0.059012	0.00917056	0.00225659	0.00111102
ω	0.984376	0.00334139	0.000322133	0.0045479	0.000142992	0.00712634	0.000143228
l	0.816282	0.0622963	0.0293624	0.0389561	0.00290357	0.0334355	0.0167645
ó	0.067631	0.0213081	0.0301212	0.0358191	0.0153444	0.0591784	0.770598
o	0.289498	0.224899	0.133547	0.0931142	0.0442102	0.0661379	0.148594
b	0.00265537	0.736996	0.199947	0.00383956	0.0346386	0.00630999	0.0156128
h	0.00043449	0.952463	0.0305571	0.00160315	0.00877274	0.000733689	0.00543635
e	0.00392474	0.836919	0.103329	0.0060145	0.0140601	0.00523075	0.0305222
r	0.0335407	0.656348	0.147082	0.0435946	0.0249499	0.00473436	0.0897498
á	0.0399797	0.365644	0.122646	0.157557	0.0135759	0.0203074	0.28029
ω	0.113109	0.214791	0.327021	0.251614	0.0469043	0.0260545	0.0205065
d	0.00361387	0.0482303	0.873512	0.0300025	0.0183477	0.0196465	0.00664705
z	0.000770337	0.0127337	0.908735	0.0197685	0.020248	0.01515	0.0225948
w	0.00137786	0.0018362	0.977504	0.00631366	0.00314979	0.00415387	0.00566424
á	0.00173861	0.0141647	0.726482	0.132799	0.0608543	0.0179787	0.0459826
o	0.00527739	0.0216945	0.369899	0.450682	0.076077	0.0324716	0.0438989
y	0.00020861	0.0256665	0.447227	0.200433	0.23095	0.0637444	0.0317705
í	0.000719475	0.0121895	0.328654	0.0647523	0.224623	0.150048	0.219014
á	0.000513737	0.00424916	0.175445	0.14053	0.144655	0.0224737	0.512133
w	0.00426565	0.0114071	0.0292393	0.326054	0.368214	0.0919167	0.168903
a	0.0125762	0.0544301	0.0426044	0.293087	0.357478	0.130295	0.109529
m	0.000957438	0.00199396	0.0155353	0.274071	0.408227	0.129354	0.169862
ó	0.000304995	0.0102183	0.0184982	0.107642	0.593955	0.162617	0.106764
n	0.00113457	0.00310159	0.0117635	0.116161	0.158264	0.559026	0.150549
d	0.000688827	0.000386532	0.00106099	0.0141312	0.00480958	0.925281	0.0536421
z	9.27998e-05	5.07775e-05	0.00212281	0.0116907	0.00591812	0.76891	0.211215
í	0.000164284	5.27891e-05	0.00625145	0.0128804	0.0111419	0.893087	0.0764224
e	1.95006e-05	0.00027742	0.0511301	0.0542995	0.0280416	0.11609	0.750142
</S>	0.000142204	0.00167905	0.00264685	0.112177	0.0826211	0.0398432	0.760891
