 	cet	enfant	est	un	farceur	</S>
m	0.683964	0.307138	0.00548063	0.00199301	0.000946296	0.000477606
w	0.0158046	0.97902	0.00302891	0.0011489	0.000294996	0.000702802
á	0.00638657	0.99352	1.98563e-05	1.29919e-05	5.52567e-05	5.22107e-06
n	0.167512	0.829122	0.000840134	0.000503598	0.000773723	0.00124767
a	0.203399	0.587517	0.0451864	0.0142475	0.0167517	0.132899
w	0.841668	0.0241211	0.0883027	0.0315678	0.00157397	0.0127661
ó	0.268857	0.0309999	0.323485	0.15096	0.0391784	0.18652
a	0.160105	0.0448305	0.454915	0.156382	0.00973873	0.17403
d	0.00462259	0.00114815	0.613549	0.303452	0.00357532	0.0736528
í	0.00698602	0.00298891	0.47453	0.301494	0.00537693	0.208625
l	0.0268387	0.00364275	0.150515	0.483867	0.0692618	0.265876
i	0.00235973	0.000539497	0.106851	0.434026	0.057616	0.398608
n	0.00483933	0.000780317	0.0280498	0.0905289	0.822377	0.0534247
d	0.00560634	0.00262119	0.00552022	0.0255317	0.937703	0.0230172
z	0.00182377	0.000952769	0.00331145	0.0235197	0.932859	0.0375334
o	0.00134055	0.00198492	0.00507196	0.00828326	0.962337	0.0209822
o	0.00426073	0.0156105	0.00308269	0.00349764	0.861307	0.112241
</S>	0.00080103	0.000396648	0.0158816	0.0506892	0.221075	0.711156
