 	cet	enfant	est	un	mauvais	garçon	c'	est	pourquoi	tous	ses	parents	n'	ont	pas	pu	l'	héberger	</S>
m	0.742733	0.21413	0.00441344	0.00181355	0.00930403	0.00232059	0.0022092	0.00174383	0.00425457	0.00292724	0.00420935	0.00363603	0.00173279	0.00117579	0.00188037	0.000537113	0.000772948	0.000141906	6.466e-05
w	0.0468054	0.943595	0.00126001	0.000321397	0.00033337	0.00507955	0.00021275	0.000146731	0.000749208	0.000119375	0.000291663	0.000325581	0.000171918	0.000185224	0.000139964	2.53384e-05	8.52963e-05	1.17171e-05	0.000140191
á	0.00904678	0.989642	3.41714e-05	5.11495e-05	3.05633e-05	0.000932094	4.12835e-06	1.2169e-05	0.000127019	8.25555e-06	1.44005e-05	6.77535e-05	4.32417e-06	4.78061e-06	2.70442e-06	8.85652e-06	1.5859e-06	2.21814e-06	5.29441e-06
n	0.113487	0.842829	0.000736358	0.00040464	0.00128399	0.0314853	0.000189371	0.000222869	0.00221872	0.000530153	0.000685953	0.00294263	0.00049072	0.000310348	0.00024646	0.000173635	0.000133712	7.29365e-05	0.00155568
a	0.100665	0.466387	0.0620073	0.0281098	0.0227419	0.122971	0.0222741	0.0253077	0.0478094	0.00775344	0.0134057	0.0231216	0.00758538	0.00678214	0.00308447	0.00672664	0.00167458	0.000606349	0.0309861
w	0.59544	0.14672	0.0667638	0.0325773	0.0373508	0.014374	0.016706	0.0126182	0.0155758	0.00931301	0.0102124	0.00632302	0.00903427	0.00637971	0.00581136	0.00183686	0.0057636	0.00217997	0.00501931
ó	0.0775917	0.0163566	0.106287	0.065953	0.0747771	0.0162201	0.0444475	0.0396356	0.0518657	0.0644042	0.0713294	0.0607999	0.044888	0.0340083	0.0405957	0.0497364	0.0685725	0.0365622	0.0359692
a	0.0311431	0.0162661	0.483235	0.120829	0.0376333	0.0133477	0.0343637	0.026233	0.0197755	0.02291	0.0295083	0.016098	0.0228772	0.021254	0.018563	0.00799091	0.029813	0.00757155	0.0405881
d	0.00596139	0.00317634	0.388733	0.189463	0.0232438	0.030609	0.0470253	0.049866	0.0227735	0.0373896	0.0289594	0.0098403	0.0153464	0.0389006	0.022565	0.0223782	0.0147802	0.00562118	0.0433682
í	0.00466323	0.00427682	0.291285	0.438495	0.0141493	0.00426815	0.0382278	0.0316662	0.0311223	0.0234259	0.0196808	0.00558622	0.0138113	0.0172324	0.0124975	0.00799247	0.00491388	0.00184034	0.0348654
e	0.0103168	0.00994318	0.196888	0.352514	0.0766514	0.0388682	0.0557545	0.0474704	0.0207465	0.0282038	0.0234862	0.00723819	0.0164713	0.0184938	0.0213448	0.0108405	0.0150636	0.00874096	0.0409643
b	0.00197955	0.00646225	0.0827073	0.26462	0.15245	0.278337	0.0708902	0.0554675	0.0250852	0.0141056	0.00693189	0.00574268	0.00368356	0.00646573	0.00525782	0.00665488	0.00239472	0.00291823	0.00784614
é	0.00104082	0.00356811	0.0322706	0.168735	0.12957	0.146428	0.0284901	0.084537	0.0453946	0.0511136	0.044359	0.132486	0.009314	0.0247513	0.0130377	0.0514208	0.00956593	0.0104116	0.0135059
d	0.000761647	0.0046228	0.0556502	0.115252	0.0756325	0.151731	0.0617332	0.0667917	0.0808285	0.0682009	0.0338954	0.0310118	0.0120031	0.0256737	0.0158067	0.0274917	0.0163916	0.0251556	0.131366
í	0.000914378	5.02094e-05	0.0276789	0.353917	0.103871	0.0152741	0.0882336	0.0984904	0.065573	0.0630375	0.0435669	0.0105247	0.0192755	0.0128322	0.0161836	0.0269424	0.0146723	0.00945701	0.0295056
a	0.00056545	0.000350304	0.0321358	0.0396906	0.0872305	0.189422	0.199777	0.175412	0.0773384	0.0781018	0.0246443	0.0127363	0.0146085	0.0126161	0.00885009	0.00478712	0.00909004	0.00701385	0.02563
b	0.00116242	0.000742166	0.0223459	0.0442109	0.0304998	0.0783479	0.153944	0.269531	0.138199	0.10796	0.0427419	0.0234186	0.0135393	0.0176392	0.0149332	0.01636	0.00868206	0.00936594	0.0063763
v	0.00098192	0.000746306	0.00706134	0.0231051	0.033421	0.0355379	0.0251663	0.158842	0.0737077	0.128015	0.151054	0.218988	0.0305988	0.0405631	0.0184896	0.0308079	0.00841682	0.00879902	0.00569854
ú	0.000828546	0.00122393	0.00517231	0.018858	0.0220872	0.0344872	0.0232348	0.17449	0.101927	0.149439	0.132997	0.136471	0.0294254	0.0461336	0.0201577	0.0476086	0.0210802	0.0112528	0.0231258
u	0.00135317	0.000136376	0.00439023	0.020761	0.0557216	0.018434	0.0651841	0.160769	0.206888	0.265205	0.0943753	0.0227671	0.0162292	0.00970597	0.0142549	0.0190479	0.00768912	0.00516444	0.0119228
i	0.000644446	0.00012406	0.0042603	0.00846981	0.00951809	0.0169873	0.160008	0.166755	0.183911	0.194026	0.131826	0.0347863	0.0339915	0.0144054	0.0118822	0.00617367	0.00822008	0.00559518	0.00841609
b	0.00163837	0.000382	0.00806854	0.0168935	0.00544279	0.013084	0.0815011	0.149399	0.148896	0.176764	0.166891	0.0599906	0.050867	0.0412569	0.0265981	0.0222541	0.00866181	0.0107995	0.0106111
ó	0.00136592	0.000887852	0.00470471	0.0118967	0.0299592	0.0182152	0.0115485	0.0611089	0.0368788	0.0846572	0.187061	0.324062	0.046271	0.0793882	0.0304692	0.0362694	0.0106611	0.0170769	0.00751891
r	0.000150623	6.53625e-05	0.00253569	0.00521579	0.0134327	0.010024	0.0265237	0.0678594	0.0671496	0.154297	0.181526	0.226538	0.0518461	0.0599867	0.0296733	0.033244	0.016046	0.0111414	0.0427444
