 	le	soldat	est	en	train	de	surveiller	le	voleur	</S>
o	0.927713	0.0493976	0.0119126	0.00352956	0.0029928	0.00263706	0.000867086	0.000518018	0.000390637	4.14681e-05
m	0.022031	0.971993	0.00319522	0.00101821	0.000682978	0.000238065	0.000272077	0.000116517	0.000103985	0.000348715
b	0.00766707	0.988801	0.00183435	0.000807017	0.000215537	4.72871e-05	6.67388e-05	2.45906e-05	0.000329113	0.000207259
ω	0.000303152	0.999071	0.000110357	0.000105367	5.72634e-05	3.83804e-05	5.20845e-05	1.90906e-05	0.000170587	7.28626e-05
r	0.0128185	0.963463	0.0122882	0.00746346	0.00126711	0.000596292	0.000484211	9.86281e-05	0.000514111	0.00100641
i	0.0742348	0.864089	0.0126048	0.0101982	0.000563534	0.00271228	0.00657049	0.000545698	0.000627029	0.0278543
l	0.076647	0.00643376	0.378862	0.437338	0.0497165	0.0310113	0.0066264	0.00520808	0.000267062	0.00789037
á	0.347487	0.00567241	0.063178	0.133179	0.0171606	0.0775911	0.0482653	0.0347213	0.00321301	0.269533
a	0.346915	0.000574031	0.156234	0.356624	0.0388068	0.0769187	0.0111868	0.00731903	0.00154869	0.00387237
l	0.00529143	0.00881606	0.00324745	0.00919866	0.00596301	0.270962	0.668885	0.0038274	0.00742853	0.0163805
έ	0.00226673	0.0137492	0.0014276	0.00671968	0.00367235	0.200176	0.709195	0.00547104	0.0204977	0.0368255
n	0.00266828	0.0026718	0.010506	0.0271745	0.00112391	0.19539	0.681835	0.0137393	0.00285678	0.0620345
g	0.0137489	0.00139641	0.0229853	0.0566349	0.00264814	0.307258	0.554476	0.0204584	0.000998809	0.019395
í	0.0336679	0.000295526	0.0262585	0.140185	0.0303078	0.166825	0.505303	0.0364693	0.00113864	0.0595495
s	0.0043515	0.000112594	0.0174035	0.0813655	0.00958981	0.258934	0.279011	0.289421	0.0104078	0.0494035
έ	0.00996876	0.00084987	0.00670735	0.0246672	0.000428001	0.199579	0.531866	0.172014	0.00523046	0.0486892
m	0.00205818	0.000703599	0.00443616	0.00954689	0.00166992	0.129078	0.129094	0.582328	0.0694295	0.0716559
ú	0.0026235	0.00118115	0.00729598	0.00591035	0.000490411	0.0050246	0.02537	0.0865188	0.79348	0.0721054
b	0.000374012	0.00411627	0.00396692	0.00465659	0.000107122	0.0149026	0.0274414	0.0977866	0.726355	0.120294
h	0.00395855	0.000380988	0.00474891	0.0141956	0.00180022	0.0645329	0.0444017	0.179773	0.0146153	0.671593
u	0.00478434	0.00274168	0.00351489	0.0167607	0.00289659	0.0666114	0.369728	0.148831	0.0688472	0.315284
</S>	0.000395606	0.00079341	0.00095325	0.00156324	0.000134811	0.0130011	0.0400491	0.351046	0.0221442	0.569919
