 	tu	feras	attention	à	la	viande	qui	est	sur	le	feu	</S>
o	0.186558	0.415059	0.0267522	0.0452008	0.0577436	0.0538178	0.129594	0.0579553	0.0112063	0.00827153	0.00166425	0.00617694
t	0.0213951	0.440487	0.229835	0.162747	0.0247184	0.00861014	0.0283045	0.0231221	0.0268883	0.0109081	0.00787241	0.0151125
á	0.000555476	0.0445268	0.0666896	0.513888	0.074097	0.00948158	0.0218126	0.0665408	0.165229	0.0319645	0.00117153	0.00404389
á	0.00101987	0.10518	0.0458736	0.243353	0.0271696	0.00961211	0.0357061	0.0927134	0.112521	0.0136727	0.00998753	0.303191
n	0.369794	0.0225588	0.238911	0.0872902	0.12544	0.0465787	0.0467842	0.0186603	0.00856871	0.00882431	0.00558601	0.0210034
y	0.150811	0.00464777	0.05336	0.0645789	0.193204	0.295912	0.141745	0.0160174	0.00614086	0.0221078	0.00667213	0.0448024
a	0.0955675	0.00704416	0.130268	0.0861806	0.083229	0.334836	0.135288	0.045	0.0189589	0.0358591	0.00135614	0.0264136
m	0.00184794	0.00130758	0.0240095	0.0339459	0.0906408	0.20278	0.161273	0.100242	0.0869915	0.220072	0.00716038	0.0697293
a	0.0524888	0.0304102	0.0367165	0.11108	0.268834	0.0776959	0.27003	0.0889742	0.0269746	0.0275078	0.00104968	0.00823734
y	0.0180243	0.00105307	0.0742685	0.053547	0.0810882	0.052178	0.233942	0.227577	0.0934725	0.0686443	0.0403993	0.0558055
é	0.00523766	0.000680588	0.112544	0.106916	0.158828	0.121757	0.225348	0.118497	0.0528818	0.0625674	0.0160572	0.0186854
é	0.0187318	0.00183729	0.0609948	0.0392522	0.0972095	0.0629187	0.305857	0.133758	0.0445969	0.183881	0.0359979	0.0149646
d	4.4238e-05	4.92423e-05	0.00308033	0.00561642	0.00286551	0.00109861	0.0509062	0.234031	0.427661	0.149264	0.106743	0.0186411
i	1.36361e-05	6.3568e-06	0.000345958	0.00362546	0.00330766	0.000897242	0.0234441	0.119626	0.680018	0.0904962	0.0161157	0.0621042
m	0.000125252	3.40099e-05	0.00487822	0.0121566	0.0173136	0.00148771	0.0206824	0.0704573	0.466779	0.324411	0.0454404	0.0362345
ó	6.4996e-05	2.29202e-05	0.00127432	0.0118857	0.023648	0.00876473	0.0291383	0.0521866	0.239185	0.208378	0.240371	0.185079
m	0.000341663	8.9328e-05	0.00470117	0.00375567	0.00952382	0.0078606	0.0150756	0.0273122	0.0709271	0.492232	0.336199	0.0319825
í	2.74517e-05	9.213e-06	0.000496655	0.00229734	0.00996484	0.00556649	0.00651132	0.00447814	0.0253706	0.0711387	0.836306	0.037833
á	8.29354e-05	2.08776e-05	0.00402443	0.00685782	0.0176568	0.00249362	0.0174012	0.0201629	0.0389366	0.137576	0.725574	0.029213
</S>	0.00249539	0.00122195	0.00313578	0.00404968	0.00382848	0.000905642	0.011413	0.0239176	0.0588428	0.195958	0.206364	0.487868
