 	le	jardinier	arrose	les	légumes	pour	les	faire	pousser	plus	vite	</S>
ω	0.965036	0.00698455	0.00481034	0.00491218	0.00845812	0.00331997	0.00218963	0.00214167	0.000522267	0.00148504	0.000110776	2.91105e-05
s	0.0382579	0.950085	0.00789077	0.000387368	0.00109213	0.000218569	0.000148798	0.000242401	7.87907e-05	0.000295596	0.000858777	0.000443791
á	0.0493786	0.933322	0.0114929	0.00106589	0.00176059	0.00035403	0.000232885	0.000360019	9.89161e-05	0.000199676	0.00111293	0.000621674
i	0.0135847	0.912678	0.0140901	0.00276378	0.00291642	0.00121177	0.000948069	0.00125862	0.000542891	0.00246647	0.00709389	0.0404448
l	0.452945	0.0465942	0.201292	0.0476169	0.0196072	0.022824	0.022015	0.0193668	0.0229174	0.0704174	0.00432753	0.0700771
á	0.136206	0.0423981	0.252214	0.0932329	0.0412147	0.0494643	0.0396222	0.0317509	0.0331087	0.0775295	0.0168193	0.186439
a	0.359857	0.0215066	0.226329	0.128476	0.0499518	0.0307591	0.0373716	0.0213668	0.0249729	0.0363578	0.00567868	0.0573729
k	0.023615	0.118601	0.559934	0.178827	0.0523386	0.0148651	0.00568779	0.00520939	0.0046411	0.0122094	0.00749986	0.0165716
a	0.00830366	0.0840355	0.701877	0.0977958	0.0493503	0.0145491	0.00600901	0.00667765	0.00382452	0.0102561	0.00198882	0.0153325
n	0.00436814	0.148034	0.721993	0.0607677	0.0252148	0.00682687	0.00195641	0.00157177	0.00180524	0.00189427	0.00145435	0.0241135
á	0.0431362	0.0165141	0.425945	0.263754	0.137403	0.0212771	0.0123057	0.00932287	0.00750499	0.0166551	0.00219981	0.0439822
n	0.00858562	0.00182063	0.0682587	0.396064	0.336379	0.101861	0.0372153	0.0147248	0.0118487	0.0103196	0.00302217	0.00990037
d	0.00441273	0.000287543	0.0317758	0.325251	0.520787	0.0330192	0.0291776	0.0137658	0.0069704	0.00725796	0.00401643	0.0232782
ú	0.000762292	0.000450725	0.0297705	0.287425	0.540748	0.0470183	0.0271184	0.0158257	0.00560349	0.00567907	0.00953524	0.0300637
n	0.000679964	0.00178358	0.0127909	0.109978	0.742576	0.0354281	0.0256494	0.0271122	0.00133785	0.0020705	0.0294217	0.0111722
d	0.00822359	0.00206196	0.0314296	0.210718	0.628222	0.0568124	0.0204575	0.00833261	0.00142944	0.00166876	0.00605246	0.0245924
a	0.00375819	0.00257623	0.0155147	0.0907671	0.818247	0.0280314	0.0102915	0.00513125	0.000279648	0.000596014	0.003191	0.0216157
m	0.00360611	0.00224566	0.0680947	0.145513	0.118427	0.359576	0.169937	0.05953	0.0309619	0.0248453	0.00294117	0.014322
á	0.0246245	0.000523562	0.0111418	0.0814214	0.188897	0.319959	0.179729	0.0671723	0.0144913	0.0571309	0.00592	0.0489898
a	0.00436319	0.00134296	0.00700968	0.0334117	0.0638614	0.215724	0.254203	0.240738	0.0724433	0.0586446	0.0258928	0.022365
b	0.00921587	0.0293215	0.0247899	0.022749	0.0248773	0.16442	0.178704	0.219274	0.182985	0.0719721	0.0536954	0.0179966
á	0.00189698	0.00834367	0.0287974	0.0146587	0.012555	0.0775979	0.0993653	0.239523	0.396582	0.0715242	0.0272095	0.0219464
a	0.00162382	0.00115738	0.0142018	0.0245994	0.0276467	0.0874093	0.101631	0.213944	0.129269	0.137594	0.0174177	0.243506
y	0.00137927	0.000363516	0.00400512	0.00909789	0.00596587	0.0437443	0.143304	0.153802	0.163019	0.362049	0.0454881	0.0677817
é	0.0100252	0.00439705	0.0170363	0.0301185	0.0324456	0.0490306	0.148464	0.171856	0.0518489	0.162544	0.203162	0.119072
e	0.000954701	0.000598187	0.00129697	0.00426779	0.00743581	0.0157023	0.0783373	0.154667	0.0637963	0.0980116	0.498421	0.0765111
s	0.000308861	0.00100695	0.00233671	0.00214888	0.0015438	0.0108744	0.023235	0.0481229	0.111001	0.169485	0.474547	0.155389
o	0.000286838	0.00245074	0.00401485	0.00426944	0.00403386	0.00530764	0.019468	0.0339009	0.0146771	0.0661308	0.696572	0.148887
á	9.21098e-05	0.000269856	0.00118392	0.0023442	0.00309032	0.00993282	0.0294522	0.0386179	0.021627	0.0407882	0.728871	0.123731
l	0.000383018	0.000158813	0.00312046	0.00891857	0.00619478	0.0161912	0.0722811	0.0474222	0.115267	0.23636	0.174473	0.319229
a	0.000421817	0.000328987	0.00304419	0.00534051	0.00212958	0.0108631	0.0222125	0.0302584	0.0371109	0.141651	0.44908	0.297559
o	0.000467227	6.86265e-05	0.00111262	0.00426452	0.00463476	0.00443491	0.0208622	0.024073	0.0134125	0.086776	0.70447	0.135423
k	6.86599e-05	0.000509729	0.00216911	0.00389782	0.00221203	0.00737793	0.0150653	0.0154249	0.0255206	0.120584	0.55558	0.25159
ó	0.000238538	0.00052898	0.00477199	0.00339107	0.00622157	0.0108896	0.0103917	0.0782335	0.0516105	0.154894	0.557211	0.121617
l	4.24822e-05	4.5149e-05	0.00041951	0.000343319	0.00111649	0.00219483	0.00460549	0.0482023	0.0317836	0.0385998	0.657904	0.214743
ó	5.59023e-05	8.97683e-05	0.0023619	0.0021765	0.00438904	0.00509386	0.0112058	0.0450816	0.0274572	0.122585	0.383978	0.395525
</S>	0.000391772	0.000105053	0.00195191	0.00270569	0.00243294	0.0108947	0.0235786	0.033507	0.0574605	0.0980294	0.320647	0.448295
