 	j'	ai	perdu	mon	honneur	dans	ce	village	</S>
n	0.882556	0.0619676	0.0129204	0.00885629	0.0139094	0.0105685	0.00531708	0.00369312	0.00021195
g	0.93352	0.0119426	0.00120983	0.0512168	0.000394653	0.000682394	0.000992824	1.95909e-05	2.16734e-05
á	0.695656	0.137945	0.0146769	0.14449	0.00169197	0.00252932	0.00285617	1.06085e-05	0.000144035
í	0.102079	0.160408	0.0957619	0.204179	0.0791395	0.0370346	0.0814722	0.00563186	0.234293
m	0.0102924	0.139125	0.699926	0.02938	0.0939951	0.013346	0.00332031	0.000191433	0.0104231
i	0.000219159	0.124137	0.599321	0.045362	0.155238	0.05416	0.010269	0.00076938	0.0105248
s	6.35634e-05	0.0180357	0.863783	0.00706529	0.0977744	0.00823052	0.000823277	0.00015766	0.0040669
á	3.89873e-05	0.0348584	0.908646	0.00454092	0.0454245	0.00445305	0.000175371	7.90778e-05	0.00178369
á	0.000416331	0.0847754	0.489778	0.118497	0.0872908	0.0384713	0.0305062	0.00437412	0.145891
o	0.00323312	0.0700209	0.125818	0.322758	0.323391	0.0906883	0.0478009	0.00823408	0.00805583
w	0.000132905	0.00382038	0.0857855	0.0624913	0.66308	0.1554	0.00773131	0.0186353	0.00292354
o	0.000151693	0.0157216	0.207759	0.0157537	0.602888	0.105789	0.00558428	0.0168515	0.0295014
l	1.09861e-05	0.00345462	0.137778	0.0030679	0.655794	0.122782	0.00545213	0.0137215	0.0579396
á	4.42252e-05	0.000822818	0.0398486	0.0111931	0.586876	0.163736	0.0385986	0.0392213	0.11966
s	0.000231934	0.00998335	0.0122761	0.116953	0.0674518	0.258433	0.34235	0.165987	0.0263344
á	0.00349807	0.00650218	0.00941174	0.545532	0.0332732	0.11087	0.161157	0.0555755	0.0741798
p	0.0101633	0.00660851	0.00164593	0.143083	0.00410094	0.011951	0.0847361	0.731246	0.00646521
o	1.86126e-05	3.07599e-05	0.000168179	0.000770605	0.00353614	0.00276645	0.00276307	0.987214	0.00273257
o	2.67124e-05	0.000248664	0.00337247	0.00258679	0.0126068	0.0143603	0.00978319	0.943908	0.013107
b	5.97825e-05	0.00353892	0.00781648	0.0286476	0.0095083	0.0790622	0.200856	0.0669775	0.603533
h	0.00246828	0.00614313	0.0373368	0.0904586	0.113119	0.140303	0.171608	0.180345	0.258218
á	0.000779411	0.00281232	0.0178262	0.0747885	0.0635717	0.250563	0.0983937	0.199673	0.291592
</S>	0.000135929	0.00390732	0.00415338	0.026888	0.0072121	0.0522962	0.218882	0.0735464	0.612979
