 	la	lèpre	coupe	les	doigts	</S>
i	0.973013	0.0246221	0.00169162	0.000423301	0.000185302	6.4842e-05
b	0.0338992	0.9565	0.00615777	0.00012	0.00320397	0.000119294
e	0.170447	0.773107	0.0252035	0.00503128	0.0213355	0.00487512
l	0.0711936	0.902831	0.0235771	0.000550428	0.000254749	0.00159342
a	0.40182	0.507685	0.0797566	0.00178996	0.000443739	0.00850471
b	0.677789	0.205031	0.0403447	0.047779	0.00169554	0.0273613
í	0.394659	0.0482458	0.0365262	0.305814	0.0459046	0.16885
i	0.598448	0.0899067	0.133479	0.0964017	0.00320013	0.0785647
k	0.00440265	0.0895562	0.881422	0.00910997	0.00478907	0.0107199
y	0.00184095	0.0296616	0.960872	0.00408878	0.00165405	0.00188259
é	0.00356053	0.0401381	0.947289	0.0034509	0.00313915	0.00242201
n	0.00474637	0.0313746	0.798699	0.0615951	0.0281095	0.0754754
á	0.00635055	0.00933698	0.925198	0.0290393	0.00215787	0.0279168
á	0.0111969	0.00862001	0.11182	0.604148	0.170088	0.0941273
i	0.0103935	0.00166033	0.00308257	0.663121	0.271842	0.0499013
s	0.00473054	0.0124407	0.0467369	0.069634	0.84697	0.0194882
a	0.00100771	0.00248795	0.00214675	0.0487229	0.911823	0.0338115
b	0.000149943	0.000286254	0.00183199	0.0690681	0.770334	0.15833
h	0.00686191	0.00174237	0.0258922	0.196134	0.403592	0.365777
é	0.00253143	0.00539087	0.0677017	0.120604	0.284664	0.519108
</S>	0.000899811	0.000906636	0.0157677	0.129245	0.264278	0.588903
