 	a	qui	appartient	ce	lot	de	papiers	</S>
l	0.48893	0.149836	0.103535	0.0773672	0.121271	0.0428568	0.00849001	0.00771343
e	0.520048	0.235016	0.109754	0.021679	0.0182191	0.0369736	0.0220598	0.0362507
b	0.084645	0.100261	0.156057	0.0705034	0.0389342	0.0317459	0.101232	0.416622
o	0.0330444	0.0471268	0.0257614	0.234673	0.496119	0.0541476	0.0513864	0.0577417
l	0.0223841	0.0272659	0.0515848	0.229618	0.454626	0.0415107	0.0666436	0.106367
o	0.0658388	0.0832816	0.254841	0.24529	0.125093	0.0666101	0.0470554	0.11199
l	0.0253601	0.0698669	0.0759126	0.197922	0.152098	0.293717	0.0833724	0.101751
á	0.0309425	0.0775146	0.111449	0.22206	0.0989547	0.139735	0.0860656	0.233278
k	0.0647566	0.0485797	0.0243138	0.0939068	0.0911089	0.191424	0.438756	0.047154
á	0.00958479	0.0106408	0.011982	0.0869429	0.263953	0.0297361	0.484224	0.102937
s	0.00917782	0.0211372	0.013198	0.101623	0.283442	0.137406	0.347132	0.0868839
i	0.00870441	0.0127718	0.0165667	0.0676174	0.170704	0.129684	0.428944	0.165008
d	0.0109782	0.0352855	0.0444382	0.106095	0.0867739	0.307506	0.107802	0.301121
í	0.00445931	0.016522	0.00963122	0.0111667	0.00489742	0.0665649	0.200577	0.686181
l	0.00962532	0.0277668	0.0175948	0.0556207	0.042678	0.234646	0.128417	0.483651
á	0.0112487	0.014999	0.0123172	0.0163107	0.00686808	0.0754257	0.162482	0.700348
n	0.012518	0.0281474	0.0166694	0.0357977	0.0262464	0.267772	0.125139	0.48771
d	0.0110088	0.0235379	0.0158303	0.0162088	0.00864042	0.0902071	0.335193	0.499373
a	0.00373636	0.00522488	0.00689642	0.00316892	0.00176977	0.0107539	0.557554	0.410896
</S>	0.000500224	0.00459862	0.00731633	0.0183346	0.015474	0.0715569	0.14244	0.73978
