 	on	essaya	d'	arrêter	la	bagare	</S>
l	0.890819	0.0544781	0.0321844	0.00464916	0.0168626	0.000285661	0.000721136
e	0.478747	0.329202	0.0711021	0.0634911	0.0316403	0.0184422	0.00737564
m	0.433855	0.461255	0.0420753	0.0208764	0.0110458	0.0225534	0.00833894
e	0.00278899	0.993939	0.0017574	0.000633998	5.65076e-05	0.000493159	0.000331047
é	0.0175546	0.699413	0.175126	0.0670727	0.00970552	0.0180396	0.0130886
o	0.0387511	0.0218851	0.458416	0.284432	0.117709	0.0161664	0.0626399
s	0.00168066	0.00656034	0.102884	0.789826	0.0303028	0.0625569	0.00618994
ú	0.000241485	0.0115407	0.0179443	0.95732	0.00417137	0.00523077	0.00355122
n	0.0546656	0.0216567	0.291206	0.518703	0.0656029	0.00820229	0.0399638
g	0.0147383	0.00255212	0.506244	0.234302	0.189519	0.0168354	0.0358091
á	0.0358856	0.00324537	0.353591	0.174318	0.350981	0.0353276	0.046652
e	0.014908	0.00502703	0.144005	0.10879	0.50853	0.173927	0.0448142
t	0.00159024	0.00120166	0.0123557	0.0211383	0.049116	0.858295	0.0563026
u	0.000297275	0.000184408	0.0082146	0.00829202	0.0275476	0.928704	0.0267597
m	0.00321577	0.000331237	0.023568	0.0281408	0.129485	0.681924	0.133335
b	0.003485	0.000343718	0.0351136	0.00350321	0.0973291	0.731674	0.128551
a	0.0321321	0.000523927	0.106766	0.0410687	0.145024	0.476847	0.197639
</S>	0.0115837	0.00018613	0.0504156	0.0133663	0.364555	0.0439152	0.515978
