 	il	a	beaucoup	d'	appétit	</S>
w	0.734812	0.187931	0.0416769	0.0340669	0.000226276	0.00128661
a	0.686191	0.189882	0.0263138	0.0968328	0.000349641	0.000431088
a	0.223084	0.392369	0.23245	0.14372	0.000683516	0.00769293
d	0.0357514	0.282741	0.416565	0.222062	0.00815719	0.0347233
í	0.0176181	0.24332	0.506755	0.13029	0.00300141	0.0990151
l	0.0117756	0.050335	0.302707	0.288641	0.0928838	0.253657
a	0.0300129	0.0458447	0.32351	0.319378	0.0469159	0.234338
p	0.0591763	0.0709087	0.260989	0.211845	0.271271	0.125809
o	0.00839256	0.0546058	0.0650948	0.0414038	0.807821	0.0226818
s	0.00327419	0.0172944	0.0785167	0.0736164	0.813891	0.0134076
á	0.0023093	0.0124664	0.098231	0.0617632	0.767178	0.0580519
ω	0.0202749	0.0217153	0.100575	0.452616	0.303001	0.101817
d	0.00176065	0.0077243	0.0327822	0.0577749	0.862464	0.0374938
z	0.00126596	0.00771669	0.0767131	0.0787089	0.724585	0.11101
á	0.00570582	0.00952168	0.0505338	0.101714	0.735563	0.0969625
n	0.00322345	0.00524851	0.0748641	0.11973	0.193215	0.603718
y	0.0031585	0.0107858	0.0583761	0.0855455	0.18965	0.652484
a	0.00242215	0.00459787	0.0309024	0.0237598	0.0866505	0.851667
m	0.00357714	0.0088266	0.0925237	0.142841	0.0934058	0.658826
a	0.019056	0.00822243	0.0335574	0.162884	0.00285708	0.773423
</S>	0.00869603	0.00757705	0.0415357	0.0900497	0.0250752	0.827066
