 	c'	est	un	arbuste	</S>
e	0.581268	0.338306	0.0484134	0.025774	0.00623857
d	0.206168	0.650917	0.0554338	0.0750886	0.0123922
i	0.2238	0.433667	0.0554859	0.0654446	0.221603
m	0.0264961	0.0505638	0.234604	0.111335	0.577001
w	0.0958735	0.0902023	0.106203	0.239741	0.46798
á	0.0460372	0.19738	0.0743564	0.360813	0.321413
n	0.1801	0.0548955	0.272616	0.205845	0.286543
a	0.259618	0.103588	0.305524	0.1484	0.182868
i	0.0654306	0.0395171	0.695555	0.0836188	0.115878
b	0.0177919	0.0361996	0.177941	0.406087	0.361981
v	0.008187	0.0224597	0.179134	0.74278	0.0474392
ú	0.00528199	0.0138624	0.0797744	0.851863	0.0492182
a	0.00825891	0.00919845	0.209062	0.268239	0.505241
</S>	0.0238382	0.023653	0.334149	0.170257	0.448103
