 	une	longue	maladie	l'	a	fait	échouer	à	l'	école	</S>
i	0.282386	0.36483	0.20413	0.0772481	0.0295402	0.0287917	0.000194804	0.00655883	0.00468514	0.00098343	0.000650681
k	0.0863096	0.562371	0.15883	0.0467368	0.0164299	0.0460559	0.00796634	0.0242472	0.0192564	0.0288754	0.00292181
ω	0.0236439	0.120019	0.561106	0.138577	0.0151798	0.0454258	0.0060921	0.01625	0.00783055	0.0544161	0.0114595
n	0.0194401	0.259016	0.526366	0.0937134	0.00788517	0.041284	0.00345821	0.00933767	0.0175633	0.0153753	0.0065608
í	0.273836	0.317914	0.205865	0.0372419	0.0176806	0.0686656	0.0159666	0.0308055	0.0165949	0.00994285	0.00548713
l	0.376281	0.187284	0.250967	0.106906	0.0379338	0.0197502	0.00415256	0.00577599	0.00328876	0.00116091	0.0064994
í	0.113533	0.0668182	0.126985	0.0597845	0.0531531	0.0511911	0.0468817	0.0784617	0.0360168	0.0171722	0.350003
y	0.29501	0.132542	0.162251	0.18371	0.0652741	0.0415089	0.0170384	0.022362	0.0138753	0.00711596	0.0593118
í	0.164951	0.0402346	0.0705873	0.285106	0.151128	0.106403	0.0984046	0.0180525	0.011976	0.0033169	0.04984
í	0.168229	0.0438523	0.102681	0.310927	0.163835	0.0812469	0.0326745	0.0225295	0.0152546	0.00299019	0.0557806
í	0.0103436	0.0095817	0.041439	0.104162	0.16466	0.239792	0.312802	0.0589971	0.0150406	0.00407252	0.0391096
k	0.00647942	0.019196	0.0220142	0.0269394	0.0636321	0.243244	0.484863	0.0570582	0.0236928	0.0119127	0.0409689
ώ	0.00111408	0.00191145	0.0230198	0.00978061	0.00790743	0.194108	0.643358	0.0579304	0.0265955	0.0183303	0.0159442
n	0.00689528	0.0210763	0.101779	0.0425676	0.0256998	0.149247	0.560901	0.0404846	0.0182408	0.010919	0.022189
d	0.0175088	0.011607	0.0773144	0.0444446	0.0359131	0.172956	0.39696	0.138764	0.0520635	0.0168443	0.0356242
i	0.0306478	0.0314379	0.200962	0.101115	0.0638388	0.222778	0.18107	0.0593467	0.0421213	0.0198335	0.0468494
s	0.0092215	0.00797867	0.0338837	0.167988	0.261512	0.120899	0.00864805	0.232829	0.118564	0.0175682	0.020907
i	0.0227579	0.00821183	0.0201552	0.149408	0.0516452	0.139649	0.20748	0.212597	0.105808	0.0294656	0.0528233
w	0.00740503	0.00765579	0.0137736	0.19134	0.301483	0.0970204	0.00597185	0.179823	0.152794	0.0241878	0.0185452
á	0.00841196	0.0112283	0.0203861	0.188408	0.252165	0.154375	0.00360215	0.125969	0.108143	0.0681123	0.0591987
l	0.0118522	0.0209564	0.0239341	0.0874267	0.109874	0.0572937	0.00298469	0.216797	0.240514	0.118267	0.1101
e	0.001927	0.00219394	0.00558844	0.010279	0.0158127	0.0330436	0.0505542	0.363804	0.233766	0.106269	0.176763
k	0.00177997	0.00157925	0.00627035	0.00506943	0.00847989	0.0167125	0.0362535	0.10631	0.154259	0.54909	0.114196
ώ	0.000479276	0.00248655	0.00784591	0.001338	0.00086469	0.0155587	0.026695	0.0803762	0.076357	0.717015	0.0709833
ώ	6.81219e-05	0.000143004	0.0038514	0.0013661	0.000957629	0.0148924	0.0438176	0.0748627	0.13956	0.644039	0.0764419
l	0.00498446	0.00200388	0.00565025	0.00657693	0.0131321	0.0214546	0.00529174	0.203157	0.234531	0.235982	0.267236
i	0.0051828	0.00587263	0.00837531	0.00304667	0.00293608	0.0127857	0.027617	0.101094	0.112703	0.25119	0.469196
</S>	0.00631575	0.00748011	0.0171898	0.021056	0.0167737	0.0177422	0.00561804	0.0805664	0.144571	0.190089	0.492598
