 	le	fait	de	mal	parler	des	gens	c'	est	le	commérage	</S>
i	0.478399	0.286954	0.0753452	0.0272983	0.0175493	0.0322331	0.0373097	0.0226877	0.00980016	0.00834448	0.00067365	0.00340515
t	0.0726756	0.740019	0.0177117	0.00886998	0.0509066	0.00603585	0.0011568	0.00551871	0.00542446	0.0151379	0.0682386	0.0083047
i	0.0342515	0.567761	0.0187579	0.0179105	0.251318	0.0405185	0.0188513	0.0254365	0.00491497	0.00347548	0.0100225	0.00678133
a	0.0900862	0.640761	0.0552378	0.0365428	0.0652465	0.0170404	0.0142978	0.0123992	0.00546479	0.00619958	0.00947273	0.0472514
m	0.150117	0.0782206	0.39299	0.181461	0.0473552	0.0421664	0.0423094	0.0231243	0.0088821	0.00531426	0.00181413	0.0262455
á	0.0847574	0.0166377	0.0687379	0.0945613	0.0517446	0.216406	0.334546	0.0973334	0.0251593	0.00362444	0.000487414	0.00600422
n	0.0938235	0.0232374	0.0736801	0.176376	0.117853	0.132426	0.28593	0.0494657	0.0113394	0.00446614	0.00291582	0.0284867
d	0.0542324	0.0159737	0.107094	0.654252	0.0354077	0.0390742	0.0439481	0.00685712	0.00624085	0.00447496	0.00107524	0.0313702
z	0.00918074	0.00727832	0.0772446	0.481182	0.145748	0.107101	0.0968364	0.0191477	0.00985121	0.00450114	0.000843845	0.0410851
ó	0.0192284	0.0249476	0.0595596	0.331378	0.158718	0.183773	0.135695	0.0180384	0.013476	0.004947	0.00210779	0.0481317
r	0.0816144	0.10775	0.0746433	0.140795	0.119787	0.192607	0.167673	0.03059	0.0205278	0.00708	0.00106371	0.0558682
o	0.0967799	0.075005	0.0468567	0.0487216	0.141486	0.235396	0.290749	0.0388665	0.0109489	0.0040157	0.00060875	0.0105662
m	0.0495177	0.0225683	0.165723	0.0649709	0.0931241	0.197289	0.229005	0.121415	0.0325995	0.0116823	0.000852419	0.011254
á	0.0505457	0.00668509	0.0717103	0.060962	0.0827652	0.141802	0.247116	0.215327	0.0872413	0.0180796	0.0020737	0.015692
b	0.0183154	0.00875844	0.037367	0.0705244	0.0894598	0.124945	0.112712	0.346888	0.104213	0.0460727	0.028624	0.0121207
i	0.0224408	0.0266737	0.0392383	0.141679	0.154664	0.127747	0.146529	0.208646	0.0773123	0.0185444	0.0175608	0.0189653
a	0.00313069	0.0036172	0.03619	0.102566	0.0587547	0.147912	0.355581	0.177895	0.0652799	0.0193887	0.00331503	0.0263699
í	0.00458246	0.00145326	0.0453168	0.0320674	0.0163218	0.0722487	0.091483	0.192384	0.269817	0.231657	0.0146352	0.028033
d	0.012837	0.00853061	0.0252829	0.0140534	0.0288041	0.011444	0.00258375	0.052057	0.298649	0.347686	0.141004	0.0570681
í	0.000611741	0.000233471	0.00244884	0.00166544	0.00318684	0.00244128	0.000755891	0.0135805	0.115049	0.220922	0.140087	0.499019
i	0.0024434	0.000449521	0.010694	0.0100018	0.00547244	0.0164267	0.00890753	0.0276753	0.11856	0.335916	0.334151	0.129302
s	0.0062836	0.00528889	0.00568135	0.0100615	0.0129002	0.0115759	0.00601019	0.0141979	0.116973	0.154796	0.348873	0.307358
i	0.00159773	0.000780391	0.00303415	0.00894674	0.0118715	0.00516885	0.0015308	0.00423393	0.0435398	0.176589	0.417638	0.32507
έ	0.000225073	0.000106403	0.00132755	0.00268975	0.00177717	0.00773494	0.00438958	0.00433056	0.0436898	0.137218	0.325933	0.470578
</S>	0.000830022	0.000861345	0.0070239	0.00322169	0.00573257	0.0124596	0.00630833	0.012858	0.150328	0.251584	0.245155	0.303638
