 	il	est	difficile	de	vivre	dans	la	pauvreté	</S>
i	0.337418	0.143028	0.171246	0.238661	0.0229566	0.025075	0.0379341	0.0215131	0.00216749
d	0.0371703	0.338927	0.126527	0.0697412	0.220298	0.104626	0.0391049	0.011847	0.0517584
z	0.0200653	0.1451	0.0989452	0.0860544	0.151355	0.0716546	0.043575	0.0611916	0.322059
e	0.130087	0.0755329	0.0215108	0.0941104	0.224076	0.0177858	0.0650654	0.110394	0.261438
e	0.0149905	0.191767	0.302982	0.151818	0.0434463	0.0541243	0.0599383	0.0567058	0.124228
m	0.0148862	0.0517744	0.296319	0.202767	0.0803838	0.136842	0.107474	0.0353053	0.0742487
a	0.0121947	0.0220779	0.00753792	0.113503	0.317447	0.087597	0.236093	0.0255665	0.177983
s	0.0177825	0.0346243	0.0542907	0.100908	0.115685	0.0686081	0.0968368	0.248308	0.262957
ó	0.00565661	0.0202956	0.0673335	0.0817505	0.100459	0.0956268	0.143637	0.248203	0.237038
y	0.00970253	0.0396306	0.0824953	0.155479	0.118625	0.0425099	0.0867523	0.266394	0.198411
o	0.00897593	0.0631493	0.242028	0.166695	0.156954	0.0807691	0.104041	0.0900312	0.0873565
ó	0.00213408	0.00283567	0.0180592	0.0368358	0.0397753	0.0368249	0.151401	0.249872	0.462263
í	0.00122339	0.00587673	0.0276334	0.0408409	0.0587163	0.176153	0.133198	0.0777435	0.478614
d	0.00211412	0.0201661	0.0431494	0.0304675	0.0465205	0.122656	0.0978598	0.0464241	0.590642
í	0.00146807	0.014642	0.0417538	0.0245602	0.0344765	0.198914	0.118064	0.0182129	0.547908
l	0.00223549	0.0056094	0.038316	0.0309896	0.0312893	0.147075	0.146549	0.0156245	0.582311
e	0.00467058	0.0123022	0.0272271	0.0190417	0.0160667	0.048425	0.0723569	0.0320418	0.767868
n	0.00218429	0.00582262	0.0184597	0.0113103	0.00527335	0.021883	0.16817	0.403696	0.363201
y	0.000247151	0.000631592	0.00160617	0.00108683	0.000998893	0.00187045	0.0138298	0.842466	0.137263
ω	0.00084537	0.00165632	0.0067765	0.00259147	0.000719618	0.00521026	0.0389351	0.736539	0.206726
n	3.06654e-05	0.000192535	0.00136865	0.000606042	0.000369494	0.0010901	0.0158338	0.842451	0.138058
g	0.000175936	0.00156609	0.00258546	0.0018279	0.0140874	0.0244845	0.0738007	0.0898236	0.791648
í	0.000706844	0.000783942	0.00472635	0.00387119	0.00312295	0.00790351	0.137333	0.406948	0.434604
</S>	0.00472122	0.00493554	0.0137195	0.0192794	0.0579292	0.0984444	0.203336	0.111632	0.486003
