 	il	est	à	bout	de	forces	</S>
w	0.751891	0.15622	0.0304828	0.0104406	0.0387717	0.0110838	0.00110961
a	0.742875	0.0971849	0.0132899	0.0176653	0.119508	0.00886353	0.000613648
a	0.108713	0.744516	0.0982807	0.0228965	0.0122457	0.00220249	0.0111456
b	0.0516419	0.593343	0.267205	0.0487683	0.0083925	0.00197436	0.0286745
h	0.0681844	0.369279	0.38624	0.0483602	0.0585486	0.00162933	0.0677587
i	0.0133148	0.107552	0.623807	0.116713	0.0443274	0.00263487	0.0916502
p	0.0178233	0.0627346	0.234342	0.157889	0.118142	0.0348403	0.374229
á	0.0784993	0.126529	0.208355	0.261129	0.134151	0.0768834	0.114453
m	0.0736773	0.180066	0.215724	0.189219	0.0853344	0.112603	0.143377
i	0.125375	0.101157	0.232155	0.180992	0.212294	0.042401	0.105626
k	0.0128904	0.029831	0.174952	0.123017	0.240735	0.0738672	0.344707
a	0.00388519	0.0244546	0.0838218	0.156351	0.206648	0.205043	0.319796
á	0.000668401	0.00693228	0.0477956	0.0696917	0.0847007	0.112585	0.677627
</S>	0.0216707	0.0273472	0.0823179	0.058613	0.0789871	0.0528588	0.678205
