 	il	accélère	sa	course	</S>
w	0.890671	0.0786888	0.0253581	0.00520434	7.73287e-05
a	0.84283	0.0421611	0.0624595	0.0522324	0.000317267
a	0.483608	0.322051	0.123826	0.0142204	0.0562946
k	0.0735363	0.778597	0.0881536	0.022125	0.0375883
y	0.03589	0.807797	0.0596951	0.00694342	0.0896741
e	0.140296	0.645278	0.149245	0.0302412	0.0349393
m	0.128077	0.309572	0.328013	0.0395964	0.194742
b	0.0822697	0.0166206	0.450902	0.280208	0.169999
á	0.0483508	0.0469651	0.0754889	0.323943	0.505252
á	0.138815	0.0301284	0.433558	0.150157	0.247342
n	0.00822052	0.0130763	0.124812	0.594931	0.25896
g	0.00207045	0.000728454	0.0265301	0.825237	0.145434
e	0.00410249	0.00268037	0.0611425	0.821183	0.110892
</S>	0.00160119	0.00103869	0.0804871	0.144588	0.772285
