 	le	chef	coutumier	a	porté	un	tissu	de	raphia	</S>
m	0.182083	0.590154	0.212739	0.013542	0.000311961	0.000852821	2.69479e-05	0.000192679	8.33091e-05	1.40205e-05
w	0.0175281	0.084327	0.889052	0.00487714	0.000624475	0.00073478	3.81996e-05	0.000522114	0.000200197	0.00209568
ε	0.0011885	0.0157964	0.982637	0.000298935	1.23252e-05	4.03366e-05	2.51621e-06	2.62474e-06	1.86332e-05	3.31849e-06
n	0.198253	0.178567	0.461131	0.0421347	0.0258152	0.071261	0.0016011	0.00925731	0.000166969	0.0118123
έ	0.324359	0.516359	0.112182	0.0175701	0.000982763	0.0179606	0.000109092	0.00409427	0.000756573	0.00562627
á	0.0997153	0.0345298	0.00824014	0.639927	0.0798184	0.0410638	0.00411383	0.0207866	0.00233048	0.0694744
m	0.0761692	0.0248354	0.00805409	0.238276	0.512379	0.0980017	0.0125831	0.010553	0.00445221	0.0146966
i	0.10987	0.00543344	0.0153293	0.0815993	0.618329	0.143068	0.00145782	0.0073686	0.00100542	0.0165398
l	0.00624005	0.00652141	0.00391067	0.00887563	0.843025	0.0373186	0.0868315	0.00121498	0.000308495	0.00575376
á	0.00968749	0.0109163	0.00476424	0.0132213	0.747736	0.0724161	0.102388	0.00866958	0.00252419	0.0276767
r	0.0156966	0.00502219	0.0187925	0.0878882	0.346147	0.24083	0.11684	0.0461931	0.0714053	0.0511855
á	0.0791125	0.0536392	0.0796363	0.155595	0.0441487	0.326744	0.0682734	0.0619631	0.104683	0.0262048
o	0.0201658	0.00439057	0.0300063	0.168752	0.0274965	0.438188	0.0568362	0.203656	0.0386835	0.0118249
k	0.0159287	0.00492815	0.00142108	0.00419014	0.126924	0.10002	0.654579	0.0385185	0.037472	0.0160186
w	8.76311e-05	0.00052647	6.97467e-05	9.85934e-05	0.00246807	0.00424452	0.985968	0.00320809	0.00087476	0.00245461
á	0.000813799	0.0012478	0.00363674	0.00081261	0.00433007	0.0302155	0.863008	0.0355353	0.0355659	0.0248345
á	0.00180699	0.000972839	0.00141825	0.00757263	0.00491089	0.158052	0.306858	0.351601	0.0392516	0.127556
s	0.00801879	0.00134353	0.00105249	0.0134423	0.0055199	0.0612604	0.00905045	0.405192	0.37304	0.12208
á	0.00995103	0.000443925	6.96495e-05	0.000695397	0.00166059	0.00685503	0.00213936	0.0733488	0.570812	0.334024
r	0.00534381	0.00189173	0.000540578	0.00470522	0.000328228	0.00359033	0.00166198	0.0259137	0.929981	0.0260439
e	0.00131924	0.000758437	0.00053751	0.000569196	0.000293484	0.00247858	4.74998e-05	0.0274647	0.950398	0.0161335
</S>	0.001721	0.000244667	0.000106253	0.00237978	0.00123992	0.0055003	0.000862177	0.0800898	0.454653	0.453203
