 	il	fend	le	bois	de	chauffe	</S>
w	0.930617	0.0434897	0.0107729	0.00529626	0.00869948	0.00107397	5.09484e-05
a	0.704517	0.0647418	0.026122	0.0414079	0.129463	0.0332478	0.000500922
l	0.343843	0.478069	0.114362	0.0162316	0.0237375	0.00715581	0.0166019
á	0.169684	0.348246	0.198666	0.0317257	0.0698273	0.0177439	0.164107
a	0.30094	0.225523	0.164734	0.0247049	0.111596	0.0772164	0.0952852
p	0.039557	0.710791	0.201291	0.0290945	0.00386934	0.00269873	0.0126982
a	0.0309079	0.563215	0.257991	0.121002	0.00625002	0.00233028	0.0183036
s	0.0299096	0.331041	0.408124	0.196916	0.018105	0.00431766	0.0115866
á	0.0498044	0.241497	0.455214	0.170461	0.0520481	0.00566837	0.0253072
á	0.0411981	0.30549	0.427736	0.146654	0.0472405	0.0145973	0.0170841
k	0.0170533	0.0324943	0.187466	0.32519	0.220452	0.202267	0.0150766
ó	0.00553009	0.0123907	0.0557131	0.521305	0.0901744	0.292412	0.0224749
n	0.00176223	0.0230461	0.0627097	0.435161	0.116962	0.326306	0.0340526
y	0.0148818	0.0209352	0.201334	0.44654	0.143629	0.0742143	0.0984662
i	0.0107679	0.0184739	0.171479	0.278179	0.161665	0.0820406	0.277394
</S>	0.0155834	0.0160462	0.125602	0.122088	0.193896	0.0711858	0.455598
