 	ce	n'	est	pas	lui	qui	m'	a	battu	c'	est	l'	autre	</S>
é	0.322707	0.349588	0.0679205	0.051125	0.101574	0.0428182	0.0115326	0.0154842	0.0120339	0.00952018	0.00393749	0.00828532	0.000413	0.00305995
d	0.0242652	0.616042	0.0518593	0.0261133	0.0122584	0.0272522	0.0224553	0.0349857	0.0494111	0.0294288	0.0572227	0.0228621	0.0230106	0.00283331
í	0.0208704	0.328884	0.128107	0.10624	0.0271414	0.106567	0.0414931	0.0557978	0.0457082	0.0347413	0.0424277	0.00820721	0.00995685	0.0438585
ω	0.0238496	0.114469	0.25855	0.20469	0.0749176	0.0895471	0.041981	0.0253967	0.0201648	0.0152489	0.0174288	0.0264221	0.0112315	0.0761041
d	0.056216	0.132812	0.170953	0.143591	0.0421154	0.0648413	0.0914818	0.0364812	0.0775581	0.0273902	0.0574783	0.0156689	0.0141212	0.0692914
z	0.00807886	0.0192895	0.0391559	0.0659806	0.0165689	0.0932907	0.0174358	0.0154334	0.083275	0.0355817	0.166507	0.0184725	0.0561229	0.364808
á	0.116566	0.0810474	0.0247185	0.0662651	0.0504931	0.123545	0.0670106	0.171839	0.0872454	0.0958364	0.0293611	0.0127274	0.0357714	0.0375729
w	0.0107821	0.0227054	0.167583	0.142726	0.17811	0.106489	0.0323585	0.0495978	0.0337688	0.0359618	0.018263	0.0148452	0.00505081	0.181759
a	0.00878581	0.00597395	0.0274347	0.13094	0.13512	0.0652337	0.0561334	0.111825	0.152524	0.0961778	0.0531054	0.03746	0.00738194	0.111904
m	0.010123	0.00411927	0.0375993	0.0678967	0.128621	0.124296	0.13568	0.204596	0.146675	0.0566193	0.0107681	0.0125933	0.00545303	0.0549601
o	0.180358	0.0475153	0.0920377	0.0371245	0.154894	0.0900294	0.0181734	0.0613013	0.0802617	0.0937745	0.0233312	0.0263147	0.044322	0.0505628
r	0.0128927	0.0218829	0.077032	0.107633	0.131832	0.208142	0.0232309	0.0819315	0.0814982	0.177579	0.0272902	0.0150655	0.00621079	0.0277788
o	0.0230538	0.0125266	0.0169112	0.117559	0.0735499	0.207197	0.194142	0.112111	0.135369	0.0404649	0.00728622	0.00805865	0.0201925	0.0315789
y	0.00632827	0.00252662	0.0304973	0.0704162	0.0595507	0.0907364	0.135742	0.209002	0.133266	0.134626	0.0302906	0.0289142	0.00629971	0.0618043
ε	0.220301	0.0258871	0.0618225	0.081929	0.103752	0.15256	0.0789168	0.0918857	0.0500678	0.060708	0.0113597	0.0123621	0.0280125	0.020435
ε	0.0213518	0.00149623	0.0140139	0.0916885	0.0904828	0.112505	0.109954	0.169205	0.0985895	0.113291	0.0260702	0.0589695	0.0348244	0.0575588
b	0.00427987	0.0107037	0.0122622	0.019128	0.0112282	0.0390907	0.0207542	0.0480821	0.108985	0.25145	0.258859	0.0318074	0.117587	0.0657831
έ	0.00343078	0.0338847	0.0423362	0.0424448	0.0336202	0.113646	0.012153	0.0358575	0.183124	0.087887	0.178557	0.0409306	0.0696065	0.122522
r	0.000715245	0.0011163	0.00608408	0.0284084	0.0343324	0.0345609	0.0331829	0.0740141	0.146796	0.0899196	0.114723	0.0341451	0.0265409	0.375461
í	0.00496539	0.00180197	0.00481394	0.0623572	0.0619258	0.0330337	0.125389	0.133741	0.135792	0.096084	0.0837246	0.067876	0.0436943	0.144801
n	0.00106169	0.000355845	0.00443758	0.0126876	0.0150444	0.0208091	0.064024	0.139705	0.0650051	0.143893	0.129459	0.246706	0.0655067	0.0913056
g	0.00784059	0.0011054	0.00104928	0.0091565	0.00251265	0.0073849	0.350897	0.0641023	0.0281521	0.0299098	0.0380715	0.0843577	0.224138	0.151322
á	0.000795059	0.000829372	0.00164402	0.0105753	0.00177697	0.0111131	0.443954	0.0524553	0.0264906	0.0195179	0.0224492	0.0573355	0.281985	0.069079
k	0.00190467	0.000647394	0.00293807	0.00532187	0.0110598	0.0091749	0.0112385	0.0729858	0.0320871	0.140802	0.108556	0.315344	0.14159	0.14635
a	0.00108934	0.0100773	0.0138832	0.0364822	0.0275193	0.0390258	0.0133538	0.0359924	0.0501656	0.0964761	0.136421	0.136034	0.18885	0.21463
á	0.000200505	0.000444158	0.00166795	0.00512869	0.00447449	0.00683309	0.00935282	0.0263187	0.0298244	0.043455	0.0749531	0.0414595	0.0609374	0.69495
é	0.00157701	0.000804186	0.00615228	0.00563783	0.00671972	0.0107547	0.0113821	0.0398301	0.0227228	0.0615356	0.110464	0.225647	0.053778	0.442994
d	0.00741785	0.00460994	0.040273	0.0253481	0.00663186	0.0348956	0.0139612	0.0182582	0.0246881	0.0492821	0.130416	0.398014	0.0940758	0.152128
í	0.00310987	0.00226092	0.0221595	0.0103039	0.00209503	0.0124777	0.00344582	0.0036858	0.00219038	0.0116468	0.0994533	0.249446	0.0801525	0.497572
o	0.00532419	0.000615711	0.0102708	0.0150916	0.00672918	0.0148924	0.0159326	0.0130092	0.00977677	0.0464758	0.109916	0.347387	0.0470232	0.357555
s	0.00109179	0.00543474	0.0096574	0.0156841	0.0056037	0.0171518	0.0214257	0.00823391	0.0147885	0.011263	0.0822684	0.445315	0.221888	0.140194
ú	0.00369996	0.00226403	0.00657362	0.0119459	0.00141417	0.00921293	0.0402375	0.00498075	0.00402201	0.00546251	0.0247846	0.232884	0.570723	0.0817945
s	0.00219742	0.00143923	0.00153132	0.00713147	0.00246535	0.0117993	0.0684513	0.0364756	0.0133511	0.0185813	0.0341185	0.335566	0.125208	0.341684
u	0.00595892	0.000933872	0.00795842	0.0281244	0.00979668	0.0148888	0.00620517	0.00711892	0.00508232	0.0334068	0.0957357	0.522032	0.115165	0.147593
w	0.00253771	0.000170297	0.00445416	0.00838019	0.00341278	0.00556963	0.00958249	0.0105409	0.00785362	0.0186307	0.0685399	0.360579	0.0468892	0.45286
ú	0.0133813	0.00444544	0.0166856	0.0435697	0.0755574	0.0338703	0.0116506	0.0492366	0.0407592	0.0567161	0.064905	0.319073	0.0996385	0.170511
u	0.0101904	0.00215329	0.00600282	0.0220558	0.0174973	0.0179435	0.00970885	0.00942334	0.00923782	0.0211983	0.0370732	0.522363	0.0472436	0.267909
</S>	0.0056839	0.00683679	0.0280487	0.0266593	0.0212399	0.0252666	0.00464025	0.011656	0.00835303	0.0336888	0.0689187	0.425342	0.0284089	0.305257
