 	il	m'	a	traduit	en	justice	</S>
w	0.806074	0.160715	0.0278291	0.00443409	0.000405314	0.00045117	9.21691e-05
a	0.262506	0.521719	0.171087	0.0179743	0.021498	0.00502341	0.000192636
á	0.207877	0.286691	0.454376	0.0229713	0.0174784	0.00480708	0.00579839
b	0.0563447	0.10969	0.31792	0.284628	0.109441	0.0648282	0.0571478
é	0.011614	0.0203005	0.113541	0.75883	0.0368878	0.00663021	0.0521971
i	0.0030747	0.0295988	0.156606	0.598808	0.130645	0.0284498	0.0528174
n	0.117207	0.399418	0.194693	0.112163	0.112195	0.0182304	0.0460935
g	0.142773	0.576994	0.201202	0.013722	0.0231324	0.00608561	0.0360906
á	0.0488133	0.837924	0.0838436	0.00584398	0.00552272	0.00385461	0.0141984
ó	0.0483474	0.196028	0.322126	0.154365	0.164281	0.0698623	0.0449904
o	0.00379683	0.00416409	0.0084499	0.275397	0.351923	0.327184	0.0290858
l	0.000222617	0.000176566	0.000260798	0.00301788	0.0285686	0.86288	0.104874
έ	1.46335e-05	4.60789e-06	0.000117947	0.00100135	0.00890704	0.972248	0.0177067
b	0.000176689	0.00045434	0.0109421	0.0168788	0.0338982	0.887346	0.0503038
h	0.017607	0.0331394	0.117331	0.193962	0.310273	0.184477	0.143211
έ	0.0430811	0.0946122	0.0920617	0.0886611	0.0772488	0.301004	0.303331
</S>	0.0344325	0.0629541	0.0207789	0.00518049	0.0334952	0.210092	0.633066
