 	ces	comprimés	guérissent	les	maux	de	tête	</S>
b	0.326031	0.518919	0.0372883	0.0278994	0.0456969	0.0362186	0.00612293	0.0018242
v	0.0419894	0.722824	0.0568506	0.0151606	0.140401	0.0213033	0.000526634	0.000944089
e	0.0489211	0.439323	0.128501	0.051612	0.303109	0.0127361	0.00522249	0.0105746
r	0.0885106	0.828776	0.0698548	0.00233255	0.00269914	0.0017253	0.000873466	0.00522776
é	0.534469	0.102079	0.0811868	0.0483279	0.0082991	0.00643627	0.000954221	0.218247
b	0.55358	0.167923	0.133783	0.0309611	0.0149345	0.0318449	0.00150745	0.065466
v	0.25745	0.0866255	0.282485	0.0984498	0.060121	0.0889631	0.00481866	0.121088
ú	0.200382	0.044304	0.315037	0.203655	0.158257	0.0366289	0.0023964	0.03934
b	0.305609	0.181856	0.421146	0.0579658	0.00921325	0.0186614	0.00105144	0.00449758
ó	0.506348	0.054069	0.189174	0.127678	0.0510439	0.0522391	0.00546212	0.0139858
o	0.215868	0.0400802	0.0839221	0.247305	0.080299	0.201102	0.0160395	0.115385
y	0.101736	0.0312643	0.282706	0.290566	0.0346488	0.0735545	0.142012	0.0435121
w	0.251183	0.00813214	0.108838	0.249561	0.0551028	0.0835893	0.0252863	0.218308
ω	0.109159	0.00137211	0.0682905	0.312622	0.0339119	0.0590157	0.0182292	0.397399
ω	0.0042409	0.00451659	0.0400473	0.422191	0.193448	0.166314	0.0465179	0.122725
s	0.00433958	0.00381318	0.0105172	0.223299	0.273016	0.392822	0.022696	0.0694973
ώ	0.0507897	0.0116018	0.0568135	0.163212	0.0813361	0.253237	0.0646021	0.318408
i	0.0301523	0.00570497	0.00391913	0.142668	0.201765	0.279066	0.22865	0.108074
b	0.00690872	0.0102102	0.0226246	0.0940528	0.0963952	0.2143	0.458446	0.0970624
o	0.00619694	0.0679789	0.0231799	0.0388871	0.137557	0.0593182	0.63888	0.0280012
ó	0.000422872	0.00277758	0.0111566	0.0228611	0.0643791	0.0298343	0.801066	0.0675021
b	0.0415414	0.00586372	0.00716683	0.0515225	0.0784322	0.288116	0.0691977	0.458159
v	0.0313925	0.149189	0.0305631	0.0789682	0.272724	0.143545	0.223712	0.0699066
ú	0.0199805	0.0153524	0.0142176	0.0774532	0.476481	0.105292	0.180862	0.110361
a	0.0143748	0.00343305	0.00142001	0.0869339	0.294517	0.164301	0.148747	0.286273
</S>	0.0406517	0.00354576	0.00545645	0.105983	0.103743	0.433586	0.0166669	0.290368
