 	la	tempête	s'	est	apaisée	</S>
e	0.962498	0.0317352	0.00468475	0.00103226	2.20302e-05	2.76843e-05
n	0.073727	0.923177	0.00181715	0.000936146	5.62873e-05	0.000286436
g	0.0732482	0.914463	0.00558426	0.000995043	0.000498319	0.00521161
u	0.038663	0.959639	0.000664134	0.000337032	0.000286552	0.000410054
s	0.0292931	0.947224	0.00684914	0.00532471	0.00135136	0.0099579
u	0.569892	0.405716	0.0065885	0.00118271	0.000200642	0.0164198
é	0.103985	0.0528817	0.632885	0.188595	0.00567263	0.0159798
m	0.0473332	0.0144302	0.311767	0.501021	0.0760619	0.0493875
i	0.084238	0.00194501	0.20091	0.342218	0.0576952	0.312994
k	0.00224548	0.0120384	0.006132	0.133418	0.742677	0.103489
w	0.000300847	0.00181446	0.000319486	0.0050004	0.978515	0.0140495
ω	0.00129893	0.0226086	0.0034898	0.0389447	0.875806	0.0578522
ω	0.00612474	0.00260247	0.0417052	0.219468	0.177744	0.552355
</S>	0.0471126	0.00260555	0.0599541	0.329992	0.0565442	0.503791
