 	cette	manière	de	bercer	les	enfants	est	révolue	</S>
e	0.519224	0.398192	0.0565319	0.00917133	0.0117366	0.00229211	0.00110485	0.00167126	7.6469e-05
k	0.15718	0.39827	0.132347	0.271321	0.0165977	0.00575193	0.0157953	0.00146079	0.00127671
ώ	0.0230727	0.228577	0.0717453	0.613782	0.0197261	0.0200179	0.00716777	0.0113237	0.00458751
n	0.0581888	0.337164	0.0872468	0.420949	0.0368131	0.0492203	0.002206	0.00399915	0.00421222
g	0.361466	0.251462	0.0422824	0.277092	0.0366963	0.0130907	0.00936015	0.000177449	0.00837403
í	0.389057	0.115774	0.0792527	0.289581	0.0729347	0.0267334	0.00319893	5.79542e-05	0.0234096
s	0.127785	0.0157742	0.0732827	0.0923715	0.0634203	0.00317958	0.185777	0.0195226	0.418888
í	0.379492	0.269712	0.11801	0.0825137	0.0181854	0.00109173	0.0557419	0.00292623	0.0723276
l	0.106536	0.242797	0.28691	0.161055	0.0616684	0.038447	0.034628	0.00589027	0.0620679
í	0.0862488	0.102733	0.277537	0.158539	0.0237659	0.00369553	0.0422088	0.00265079	0.302621
y	0.181976	0.19315	0.312243	0.180369	0.0422174	0.0221961	0.012402	0.00210527	0.0533413
á	0.128762	0.0694838	0.238234	0.323296	0.0598511	0.00296377	0.0570925	0.0462885	0.074028
b	0.0477947	0.0236111	0.12944	0.154816	0.217001	0.268749	0.0346217	0.0739226	0.0500434
á	0.00450274	0.00578649	0.0258514	0.0252628	0.0504511	0.878941	0.00757368	0.00132119	0.000309198
n	0.0068608	0.00882751	0.0318261	0.00457001	0.105555	0.806704	0.0279811	0.00380809	0.00386787
a	0.000644795	0.00113211	0.00983752	0.00278998	0.165174	0.801594	0.0168941	0.0001735	0.00175973
y	0.0131601	0.0225205	0.2513	0.0772348	0.337761	0.0900493	0.188187	0.00457935	0.0152084
í	0.185716	0.028888	0.0911353	0.0650164	0.124468	0.00632669	0.170198	0.235335	0.0929161
i	0.0288794	0.00768209	0.0541454	0.0322226	0.265595	0.112136	0.203133	0.182078	0.114128
y	0.0151	0.00938314	0.0381534	0.142235	0.029651	0.0574452	0.189775	0.219333	0.298924
á	0.0185851	0.0058634	0.0374935	0.0701631	0.0309777	0.00178133	0.293273	0.347241	0.194621
k	0.00192181	0.000927371	0.00661429	0.0109907	0.0421929	0.00630669	0.085402	0.500409	0.345235
a	0.0013077	0.00420013	0.0215428	0.0516092	0.0879131	0.189419	0.0527948	0.181572	0.409642
l	0.000182028	0.000975258	0.00630402	0.00719289	0.036793	0.0232866	0.107046	0.3638	0.45442
a	0.00414379	0.00189473	0.0160705	0.0466029	0.0634573	0.00449198	0.0912727	0.251188	0.520878
</S>	0.00540456	0.00502061	0.0324385	0.0176084	0.0929049	0.00745966	0.196162	0.0680023	0.574999
