 	pourquoi	t	e	lamentes-tu	</S>
n	0.939476	0.0535936	0.00508732	0.00165655	0.00018632
ω	0.858371	0.127809	0.000150485	0.0116057	0.00206384
l	0.47412	0.511115	0.00171734	0.00869358	0.00435461
ó	0.0190526	0.254974	0.0623597	0.0539817	0.609632
o	0.206209	0.318612	0.0903812	0.136097	0.248701
k	0.00183308	0.112036	0.839715	0.0326839	0.0137315
a	0.00232606	0.209608	0.755057	0.0119145	0.0210953
y	0.000727725	0.12092	0.737863	0.0320468	0.108442
á	0.0096557	0.0729985	0.596836	0.14138	0.17913
n	0.0374801	0.0104494	0.111691	0.584469	0.255911
d	0.0365166	0.00566257	0.00283485	0.836403	0.118583
e	0.0055526	0.00195192	0.00287246	0.634569	0.355054
</S>	0.00149309	0.0120907	0.00606811	0.519883	0.460466
