 	je	ferme	la	porte	de	la	maison	</S>
n	0.92072	0.0272562	0.0240797	0.0110528	0.00969158	0.0065873	0.000385425	0.000227086
g	0.99891	0.000211029	0.000238665	8.02867e-05	8.26141e-05	0.000332045	0.000128957	1.59453e-05
á	0.986939	0.00788002	0.00125298	0.00154113	0.000517456	0.000221009	0.00161458	3.3842e-05
l	0.452313	0.0999635	0.177099	0.0913618	0.0329745	0.0343526	0.011545	0.10039
í	0.701581	0.0801293	0.0434768	0.0305419	0.0524508	0.0177382	0.00404634	0.0700356
i	0.0201681	0.185184	0.32184	0.220501	0.0713234	0.0400415	0.0325804	0.108361
d	0.00574431	0.794243	0.150627	0.0369619	0.00601096	0.00106113	0.000368029	0.00498388
i	0.0260259	0.861509	0.103484	0.00672831	0.0014494	0.000123105	1.67948e-05	0.000663368
b	0.372094	0.449753	0.144652	0.0228621	0.00501233	0.000577733	0.00019966	0.00484911
h	0.00167132	0.253401	0.447067	0.147828	0.116395	0.0152591	0.000995165	0.0173836
á	0.00743603	0.0699969	0.282523	0.230711	0.180677	0.0914584	0.0135284	0.123669
e	0.00213328	0.0177034	0.449141	0.325703	0.117218	0.0516547	0.0235252	0.0129211
k	0.000627605	0.0237165	0.0859411	0.780932	0.0770479	0.00863715	0.016287	0.00681053
u	5.04436e-05	0.0408626	0.0396022	0.815622	0.085617	0.00883619	0.00428707	0.0051227
u	0.00102888	0.0362937	0.0578988	0.761767	0.111423	0.0169151	0.00418201	0.0104913
y	9.47254e-05	0.0041694	0.0605512	0.188664	0.443289	0.152248	0.0152251	0.135758
á	0.000509613	0.0211266	0.0981169	0.188316	0.231725	0.197652	0.083823	0.178731
n	0.00166081	0.0010504	0.00868622	0.0143746	0.0507971	0.169125	0.737037	0.0172691
d	0.0033692	0.000262856	0.00108026	0.00243476	0.00733505	0.0163056	0.964122	0.0050899
é	0.000710113	0.000134548	0.000210143	0.000846799	0.00253998	0.0128782	0.966386	0.0162941
e	0.000161374	0.00138759	0.00356526	0.0215778	0.0435628	0.0772348	0.677751	0.174759
</S>	0.000100645	0.00178424	0.00603536	0.00931093	0.0961285	0.159855	0.0533839	0.673401
