 	il	allonge	ses	pieds	sous	la	table	</S>
w	0.938588	0.00635478	0.0447991	0.0029398	0.00155747	0.00527705	0.000404368	7.94646e-05
a	0.95803	0.000938805	0.0332162	2.07348e-05	0.000335654	0.00734169	7.55193e-05	4.18776e-05
l	0.245841	0.601059	0.103769	0.00223825	0.023076	0.0098732	0.00245392	0.0116895
á	0.290057	0.27202	0.105327	0.000267257	0.0359853	0.067612	0.00489475	0.223837
a	0.536085	0.093805	0.135747	0.000303016	0.0118923	0.0842601	0.00866538	0.129242
s	0.00374051	0.970826	0.0086419	0.00924631	0.00417564	0.000166862	0.00065859	0.00254428
é	0.000869997	0.995371	0.0024644	0.000238147	0.000662628	2.17204e-05	2.65577e-05	0.000345138
m	0.00659422	0.906448	0.0472608	0.00657793	0.0266694	0.00121065	0.000649621	0.00458956
b	0.074624	0.429176	0.415574	0.0252723	0.0222282	0.0140908	0.000892862	0.0181412
á	0.0320216	0.342864	0.126328	0.0337653	0.0562957	0.074046	0.00363078	0.331049
a	0.053396	0.027849	0.454904	0.331201	0.0669765	0.0457764	0.0128142	0.00708383
k	0.00218726	0.031376	0.162946	0.468642	0.308271	0.0117221	0.00889843	0.00595757
o	5.08512e-05	0.00108709	0.0274697	0.856172	0.108514	0.00226161	0.00146663	0.00297779
o	9.32577e-05	0.0132592	0.0361337	0.794287	0.140309	0.0029825	0.00223466	0.0107006
m	0.000745603	0.00303743	0.0755399	0.110865	0.617671	0.0983489	0.00468964	0.0891027
ó	0.0121847	0.00335075	0.00976889	0.000952498	0.10515	0.478617	0.0591145	0.330861
t	0.00955601	0.00814972	0.0304137	0.00959523	0.4173	0.179148	0.293533	0.0523051
s	0.0021021	0.00400293	0.0133175	0.102551	0.390144	0.059398	0.396369	0.0321165
é	0.00022418	0.00562711	0.00611186	0.100025	0.549161	0.101299	0.224551	0.0130008
y	0.00012537	0.00401509	0.00195091	0.0442766	0.628983	0.0692145	0.12448	0.126954
á	0.000398488	0.0105197	0.00959445	0.0386404	0.4176	0.221273	0.212665	0.0893102
m	0.00240055	0.00265276	0.0130153	0.00315498	0.102834	0.487948	0.190666	0.197328
é	0.0019965	0.00349883	0.00380523	0.000239521	0.0195118	0.324711	0.344246	0.301991
s	0.0006091	0.000779467	0.00845055	0.00177785	0.0254066	0.30778	0.618139	0.0370574
á	0.000128854	0.00216174	0.000170404	5.10765e-05	0.00540046	0.0133146	0.965053	0.0137203
</S>	0.0002079	0.000148664	0.000582941	0.000232474	0.00209232	0.0460241	0.863243	0.0874684
