 	va	chercher	l'	homme	qui	est	adossé	à	l'	arbre	</S>
d	0.619848	0.109674	0.161006	0.0789925	0.0121714	0.00218033	0.00228427	0.0056869	0.0075237	0.000609822	2.27019e-05
z	0.642751	0.284824	0.00720877	0.000846986	0.00362286	0.00456892	0.0121045	0.00460719	0.00558707	0.0051934	0.0286851
w	0.62921	0.345268	0.00890516	0.0048106	0.00232863	0.00424218	0.0024403	0.00145962	0.000128086	0.000181928	0.00102462
a	0.647382	0.208231	0.0580112	0.0163352	0.0185296	0.00717436	0.00241415	0.00515537	0.00159252	0.00178328	0.0333918
á	0.0562453	0.130065	0.0227514	0.0309635	0.0328425	0.0254509	0.0147493	0.0206408	0.0156415	0.00268124	0.647968
o	0.131838	0.475073	0.181553	0.0559026	0.0873402	0.0309809	0.00740709	0.00701273	0.00618363	0.00107267	0.015636
y	0.0387026	0.704502	0.104104	0.0443372	0.0154948	0.0383701	0.0327069	0.00695061	0.00189623	0.00352752	0.00940742
é	0.0179345	0.784243	0.0358619	0.0129458	0.0176265	0.0410004	0.0489721	0.00730788	0.00159126	0.00126687	0.0312502
n	0.0182509	0.299068	0.118412	0.0303012	0.0538941	0.118948	0.101588	0.0399683	0.0170542	0.00900362	0.193511
g	0.049843	0.471471	0.108353	0.0680547	0.0874444	0.0827418	0.0527106	0.0253173	0.0129889	0.0035093	0.0375658
á	0.0519443	0.368429	0.225706	0.048569	0.0519682	0.0337747	0.0685337	0.0320223	0.0129002	0.0160428	0.0901092
m	0.0138489	0.0909519	0.116846	0.143683	0.383633	0.151758	0.0535427	0.0191074	0.0152161	0.00312389	0.00828894
o	0.0127418	0.0197932	0.129136	0.4488	0.274142	0.0462561	0.00417439	0.0115305	0.0135846	0.00346964	0.0363718
r	0.0190897	0.0337663	0.225284	0.098483	0.126853	0.24655	0.125815	0.0715147	0.0221572	0.00612691	0.0243604
o	0.0186231	0.0755849	0.196948	0.0336443	0.145123	0.106001	0.150204	0.153576	0.05299	0.0265008	0.0408049
y	0.00253629	0.0399797	0.122367	0.0132162	0.299009	0.148894	0.126823	0.121676	0.0642406	0.0123696	0.0488891
é	0.0418344	0.108832	0.157063	0.0684924	0.186107	0.140692	0.111662	0.0896896	0.0490457	0.00826676	0.038315
é	0.00335355	0.0195182	0.0425807	0.0200149	0.150847	0.105916	0.241829	0.211699	0.125588	0.0405483	0.0381065
d	0.00389578	0.0312975	0.0138539	0.00628575	0.0586091	0.201533	0.200824	0.275205	0.144153	0.0149386	0.0494048
í	0.00196556	0.0137265	0.00275321	0.00281088	0.0236911	0.162187	0.084378	0.220625	0.120814	0.0218957	0.345153
y	0.000609817	0.0036342	0.00596063	0.00481177	0.0377438	0.130053	0.126376	0.194755	0.176176	0.0575299	0.262348
ε	0.00210665	0.0177772	0.00402567	0.000873562	0.0151294	0.0761558	0.267474	0.244048	0.123926	0.0647935	0.183689
ε	8.77724e-05	0.000943788	0.00143735	0.000438493	0.00427562	0.015925	0.133146	0.191231	0.106718	0.385782	0.160014
m	0.000173901	0.00162757	0.00153499	0.00210943	0.00300034	0.0169226	0.048658	0.165907	0.141304	0.430873	0.18789
i	0.001765	0.00662014	0.0195703	0.0113774	0.0132807	0.0104722	0.00524653	0.0751457	0.164322	0.499668	0.192532
b	0.00045861	0.00174308	0.0033484	0.0029626	0.00231149	0.0100462	0.0156731	0.0824324	0.130271	0.52086	0.229893
v	0.000703552	0.00209814	0.0017818	0.00406333	0.000856502	0.00277174	0.00710739	0.0302836	0.0358144	0.83171	0.0828098
ú	0.000131272	0.000196515	0.000362679	0.00164188	0.00028977	0.00137782	0.00525364	0.0365916	0.0459826	0.866188	0.0419849
a	0.000796719	0.00175736	0.00130906	0.000703641	0.000716726	0.00612765	0.0828269	0.178466	0.102668	0.392659	0.231969
</S>	0.000173292	0.00119099	0.00421778	0.00147064	0.00311126	0.00502128	0.0191324	0.0796852	0.214534	0.308538	0.362925
