 	la	mère	a	donné	un	coup	de	bâton	à	son	enfant	</S>
n	0.963235	0.0184679	0.00445539	0.0026182	0.00207556	0.00185925	0.00127529	0.00201056	0.00100082	0.00287748	6.75065e-05	5.73423e-05
g	0.667901	0.329738	0.00152628	0.000145196	0.000102132	2.35728e-05	2.57789e-05	1.79466e-06	1.67507e-05	0.000513041	1.02386e-06	5.03874e-06
ó	0.0863722	0.908102	0.00299732	0.000619959	0.000443211	0.000225488	0.000144384	0.000103342	0.000287458	0.000210554	0.00039214	0.000101447
o	0.057036	0.940787	0.000493894	0.000490503	0.000273844	4.75537e-05	2.86187e-05	4.20215e-05	4.97301e-05	0.000506855	0.000184275	5.98039e-05
á	0.15349	0.0113898	0.602331	0.158723	0.0358952	0.0124599	0.00678615	0.000974076	0.00172358	0.00930301	0.00169018	0.00523491
s	0.00342234	0.00242429	0.0558448	0.742765	0.090131	0.0652135	0.00703625	0.00999536	0.00574504	0.000968266	0.000362141	0.0160919
w	0.0379915	0.0063352	0.0288534	0.403853	0.156726	0.222267	0.0160228	0.00755443	0.0179406	0.00215678	0.0018567	0.0984418
a	0.549168	0.00171641	0.0202987	0.202035	0.100887	0.0645361	0.0172679	0.00151946	0.0113925	0.0208904	0.00365636	0.00663233
m	0.0377602	2.84652e-05	0.327502	0.287945	0.168705	0.108732	0.0327394	0.00234247	0.00541025	0.0121307	0.000995261	0.0157092
b	0.03002	0.000408418	0.0628865	0.0345558	0.214722	0.096364	0.0670892	0.0340595	0.0190868	0.175935	0.256039	0.00883339
i	0.0223189	8.02415e-05	0.0371767	0.0580641	0.217726	0.113431	0.12551	0.237777	0.0562664	0.0591472	0.0440653	0.0284378
m	0.00997174	7.13743e-05	0.131312	0.104006	0.215226	0.256157	0.130526	0.0745072	0.0191989	0.0258107	0.0140275	0.0191852
w	0.0226861	2.00571e-05	0.00583782	0.00521644	0.0460632	0.0240329	0.0332106	0.116344	0.0191441	0.0827919	0.619526	0.0251272
á	0.000195729	9.61954e-07	0.000811703	0.000135321	0.00541249	0.00310723	0.00430615	0.0326856	0.00373911	0.00556379	0.942371	0.00167103
n	0.00650894	2.03855e-05	0.0153374	0.00568275	0.0196341	0.0310607	0.16286	0.0949714	0.0780537	0.258314	0.292108	0.0354485
a	0.00931518	0.000118888	0.0291698	0.0041847	0.0201939	0.0349403	0.167466	0.0119432	0.0430722	0.443095	0.159141	0.0773601
i	0.0012049	9.96579e-06	0.0139893	0.0213308	0.0417173	0.0739061	0.295668	0.0494596	0.18861	0.146243	0.0039531	0.163908
b	0.000345854	3.54188e-05	0.00243222	0.0119519	0.0244133	0.0225854	0.0640281	0.156313	0.446217	0.040272	0.0365497	0.194856
v	0.00028735	4.13973e-06	0.00197664	0.00596676	0.0116944	0.0106315	0.0209346	0.637592	0.233178	0.00856596	0.0540087	0.0151598
ú	0.000941016	7.57289e-07	0.000891429	0.0115985	0.0117047	0.0109034	0.0232711	0.465175	0.306308	0.0265529	0.113701	0.0289525
a	0.00208095	6.06631e-05	0.00314707	0.00462801	0.0236284	0.0297647	0.129595	0.110028	0.345057	0.213819	0.0293066	0.108885
</S>	0.000448276	1.42686e-06	0.00836485	0.0105996	0.0113464	0.0121933	0.0842164	0.0210763	0.208397	0.182552	0.00344053	0.457364
