 	il	se	vante	à	cause	de	son	niveau	d'	études	</S>
w	0.826336	0.118746	0.00588106	0.0202524	0.00461324	0.00643428	0.00494496	0.00740307	0.00457106	0.000334082	0.000484476
a	0.752666	0.111722	0.0057862	0.05028	0.00536118	0.0164377	0.0241465	0.0263281	0.0065055	0.000448415	0.000318818
a	0.28295	0.410418	0.164905	0.0387631	0.00409825	0.00772116	0.0105058	0.00718713	0.00778385	0.00612635	0.0595404
d	0.110081	0.465428	0.23455	0.0714372	0.0231942	0.0157636	0.0073696	0.00335463	0.00402148	0.00140245	0.0633983
í	0.0303334	0.515277	0.0787439	0.0436131	0.00643364	0.00884621	0.00652866	0.00534803	0.00869488	0.00157997	0.294601
l	0.00975076	0.0348276	0.244183	0.11393	0.0537954	0.0525415	0.0431715	0.0444096	0.0742233	0.0148811	0.314287
e	0.0390861	0.1134	0.342772	0.146339	0.017004	0.0260932	0.0492918	0.0238125	0.026765	0.0079743	0.207462
d	0.0113528	0.103044	0.631852	0.0635406	0.0265861	0.0117613	0.0131433	0.0115238	0.0201664	0.0493614	0.057669
z	0.000899828	0.0159514	0.627909	0.0564547	0.0233101	0.023351	0.0298347	0.0558674	0.0631724	0.028187	0.0750624
ω	0.00306866	0.0154031	0.742241	0.0568653	0.046026	0.01958	0.0365741	0.0327314	0.0149473	0.00744565	0.0251181
í	0.00103177	0.00391397	0.052023	0.0864247	0.140637	0.13204	0.0671646	0.17526	0.120539	0.202786	0.0181804
m	0.0017035	0.00479008	0.0171859	0.109719	0.114507	0.218057	0.156178	0.125991	0.12054	0.089409	0.04192
o	0.00642612	0.00437768	0.0224268	0.0472799	0.17196	0.0945262	0.133326	0.0661454	0.0445535	0.00828203	0.400696
l	0.00272375	0.00718957	0.0232457	0.0468641	0.0768232	0.125347	0.145424	0.173415	0.111627	0.158467	0.128873
e	0.0021493	0.0134627	0.0263764	0.0249736	0.045717	0.104804	0.0989253	0.136531	0.124873	0.157456	0.264733
k	0.000359014	0.00190882	0.00456462	0.00531771	0.00607414	0.0170489	0.0272599	0.0584147	0.0770762	0.661365	0.140611
ώ	0.00171264	0.00569026	0.0302821	0.0110704	0.114528	0.0560745	0.0601689	0.0974651	0.0962263	0.386717	0.140066
ω	0.000117673	0.000368603	0.00502386	0.00389675	0.0573303	0.0267086	0.0210718	0.0426914	0.0636634	0.623552	0.155576
l	0.00529387	0.00595293	0.00730596	0.0294824	0.0257203	0.0829439	0.156907	0.128934	0.1606	0.0384712	0.358388
i	0.00742909	0.0337707	0.0186274	0.0687202	0.0321669	0.115963	0.121542	0.119488	0.159039	0.0492645	0.27399
</S>	0.00426762	0.0136141	0.00861228	0.0266515	0.00596478	0.0385038	0.130551	0.127122	0.0959478	0.0646034	0.484162
