 	il	a	enroulé	le	pagne	autour	de	son	cou	</S>
w	0.935699	0.0469088	0.00239225	0.0096051	0.00100982	0.00157748	0.00119441	0.001331	0.000192991	8.94894e-05
a	0.967256	0.0169715	0.000853754	0.0105573	0.000246119	0.000891293	0.000998958	0.00164891	0.000558882	1.78412e-05
á	0.143251	0.776386	0.0390426	0.0226655	0.00184485	0.0042297	0.00216206	0.0036662	0.00191174	0.00483987
d	0.0473742	0.689844	0.166221	0.031633	0.00687973	0.00745505	0.0125156	0.0170084	0.00364973	0.0174189
í	0.00264342	0.394529	0.56036	0.0170885	0.00227618	0.000736698	0.000844939	0.000645699	0.000276898	0.0205992
n	0.00485128	0.164579	0.590492	0.110712	0.020341	0.0115267	0.0137926	0.0107109	0.00350181	0.0694923
g	0.0289149	0.310502	0.370064	0.22475	0.00712482	0.0402902	0.0038385	0.00482491	0.000796963	0.00889323
i	0.00565286	0.0654344	0.755681	0.127784	0.0110496	0.0263012	0.00141308	0.00208416	0.000421077	0.00417849
r	0.0208767	0.0721343	0.119037	0.627807	0.0452169	0.054024	0.0182321	0.0153439	0.00546346	0.0218644
i	0.0035633	0.0390809	0.645551	0.178979	0.0663199	0.0178905	0.0053489	0.00402977	0.00130942	0.0379278
i	0.00353064	0.0165879	0.130003	0.602739	0.177993	0.0267971	0.012116	0.00790556	0.00882356	0.0135045
p	0.000396981	0.00314348	0.133592	0.291587	0.514128	0.020097	0.0116646	0.00570432	0.0143378	0.00534933
f	2.6128e-05	0.00016068	0.00568532	0.0134741	0.966567	0.0038726	0.00285359	0.000721512	0.004269	0.00237058
ú	3.0017e-05	0.000257586	0.0207598	0.0274107	0.923147	0.0153831	0.00518406	0.00113104	0.00247101	0.00422545
t	0.000498365	0.00055854	0.0194584	0.0657603	0.793029	0.0795809	0.014069	0.00418462	0.0101897	0.0126717
a	0.000334049	0.00040918	0.00193042	0.0122631	0.930611	0.022264	0.0163403	0.00241352	0.0032366	0.0101977
m	0.000387831	0.00245987	0.00916554	0.133988	0.13663	0.395481	0.182994	0.0376708	0.0175227	0.0837001
o	0.000507074	0.000210104	0.000199161	0.0252554	0.103786	0.387852	0.217759	0.130107	0.021882	0.112442
k	0.00119407	0.0012692	0.000996102	0.0197313	0.0328522	0.176022	0.355745	0.241062	0.150257	0.0208709
í	0.00024087	0.000409919	0.00291891	0.00784673	0.0565615	0.0284659	0.128022	0.0782613	0.682018	0.0152548
n	0.000330379	0.000295058	0.0024867	0.00380535	0.0548051	0.0203165	0.0859958	0.0273777	0.625275	0.179313
g	0.00027127	0.00127002	0.088707	0.0203637	0.0382091	0.0854903	0.284119	0.151566	0.20237	0.127633
í	0.00665265	0.00100614	0.00566053	0.0484107	0.0546928	0.516123	0.145433	0.0802382	0.0850039	0.0567793
</S>	0.00110226	0.00176684	0.0055744	0.0224779	0.00438508	0.0457016	0.143483	0.32219	0.261854	0.191464
