 	cette	manière	de	se	battre	est	celle	des	braves	</S>
e	0.251392	0.615363	0.075816	0.0330748	0.0147383	0.00318749	0.00347746	0.00108147	0.00103409	0.000835621
m	0.00394295	0.0146537	0.0119458	0.177745	0.398281	0.191042	0.0982399	0.00902979	0.0938084	0.00131203
a	0.0202134	0.0112047	0.0155999	0.187875	0.333593	0.328191	0.0916547	0.0074894	0.0029327	0.00124547
n	0.00693256	0.0139866	0.0150652	0.198639	0.343448	0.33402	0.0583952	0.00658727	0.0140816	0.00884527
í	0.144191	0.118118	0.0283193	0.0786946	0.141066	0.0855465	0.163513	0.0679179	0.0460373	0.126596
l	0.196067	0.0768221	0.0931258	0.0699951	0.161454	0.089363	0.136907	0.0817559	0.0245565	0.0699546
í	0.185739	0.0876628	0.0282112	0.0301878	0.0553924	0.0907221	0.104785	0.066502	0.00786025	0.342938
y	0.342436	0.29014	0.137165	0.0380342	0.0317636	0.0607177	0.0424816	0.0210659	0.00270657	0.0334902
á	0.342475	0.204086	0.0941343	0.0491284	0.0148625	0.0771552	0.116666	0.03479	0.00437822	0.0623241
w	0.21437	0.188273	0.100543	0.077469	0.0246749	0.120286	0.131265	0.0374915	0.031879	0.073748
a	0.0151528	0.0152633	0.0765615	0.378969	0.0789692	0.22224	0.0984855	0.055857	0.00300623	0.0554955
y	0.00268164	0.0109885	0.11083	0.156404	0.111717	0.355307	0.17617	0.0398956	0.00166768	0.0343382
é	0.142817	0.0431372	0.0846178	0.054996	0.039713	0.162413	0.283075	0.156287	0.011399	0.0215453
y	0.034625	0.0167603	0.0942013	0.0837006	0.0685942	0.106758	0.343322	0.193985	0.0204871	0.0375671
á	0.0486024	0.019578	0.0365329	0.0249857	0.0104323	0.060914	0.602577	0.156791	0.0144749	0.0251119
a	0.102572	0.0308871	0.0837467	0.0801267	0.0265449	0.0518151	0.391544	0.197119	0.0202129	0.0154309
n	0.00457767	0.00558308	0.0327703	0.0469135	0.077304	0.135691	0.284739	0.241453	0.104632	0.0663356
d	0.0188361	0.0193904	0.0435196	0.0275738	0.0282498	0.0146337	0.212426	0.30924	0.229356	0.0967739
z	0.00133242	0.00225781	0.0104526	0.0141031	0.0115023	0.0130861	0.187765	0.255241	0.438147	0.0661127
a	0.00917039	0.00457068	0.00535417	0.0073109	0.00594091	0.00650137	0.107387	0.326738	0.490433	0.0365931
n	0.00259879	0.00321205	0.0100504	0.0182196	0.0171215	0.01265	0.0702599	0.14862	0.4249	0.292367
g	0.0148204	0.00591452	0.00694156	0.0145065	0.0178638	0.00917118	0.15405	0.410313	0.240673	0.125746
á	0.0121565	0.00887386	0.0156473	0.0133634	0.0125129	0.00501562	0.0359875	0.141869	0.534332	0.220242
</S>	0.00648297	0.00472061	0.0240065	0.0234642	0.0221319	0.0233766	0.0761227	0.250001	0.125511	0.444182
