 	la	femme	a	emballé	le	manioc	dans	des	feuilles	</S>
o	0.898831	0.0944419	0.000923305	0.00280579	0.00173194	0.000259088	0.000170153	0.000517606	0.00028642	3.28037e-05
y	0.0711792	0.855714	0.0243087	0.0410203	0.00425409	0.0005189	0.000546291	0.000706417	0.00104002	0.000712017
ú	0.630651	0.285412	0.00940916	0.0678504	0.00183976	0.00056556	0.00123214	0.000224106	0.0010291	0.00178696
r	0.716443	0.0500992	0.00490787	0.135151	0.0199815	0.00126204	0.0157632	0.00589315	0.00229036	0.0482092
u	0.570408	0.0489228	0.0543431	0.100439	0.136632	0.0144044	0.013738	0.0155274	0.0116886	0.0338959
á	0.144977	0.0562251	0.616756	0.0480704	0.0196152	0.020058	0.0267393	0.00834745	0.0106927	0.0485191
f	0.013708	0.0022457	0.446381	0.485133	0.0182353	0.00869872	0.0101344	0.0039612	0.00227317	0.00922956
ú	0.00525561	0.000181802	0.386627	0.516486	0.0476525	0.0221566	0.00860054	0.00320853	0.00165763	0.00817346
r	0.0904259	0.000158177	0.0972793	0.72778	0.0533351	0.00694889	0.00994223	0.003074	0.0017364	0.00931982
u	0.0502457	0.000105737	0.104863	0.682172	0.122439	0.00283976	0.0152757	0.0108256	0.00166475	0.00956851
u	0.0484829	0.000486268	0.143144	0.435454	0.309263	0.0151054	0.0206737	0.0146219	0.00431714	0.0084511
o	0.00263132	0.000423712	0.0515806	0.463359	0.35312	0.0968819	0.016408	0.00599396	0.00299536	0.00660593
n	0.000656565	0.000230991	0.039216	0.306437	0.425268	0.172922	0.0274131	0.00426154	0.00477294	0.0188218
g	0.0063182	0.00225167	0.0110675	0.609134	0.273896	0.0205071	0.0244117	0.00769372	0.000616029	0.0441046
w	0.00320275	0.000880461	0.0217696	0.303649	0.49643	0.0790463	0.0440288	0.0106905	0.0023403	0.0379617
έ	0.00125512	0.00273476	0.00785175	0.470883	0.320828	0.0327842	0.0593165	0.0209422	0.00200203	0.0814018
l	0.000120825	1.21426e-05	0.00772341	0.190654	0.259865	0.0332749	0.286486	0.0702601	0.00237352	0.149229
έ	0.000361664	7.36234e-06	0.0027076	0.175084	0.364343	0.0535344	0.184204	0.112484	0.00487807	0.102396
s	0.00170706	4.46604e-06	0.00644804	0.0277436	0.116129	0.0595105	0.516225	0.207867	0.030381	0.0339837
á	0.00318115	3.54282e-05	0.00301449	0.0334946	0.125313	0.0127334	0.271899	0.26583	0.0969883	0.18751
k	0.008635	8.30713e-05	0.000572988	0.00411332	0.0230305	0.00319111	0.0881813	0.211716	0.636013	0.0244644
á	0.000216198	2.25668e-06	8.96377e-05	0.00120942	0.0115347	0.0423159	0.0138726	0.0151264	0.907525	0.00810812
s	0.000527472	2.03318e-06	0.000398054	0.00156583	0.00521754	0.044091	0.0455137	0.0340916	0.837124	0.0314685
i	0.000336758	2.38801e-06	0.000842534	0.00972058	0.0255448	0.101927	0.209388	0.0917168	0.454779	0.105742
</S>	0.00268415	4.35244e-05	0.00900611	0.00749146	0.0166538	0.00924832	0.160536	0.163665	0.091312	0.53936
