 	sur	le	chemin	de	l'	école	les	jeunes	garçons	provoquent	les	jeunes	filles	</S>
b	0.441511	0.295344	0.0553705	0.0347134	0.0159443	0.0302985	0.0140884	0.042504	0.0488666	0.00532429	0.00526298	0.00952555	0.000793223	0.000453014
á	0.105738	0.351398	0.0719882	0.0569162	0.0623431	0.0425942	0.0220683	0.0879536	0.134873	0.0203779	0.00865612	0.0326277	0.00106923	0.00139598
n	0.10262	0.171501	0.0203991	0.017212	0.0239284	0.0233731	0.0620735	0.191621	0.218308	0.0576391	0.0340808	0.0267125	0.00248724	0.0480447
a	0.319124	0.373566	0.00219375	0.00732575	0.0201439	0.0168125	0.0259163	0.0621792	0.0263528	0.00655162	0.00874353	0.0163781	0.00110207	0.113611
b	0.19083	0.467714	0.169123	0.0375775	0.0198037	0.0220702	0.0153826	0.0192388	0.013289	0.00559264	0.00949896	0.0117696	0.00171729	0.0163928
á	0.0683244	0.0867271	0.1644	0.151642	0.0555029	0.0340466	0.0711979	0.0714693	0.0942895	0.0480157	0.0324344	0.0406645	0.0110811	0.0702051
b	0.0338323	0.0522405	0.107891	0.0936624	0.0616888	0.0544844	0.0406901	0.0698978	0.168602	0.104544	0.0523611	0.0463555	0.0165885	0.0971607
a	0.0327569	0.0905815	0.284847	0.100149	0.0576357	0.040947	0.029449	0.0603919	0.110337	0.159747	0.0147866	0.0093722	0.00298886	0.00601018
a	0.0434764	0.106671	0.111373	0.141119	0.122843	0.0724136	0.0439699	0.089167	0.133314	0.0597672	0.0205543	0.0261087	0.00289339	0.0263307
b	0.0615189	0.0258401	0.0449062	0.294984	0.152168	0.152152	0.0715117	0.0456039	0.046225	0.0392286	0.0301028	0.0189542	0.000888138	0.0159158
á	0.0209401	0.00964964	0.0138455	0.141933	0.130578	0.166983	0.108912	0.150382	0.11395	0.0818082	0.0253661	0.0228831	0.000778558	0.0119907
a	0.0109831	0.00218402	0.00278146	0.0451248	0.0505099	0.0735321	0.0903118	0.120428	0.452759	0.0941136	0.0187172	0.0111798	0.00177031	0.0256044
l	0.0381798	0.0284371	0.0760903	0.0943102	0.141579	0.257497	0.128654	0.0666669	0.011946	0.0532011	0.0582223	0.0154801	0.00554535	0.0241904
ώ	0.0190584	0.0216495	0.0585166	0.0439325	0.0954973	0.198732	0.122705	0.0824143	0.00418957	0.0347902	0.135523	0.0335178	0.016527	0.132947
b	0.01113	0.0126784	0.0803177	0.104189	0.102297	0.289717	0.107084	0.0508263	0.00569187	0.014702	0.0934676	0.0366106	0.0215969	0.0696907
h	0.0125993	0.0153985	0.0426629	0.060958	0.0653006	0.0820099	0.11652	0.326817	0.10425	0.077962	0.0414374	0.0294912	0.0100338	0.0145598
ώ	0.00195261	0.00491951	0.00986563	0.130432	0.114314	0.121776	0.124636	0.260543	0.101985	0.0195609	0.0233634	0.031948	0.0101756	0.0445286
