 	son	enfant	a	le	ventre	ballonné	</S>
m	0.877336	0.113074	0.00204763	0.00185659	0.00469509	0.000554636	0.000436166
w	0.0222747	0.965856	0.0078689	0.00190456	0.000795398	6.5025e-05	0.00123509
á	0.00956627	0.989511	0.000518871	0.000284065	6.28002e-05	9.526e-06	4.79446e-05
n	0.457199	0.53661	0.0027411	0.000982668	0.000572881	0.000174959	0.00171873
a	0.111333	0.859529	0.0062795	0.00334471	0.00161756	0.000339781	0.0175562
y	0.779327	0.0803861	0.087173	0.0290393	0.010186	0.00448598	0.00940228
a	0.248774	0.136416	0.436348	0.101155	0.022959	0.00665946	0.0476881
w	0.622232	0.0571134	0.19856	0.0702164	0.0115747	0.00432429	0.0359785
a	0.33111	0.0491686	0.310061	0.169029	0.0391655	0.00821389	0.0932516
á	0.0269439	0.0161076	0.731305	0.170943	0.0156567	0.00279021	0.0362541
d	0.00576114	0.00107417	0.475142	0.361162	0.0719362	0.0133006	0.0716243
í	0.00622314	0.00196421	0.275263	0.289863	0.0536179	0.00789115	0.365178
i	0.0391227	0.000924958	0.125073	0.315653	0.254069	0.110681	0.154476
f	0.00161421	0.00274446	0.0328676	0.256761	0.520557	0.134862	0.0505936
ú	7.05384e-05	9.93065e-05	0.016749	0.111208	0.345468	0.491854	0.0345502
n	0.000490358	0.000124323	0.0154638	0.156592	0.402356	0.378535	0.0464385
d	0.00369976	0.00011044	0.0210445	0.134967	0.451562	0.108734	0.279882
ú	0.0298772	0.00358161	0.0493898	0.317964	0.500471	0.0314866	0.0672297
i	0.0131272	0.000311496	0.0292075	0.0871266	0.407654	0.197492	0.265081
n	0.00264377	0.000819572	0.0249377	0.0787123	0.324618	0.437761	0.130508
έ	0.0046799	0.000354325	0.00252382	0.0277159	0.263604	0.350389	0.350732
</S>	0.000180738	1.63307e-05	0.00396362	0.0260206	0.184042	0.271927	0.513849
