 	si	tu	me	donnes	un	coup	de	bâton	je	ripo	sterai	</S>
w	0.950382	0.0397442	0.00839747	0.000256624	0.000378608	0.000219213	0.000333741	3.68674e-05	9.33772e-05	5.48538e-05	9.77259e-05	5.49526e-06
á	0.898575	0.0527805	0.0441882	0.00113403	0.00139619	0.000346389	0.000543606	0.000121744	0.000287601	0.000580634	4.05381e-05	5.92074e-06
á	0.243136	0.24606	0.403649	0.0287921	0.0110384	0.00441924	0.00452204	0.000597613	0.0153464	0.0255264	0.00116401	0.0157488
n	0.0798218	0.462597	0.337056	0.0403841	0.00862778	0.0042931	0.00319387	0.0030615	0.0139467	0.0129487	0.00556428	0.0285054
ω	0.0688899	0.55275	0.206129	0.00318308	0.00486731	0.00205429	0.00299038	0.000249037	0.0779179	0.056906	0.000321265	0.0237425
o	0.0396199	0.206067	0.386024	0.0546805	0.0426231	0.0186788	0.01039	0.000783682	0.0646547	0.0589332	0.00411566	0.113429
p	0.00692157	0.00716587	0.0717212	0.756148	0.124151	0.0261942	0.00256217	0.00109105	0.000625376	0.000587912	0.00134112	0.00149118
í	0.000768655	0.00457146	0.0265091	0.801688	0.120288	0.0219588	0.0033804	0.00247266	0.00065328	0.00088357	0.00494432	0.0118819
m	0.00132431	0.0251311	0.139927	0.659062	0.122646	0.0344809	0.0039	0.00259862	0.00112336	0.00175958	0.00245917	0.00558794
b	0.00495484	0.0109081	0.0964721	0.318914	0.40854	0.0640344	0.0514137	0.00472974	0.00995359	0.0121447	0.000313879	0.0176207
í	0.00979995	0.0163988	0.0888264	0.29349	0.288711	0.0678542	0.0810911	0.0448879	0.00654928	0.00735993	0.00080276	0.094228
n	0.0133085	0.100186	0.109013	0.185439	0.277452	0.0840885	0.0894203	0.0515197	0.0330339	0.0146713	0.00118978	0.0406777
g	0.0154759	0.130449	0.0888724	0.0293762	0.135478	0.0495801	0.0552013	0.00593958	0.192551	0.152278	0.00504202	0.139756
á	0.00604016	0.10324	0.0864487	0.0185197	0.164688	0.0882647	0.0594592	0.00908752	0.318976	0.121632	0.00372697	0.0199163
i	0.000629973	0.00188628	0.0018843	0.0222419	0.130533	0.302966	0.371348	0.081074	0.05209	0.0215151	0.00528549	0.00854596
b	0.000882123	0.000629083	0.00142738	0.0269474	0.0844159	0.465673	0.117222	0.196892	0.036076	0.0178539	0.0371611	0.0148201
v	0.000806661	0.000246002	0.00410783	0.00831322	0.0259601	0.0524125	0.0520073	0.807581	0.00396663	0.00602065	0.0341206	0.00445715
ú	5.58691e-05	7.77451e-05	0.00070235	0.00684871	0.00861226	0.0163164	0.0228154	0.899801	0.00483434	0.00830189	0.0256792	0.00595478
a	0.00251249	0.00880439	0.00615927	0.0149304	0.0489297	0.120269	0.253344	0.446912	0.0311368	0.0206167	0.0387885	0.00759805
n	7.4791e-05	0.000396616	0.000793755	0.00580994	0.0151982	0.0530025	0.115566	0.0734049	0.288458	0.310891	0.0562862	0.0801179
g	0.000916956	0.0024146	0.0027627	0.00106626	0.00275939	0.00571457	0.00939486	0.00118513	0.410987	0.487057	0.0109212	0.0648204
á	0.000618648	0.00424403	0.00239502	0.00039501	0.00310268	0.00454333	0.0125552	0.00171698	0.625685	0.325072	0.0109078	0.00876439
l	0.000200072	0.000457058	0.000467277	0.00183876	0.00585842	0.0203976	0.0736974	0.0380089	0.204255	0.28696	0.151043	0.216816
í	0.000958023	0.00120566	0.00176454	0.00251387	0.00529247	0.0135944	0.0116463	0.00223399	0.125777	0.35908	0.0832598	0.392674
i	0.000410288	0.00147279	0.000674956	0.000928138	0.00324565	0.00687547	0.0248229	0.00703975	0.0752616	0.143312	0.374906	0.361051
k	0.000139625	0.000207272	0.00106582	0.00420752	0.0061687	0.00945587	0.00417818	0.0120952	0.0191082	0.130918	0.477248	0.335208
a	7.52379e-06	5.06916e-06	6.82492e-05	0.00193725	0.00304547	0.00495499	0.00154973	0.00537404	0.000888155	0.00507277	0.914784	0.0623129
s	8.15195e-06	2.07427e-05	4.41654e-05	0.000942621	0.00405669	0.00700239	0.00871999	0.0295208	0.00232552	0.00763354	0.849745	0.0899804
i	3.57468e-05	3.01657e-05	9.89481e-05	0.00157781	0.00621642	0.0134564	0.0172013	0.00800946	0.0103123	0.0375845	0.642551	0.262926
l	2.96169e-05	9.25151e-05	0.000177442	0.00178595	0.00418016	0.00702288	0.013688	0.0116202	0.0236285	0.0811839	0.1959	0.66069
a	0.000508437	0.000642842	0.0008016	0.00533674	0.00729896	0.0106854	0.0108443	0.00440394	0.0309463	0.128252	0.287706	0.512573
</S>	0.000253478	0.000462632	0.000811112	0.000725028	0.00190428	0.00313402	0.00706896	0.00194056	0.0300086	0.111745	0.065316	0.77663
