 	c'	est	un	homme	âgé	</S>
e	0.675316	0.257908	0.0415267	0.0223025	0.00253716	0.000409351
d	0.357272	0.503203	0.0526634	0.0156697	0.0545575	0.0166345
í	0.297231	0.476678	0.120936	0.0175511	0.0666195	0.0209844
m	0.154174	0.431915	0.235771	0.0756984	0.0263998	0.0760418
o	0.156185	0.167292	0.197674	0.102782	0.341433	0.0346342
r	0.0633092	0.0858862	0.347343	0.264412	0.182689	0.0563607
o	0.0851237	0.0880485	0.53789	0.0702553	0.136849	0.0818331
a	0.124674	0.108108	0.31289	0.135229	0.0422346	0.276864
m	0.0213882	0.0950149	0.366649	0.287948	0.13642	0.0925802
w	0.00203973	0.0127354	0.0492646	0.215772	0.559873	0.160315
ε	0.00314042	0.00712185	0.0365836	0.0661768	0.800326	0.0866517
</S>	0.00488199	0.0114592	0.0915007	0.160301	0.152538	0.579319
